step,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,ratio_cap_limiter_count,ratio_cap_limiter_fraction_of_normal_limiter,abs_cap_limiter_count,abs_cap_limiter_fraction_of_normal_limiter,sphere11_active_count,sphere11_limiter_count,sphere11_normal_limiter_count,outer90_active_count,outer90_limiter_count,outer90_normal_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,fallback_angle_normal_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,dn_try_p50,dn_try_p95,effective_cap_p50,effective_cap_p95,ratio_cap_p50,ratio_cap_p95,abs_cap_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95,target_normal_abs_p50,target_minus_raw_abs_p50,smooth_weight_c_p50,smooth_weight_g_p50,smooth_weight_t_p50,smooth_weight_total_p50,tan_coeff_times_tangent_p50,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50,wall_profile_conflict_p50
0,0,0.0,7536,0,0.0,3424,0.4543524416135881,5048,0.6698513800424628,2488,0.33014861995753714,1760,0.514018691588785,1664,0.48598130841121495,0,0,0,0,0,0,7536,0,3424,0.03023527133309265,0.06718068491708802,0.0679450417342098,0.06818284236335928,0.05,-0.03023527133309265,-8.735939140762508e-05,0.03066540214075926,0.05,0.03066540214075926,0.07622757050216729,0.05,0.8679671951377306,1.575325388204856,1.6296589148890517,0.06133080428151852,0.15245514100433458,0.09497001368620125,0.030235271333122885,1.0,1.0,1.0,1.0,0.09497001368620125,0.6347894901506911,0.6718144004848886,1.0,1.0,-0.0030434749384003323,0.07784625316183974,0.0786325814637617,0.472746472714162,1.0,2.747477404110712,0.0
100,0,1.1602360469125029e-05,7492,0,0.0,3492,0.4660971703150027,4956,0.6615056059797116,2536,0.3384943940202883,1692,0.4845360824742268,1800,0.5154639175257731,0,0,0,0,0,0,7492,0,3492,0.030304236554303383,0.06497131683947464,0.06573736509281074,0.06590582046068773,0.05,-0.030304236554303383,-8.561945070321435e-05,0.03211865795573009,0.05,0.03211865795573009,0.0749877915280304,0.05,0.8993888452062089,1.3993598538151786,1.4514772105382383,0.06423731591146017,0.1499755830560608,0.09657428219661206,0.03030423655433369,1.0,1.0,1.0,1.0,0.09657428219661206,0.714612468889704,0.7510464139155496,1.0,1.0,-0.0034829563740206423,0.07706297182005796,0.0777187255825158,0.45817383817353774,1.0,2.747477404110712,0.0
200,0,8.253151125356682e-06,7500,0,0.0,3480,0.464,4956,0.6608,2544,0.3392,1696,0.48735632183908045,1784,0.5126436781609195,0,0,0,0,0,0,7500,0,3480,0.030252207721188445,0.06313842845395654,0.06382784538300365,0.06400745733136366,0.05,-0.030252207721188445,-0.00010575864268216062,0.032202281973317815,0.05,0.032202281973317815,0.0750936896920894,0.05,0.8991333786041842,1.3746747165901068,1.4299916641652182,0.06440456394663563,0.1501873793841788,0.09688066093870426,0.0302522077212187,1.0,1.0,1.0,1.0,0.09688066093870426,0.7274448187135566,0.7685145334383622,1.0,1.0,-0.003470669170502878,0.07663090513930011,0.07726729750881524,0.45788678262194554,1.0,2.747477404110712,0.0
300,0,8.160141484306943e-06,7516,0,0.0,3504,0.466205428419372,4956,0.6593932943054817,2560,0.34060670569451834,1712,0.4885844748858447,1792,0.5114155251141552,0,0,0,0,0,0,7516,0,3504,0.03024265996504974,0.06163669642448727,0.06227089539238078,0.062464563551247194,0.05,-0.03024265996504974,-0.00012125464237574244,0.03238560531402339,0.05,0.03238560531402339,0.07518209568623219,0.05,0.8983053695681436,1.3431829242346844,1.40180445280768,0.06477121062804678,0.15036419137246437,0.0964193835707328,0.030242659965079986,1.0,1.0,1.0,1.0,0.0964193835707328,0.7445002351243041,0.7878017608858318,1.0,1.0,-0.003464730214525318,0.07629785674186469,0.07691726144503949,0.45598577434118037,1.0,2.747477404110712,0.0
400,0,8.052769557532163e-06,7560,0,0.0,3488,0.4613756613756614,4992,0.6603174603174603,2568,0.3396825396825397,1712,0.4908256880733945,1776,0.5091743119266054,0,0,0,0,0,0,7560,0,3488,0.029996232153108652,0.06029028800313564,0.06084730853650543,0.06108050282678635,0.05,-0.029996232153108652,-9.742567098363409e-05,0.032322641660399436,0.05,0.032322641660399436,0.07526432460923299,0.05,0.8953287212878641,1.3108013024172507,1.3729189541337992,0.06464528332079887,0.15052864921846598,0.09621240558838044,0.029996232153138652,1.0,1.0,1.0,1.0,0.09621240558838044,0.7628921318249369,0.8032976314100007,1.0,1.0,-0.003464052581140031,0.07590157880679527,0.07656628809360898,0.44950334714273293,1.0,2.747477404110712,0.0
500,0,7.955434237382152e-06,7592,0,0.0,3488,0.4594309799789252,5016,0.660695468914647,2576,0.339304531085353,1712,0.4908256880733945,1776,0.5091743119266054,0,0,0,0,0,0,7592,0,3488,0.029697979645398147,0.0590475118875389,0.05957148328145968,0.05981696967031166,0.05,-0.029697979645398147,-0.00010961875331378572,0.03234002912983354,0.05,0.03234002912983354,0.07534244992057043,0.05,0.8923614966686417,1.286288632585594,1.3485393354062656,0.06468005825966708,0.15068489984114086,0.09581371653763746,0.02969797964542785,1.0,1.0,1.0,1.0,0.09581371653763746,0.7774304885132044,0.8237645207649453,1.0,1.0,-0.0034650753083194877,0.07557529008423101,0.07621518460557389,0.44617807829445066,1.0,2.747477404110712,0.0
600,0,7.856882403189204e-06,7624,0,0.0,3384,0.4438614900314795,5048,0.6621196222455404,2576,0.3378803777544596,1664,0.491725768321513,1720,0.508274231678487,0,0,0,0,0,0,7624,0,3384,0.029366055986957896,0.05790555770775633,0.05841891480994215,0.05864353191444832,0.05,-0.029366055986957896,-0.00010198518261057139,0.03233048583430334,0.05,0.03233048583430334,0.07541680414856256,0.05,0.8885955013348714,1.2612617604608298,1.322236033504947,0.06466097166860668,0.1508336082971251,0.0956258669815461,0.029366055986987265,1.0,1.0,1.0,1.0,0.0956258669815461,0.7928568290492116,0.8429291424690672,1.0,1.0,-0.0034482518530662737,0.07529633908328799,0.07592599125962564,0.43686020119148467,1.0,2.747477404110712,0.0
700,0,7.775022142393998e-06,7680,0,0.0,3184,0.41458333333333336,5096,0.6635416666666667,2584,0.33645833333333336,1560,0.4899497487437186,1624,0.5100502512562815,0,0,0,0,0,0,7680,0,3184,0.029080564961178737,0.056886854155090795,0.057332515238658927,0.057545704319351035,0.05,-0.029080564961178737,-9.025746157767079e-05,0.032220907479095284,0.05,0.032220907479095284,0.07548491009563557,0.05,0.876981141175861,1.2308651317065915,1.2816338294410035,0.06444181495819057,0.15096982019127114,0.09510752712273515,0.02908056496120782,1.0,1.0,1.0,1.0,0.09510752712273515,0.8124367190174648,0.8642324780828587,1.0,1.0,-0.0032313853676707786,0.07503852999507801,0.07564870132383586,0.42766857395903574,1.0,2.747477404110712,0.0
800,0,7.701361411627159e-06,7704,0,0.0,3004,0.3899273104880582,5096,0.6614745586708204,2608,0.33852544132917967,1444,0.4806924101198402,1560,0.5193075898801598,0,0,0,0,0,0,7704,0,3004,0.028635792483966516,0.05587706918354422,0.05632002221081089,0.05650873841154677,0.05,-0.028635792483966516,-7.077542877179049e-05,0.032374334360920354,0.05,0.032374334360920354,0.07554976326321317,0.05,0.8740111854136462,1.2007950125852236,1.2471129294800922,0.06474866872184071,0.15109952652642633,0.09451990762363835,0.028635792483995153,1.0,1.0,1.0,1.0,0.09451990762363835,0.832781606784886,0.8831039222442751,1.0,1.0,-0.0031923230420870573,0.07477059977609539,0.07536367304998942,0.4231422849008491,1.0,2.747477404110712,0.0
900,0,7.632541909515196e-06,7720,0,0.0,2836,0.3673575129533679,5096,0.6601036269430052,2624,0.3398963730569948,1356,0.4781382228490832,1480,0.5218617771509168,0,0,0,0,0,0,7720,0,2836,0.028373631542665114,0.054896311989027426,0.05537300885724398,0.055523086162362664,0.05,-0.028373631542665114,-7.180881936326313e-05,0.03256018251643064,0.05,0.03256018251643064,0.07561189862842424,0.05,0.8650456161478928,1.17368263585664,1.2179707573015732,0.06512036503286128,0.15122379725684848,0.09442945978821325,0.02837363154269349,1.0,1.0,1.0,1.0,0.09442945978821325,0.8520190803284112,0.9006857183615111,1.0,1.0,-0.003187182926169702,0.0745126353838675,0.0751142868452422,0.4231738791287979,1.0,2.747477404110712,0.0
