case_id,init_theta,wall_rad,step,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,nonfinite_total,max_mach
cap_theta030_wall011,30.0,11.0,0,29.397304912728284,-0.6026950872717158,18.397304912728284,0,0.0
cap_theta030_wall011,30.0,11.0,10000,29.58828571014186,-0.4117142898581392,18.58828571014186,0,1.345548055111647e-05
cap_theta030_wall011,30.0,11.0,20000,29.478157627215403,-0.5218423727845973,18.478157627215403,0,1.5023668396000336e-05
cap_theta030_wall011,30.0,11.0,30000,29.288470207960707,-0.7115297920392933,18.288470207960707,0,1.5608503242801692e-05
cap_theta030_wall011,30.0,11.0,40000,29.213948464234335,-0.7860515357656652,18.213948464234335,0,1.602851880478963e-05
cap_theta030_wall011,30.0,11.0,50000,28.96071934786895,-1.0392806521310511,17.96071934786895,0,1.6264855470443726e-05
cap_theta030_wall030,30.0,30.0,0,29.436042229566972,-0.5639577704330279,-0.5639577704330279,0,0.0
cap_theta030_wall030,30.0,30.0,10000,29.526538253214188,-0.4734617467858122,-0.4734617467858122,0,2.4741901536122737e-06
cap_theta030_wall030,30.0,30.0,20000,29.53875283052352,-0.46124716947647926,-0.46124716947647926,0,2.4632207848799135e-06
cap_theta030_wall030,30.0,30.0,30000,29.548268096364456,-0.45173190363554383,-0.45173190363554383,0,2.4398976515036574e-06
cap_theta030_wall030,30.0,30.0,40000,29.559257531155335,-0.4407424688446646,-0.4407424688446646,0,2.447429104115735e-06
cap_theta030_wall030,30.0,30.0,50000,29.57207998147039,-0.42792001852960837,-0.42792001852960837,0,2.4613873532937904e-06
cap_theta090_wall090,90.0,90.0,0,89.05967327023568,-0.9403267297643225,-0.9403267297643225,0,0.0
cap_theta090_wall090,90.0,90.0,10000,89.17575733217119,-0.8242426678288126,-0.8242426678288126,0,6.0514285124063804e-06
cap_theta090_wall090,90.0,90.0,20000,89.30537477230449,-0.6946252276955107,-0.6946252276955107,0,5.473770080011742e-06
cap_theta090_wall090,90.0,90.0,30000,89.43440124722785,-0.5655987527721464,-0.5655987527721464,0,5.125249235780224e-06
cap_theta090_wall090,90.0,90.0,40000,89.55859353222434,-0.44140646777566417,-0.44140646777566417,0,5.113184713026649e-06
cap_theta090_wall090,90.0,90.0,50000,89.67621493791745,-0.32378506208254976,-0.32378506208254976,0,4.993239866517319e-06
cap_theta150_wall150,150.0,150.0,0,147.7383793983049,-2.261620601695114,-2.261620601695114,0,0.0
cap_theta150_wall150,150.0,150.0,10000,148.33290284256424,-1.6670971574357623,-1.6670971574357623,0,2.8804039491026173e-05
cap_theta150_wall150,150.0,150.0,20000,148.98768905900496,-1.012310940995036,-1.012310940995036,0,3.1243499403307044e-05
cap_theta150_wall150,150.0,150.0,30000,149.74053421768585,-0.25946578231415174,-0.25946578231415174,0,3.071171825469296e-05
cap_theta150_wall150,150.0,150.0,40000,150.40432270941332,0.4043227094133215,0.4043227094133215,0,2.935300826411974e-05
cap_theta150_wall150,150.0,150.0,50000,151.04766158224518,1.0476615822451834,1.0476615822451834,0,2.7742162140332153e-05
