step,group,bin,active_count,limiter_count,limiter_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50
0,region,none_or_unknown,0,0,nan,nan,nan,nan
0,region,sphere_upper,780,388,0.49743589743589745,0.7527197806345167,0.8271105440830033,1.0
0,region,sphere_lower90,0,0,nan,nan,nan,nan
0,region,sphere_bottom120,0,0,nan,nan,nan,nan
0,region,outer_or_other_wall,0,0,nan,nan,nan,nan
0,theta_zone,sphere11,780,388,0.49743589743589745,0.7527197806345167,0.8271105440830033,1.0
0,theta_zone,outer90,0,0,nan,nan,nan,nan
0,theta_zone,fallback,0,0,nan,nan,nan,nan
0,c_bin,c_0_0p05,216,0,0.0,0.12516784419779517,0.12572284244889265,1.0
0,c_bin,c_0p05_0p10,152,8,0.05263157894736842,0.2505731300499456,0.2515586313145287,1.0
0,c_bin,c_0p10_0p30,248,232,0.9354838709677419,0.561291661926076,0.5690887979522019,0.5311401759182841
0,c_bin,c_0p30_0p70,164,148,0.9024390243902439,0.8265574081139025,0.8291913889191438,0.43031885210835824
0,c_bin,c_0p70_0p90,0,0,nan,nan,nan,nan
0,c_bin,c_0p90_0p95,0,0,nan,nan,nan,nan
0,c_bin,c_0p95_1,0,0,nan,nan,nan,nan
0,tangent_bin,t_0_0p005,4,0,0.0,0.1930335239405242,0.1930335239405242,1.0
0,tangent_bin,t_0p005_0p01,0,0,nan,nan,nan,nan
0,tangent_bin,t_0p01_0p025,236,8,0.03389830508474576,0.22997567908506364,0.2610104794815701,1.0
0,tangent_bin,t_0p025_0p05,224,64,0.2857142857142857,0.36921788288988655,0.37584415532142584,1.0
0,tangent_bin,t_0p05_0p10,240,240,1.0,0.582035426896938,0.6066496953186229,0.4709452643138231
0,tangent_bin,t_0p10_inf,76,76,1.0,0.8291913889191438,0.8291913889191438,0.3321289096307879
0,normal_agreement_bin,normal_0_0p5,0,0,nan,nan,nan,nan
0,normal_agreement_bin,normal_0p5_0p9,0,0,nan,nan,nan,nan
