step,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,sphere11_active_count,sphere11_limiter_count,outer90_active_count,outer90_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50
0,0,0.0,780,388,0.49743589743589745,388,0.49743589743589745,780,388,0,0,0,0,0.24976681083346847,0.7527197806345167,0.8271105440830033,0.8291913889191438,0.24999999999969774,0.3321289096307879,0.4150190330496981,1.0,1.0,-0.07481765241652095,0.12702070946934085,0.14947074184346124,0.10484799877528311,0.9739150450244611,5.144553966670899
100,0,0.00018277308602216634,832,320,0.38461538461538464,320,0.38461538461538464,832,320,0,0,0,0,0.1934878422981547,0.442876850988228,0.4710410040784809,0.47820534347885896,0.24999999999946926,0.5644910079214791,0.6117541219971208,1.0,1.0,-0.026890868518840663,0.10466627962615667,0.108861115931585,0.13304877280902982,0.9739150450244611,5.144553966670899
200,0,0.0002377090648062395,840,344,0.4095238095238095,344,0.4095238095238095,840,344,0,0,0,0,0.19245750830888314,0.5143648719534109,0.576379316875823,0.5852816790785351,0.24999999999956626,0.4860363015267457,0.5495282878959264,1.0,1.0,-0.026055772259231808,0.11859917913152283,0.12827934663987098,0.1366476824521191,0.9739150450244611,5.144553966670899
300,0,0.0002696627286673394,848,380,0.4481132075471698,380,0.4481132075471698,848,380,0,0,0,0,0.2067826329383744,0.5719591140289452,0.6360582832854509,0.6393086490940821,0.24999999999960695,0.43709418010412393,0.4992053629627185,1.0,1.0,-0.02509527443494125,0.12896249355906916,0.13906585579653588,0.13887907870570507,0.9739150450244611,5.144553966670899
400,0,0.0002803936508241285,848,380,0.4481132075471698,380,0.4481132075471698,848,380,0,0,0,0,0.20510951979261532,0.6092331723823415,0.6578852431100293,0.6600097974275106,0.24999999999962,0.4103519166922432,0.4837752330062414,1.0,1.0,-0.02566973594783943,0.13582488463535347,0.14235399916833372,0.1474328332948326,0.9739150450244611,5.144553966670899
500,0,0.00028458094070844993,860,404,0.4697674418604651,404,0.4697674418604651,860,404,0,0,0,0,0.1940643487447325,0.618096398550009,0.66080785750581,0.6667171869387919,0.2499999999996217,0.4044676535667737,0.4662704151211249,1.0,1.0,-0.026764495104985235,0.13655999305539482,0.14352240838013058,0.14100908953783772,0.9739150450244611,5.144553966670899
600,0,0.00028421321551241196,876,412,0.4703196347031963,412,0.4703196347031963,876,412,0,0,0,0,0.2030018946434407,0.6197182254218189,0.665254667717643,0.6730277507115384,0.24999999999962425,0.40342233468120775,0.45239923717162384,1.0,1.0,-0.02870504373980629,0.13642356418203552,0.14266535541818195,0.149141118416442,0.9739150450244611,5.144553966670899
700,0,0.00029293968076087197,892,408,0.45739910313901344,408,0.45739910313901344,892,408,0,0,0,0,0.20196690915318588,0.6134346516496848,0.6597594151089059,0.6787356460526993,0.24999999999962108,0.40754137270739055,0.458255264081535,1.0,1.0,-0.02789875862540933,0.13463308987526668,0.14133753711227762,0.13145578077779085,0.9739150450244611,5.144553966670899
800,0,0.00030584078418361316,900,408,0.4533333333333333,408,0.4533333333333333,900,408,0,0,0,0,0.21027155477843673,0.6071775831073923,0.6521984916633079,0.6805084319703036,0.24999999999961672,0.4117411560554442,0.46802376507763616,1.0,1.0,-0.029901964872391197,0.13516842495865253,0.14231888981061008,0.13487739982550678,0.9739150450244611,5.144553966670899
900,0,0.00031063633138881226,908,396,0.43612334801762115,396,0.43612334801762115,908,396,0,0,0,0,0.20194831343965636,0.6091436242926025,0.6460376616819115,0.6797815496075217,0.24999999999961306,0.41041224110309643,0.46898711955389744,1.0,1.0,-0.02987414532277347,0.13538015205573756,0.14273008998437792,0.14030315767626667,0.9739150450244611,5.144553966670899
1000,0,0.0003084275362609073,924,404,0.43722943722943725,404,0.43722943722943725,924,404,0,0,0,0,0.20515335341576654,0.6070379072658012,0.6470816609500727,0.6773997843553846,0.24999999999961367,0.4118358952666224,0.4620665618810075,1.0,1.0,-0.031732984716576706,0.13555046771429619,0.1427493268302245,0.14202696542342236,0.9739150450244611,5.144553966670899
