step,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,sphere11_active_count,sphere11_limiter_count,outer90_active_count,outer90_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50
0,0,0.0,5196,0,0.0,4000,0.7698229407236336,5196,0,0,0,0,0,0.09746726150847551,0.3396364658043522,0.5029118575019015,0.6239620462516936,0.05,0.1031356239980673,0.13835693640441224,0.30717490620412496,1.0,0.015840193982952496,0.09148110989330609,0.11272870064922934,0.38262808112072644,0.980461964712138,5.144553966670899
100,0,3.513096681621715e-05,5176,0,0.0,3924,0.7581143740340031,5176,0,0,0,0,0,0.09387192675446115,0.3347347574485041,0.4848402710123968,0.6085144409486464,0.05,0.10367758197257623,0.14186765708047708,0.34116302311362295,1.0,0.012363751398030245,0.08918477055431429,0.11253334258191731,0.37964727415613037,0.980461964712138,5.144553966670899
200,0,2.0527970034423187e-05,5228,0,0.0,3940,0.7536342769701607,5228,0,0,0,0,0,0.09185572718800028,0.3332977442560298,0.4829838895608094,0.6073746215888877,0.05,0.10598150558563935,0.14188191882658072,0.35172176461827265,1.0,0.011706631877251163,0.08831508306722123,0.11208603837727138,0.3730747596407922,0.980461964712138,5.144553966670899
300,0,2.0299292026527783e-05,5260,0,0.0,3956,0.7520912547528517,5260,0,0,0,0,0,0.09002121559650095,0.3321021171220436,0.48233874323006615,0.6071508353988753,0.05,0.10630697946252007,0.1419944875543893,0.356698486859657,1.0,0.011956286058069357,0.08742168641678189,0.11171470824696182,0.37014701231515257,0.980461964712138,5.144553966670899
400,0,2.0077887026180847e-05,5300,0,0.0,3988,0.7524528301886793,5300,0,0,0,0,0,0.08840082658941767,0.3311156726585188,0.4819127450341839,0.6070898499021722,0.05,0.10659083547980157,0.141859094916716,0.3662413796937027,1.0,0.012888516938164268,0.08664187224113805,0.11136075721761059,0.36447254985715816,0.980461964712138,5.144553966670899
500,0,1.990516923901437e-05,5308,0,0.0,4004,0.7543330821401658,5308,0,0,0,0,0,0.08880157632966593,0.33163555717353005,0.48152793403481486,0.6070479401670907,0.05,0.10686383175415923,0.14243622461586652,0.36892346878005855,1.0,0.014235765403168147,0.08591134174416251,0.11101750024346715,0.3656977231366182,0.980461964712138,5.144553966670899
600,0,1.9716856337188726e-05,5340,0,0.0,4012,0.751310861423221,5340,0,0,0,0,0,0.0875578944575396,0.3329888260523134,0.48113805629983575,0.6069881265999121,0.05,0.10687475358345486,0.14302210220990963,0.37718678279831297,1.0,0.015593955108528372,0.08525748083028444,0.11068458194562239,0.35750142495456916,0.980461964712138,5.144553966670899
700,0,1.9540832463386953e-05,5388,0,0.0,4024,0.746844840386043,5388,0,0,0,0,0,0.08542205231747677,0.3329465088449476,0.4807301102096254,0.6069001345294726,0.05,0.1073975097961131,0.1436115480284144,0.38841566449053977,1.0,0.01694688400721716,0.08477960021874859,0.11036217492345822,0.3562710591519646,0.9804619647121381,5.144553966670899
800,0,1.9344918387621333e-05,5420,0,0.0,4016,0.7409594095940959,5420,0,0,0,0,0,0.08464166473152855,0.33293916248009126,0.4803095333578034,0.6067826354194171,0.05,0.10766053393452416,0.1441880731616744,0.39440396778679343,1.0,0.017938742034429453,0.08424922668726186,0.11005025239194771,0.3548279445854372,0.9804619647121381,5.144553966670899
900,0,1.913076030171321e-05,5420,0,0.0,3996,0.7372693726937269,5420,0,0,0,0,0,0.08240834546205732,0.33335756990865395,0.47987519154864444,0.6066373017619757,0.05,0.10758923296655197,0.14411620081646798,0.40223891458720606,1.0,0.018099817675465688,0.08375316137905515,0.10992313056314443,0.3554196324545298,0.9804619647121381,5.144553966670899
1000,0,1.892877581620868e-05,5460,0,0.0,3988,0.7304029304029304,5460,0,0,0,0,0,0.08028308316827266,0.3331200964679359,0.4794265072846032,0.6064665873481173,0.05,0.106878390578814,0.1440821284225473,0.4122576787348907,1.0,0.01822536151830863,0.08321320768879015,0.10988401703724023,0.346550537230218,0.9807781624461321,5.144553966670899
