step,group,bin,active_count,limiter_count,limiter_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50
0,region,none_or_unknown,0,0,nan,nan,nan,nan
0,region,sphere_upper,780,0,0.0,0.7527197806345167,0.8271105440830034,0.08956631935725307
0,region,sphere_lower90,0,0,nan,nan,nan,nan
0,region,sphere_bottom120,0,0,nan,nan,nan,nan
0,region,outer_or_other_wall,0,0,nan,nan,nan,nan
0,theta_zone,sphere11,780,0,0.0,0.7527197806345167,0.8271105440830034,0.08956631935725307
0,theta_zone,outer90,0,0,nan,nan,nan,nan
0,theta_zone,fallback,0,0,nan,nan,nan,nan
0,c_bin,c_0_0p05,216,0,0.0,0.05951944926555565,0.06298618780181821,0.44612310129790184
0,c_bin,c_0p05_0p10,152,0,0.0,0.2505731300499455,0.2515586313145287,0.04867701785249973
0,c_bin,c_0p10_0p30,248,0,0.0,0.561291661926076,0.569088797952202,0.0808984173100114
0,c_bin,c_0p30_0p70,164,0,0.0,0.8265574081139027,0.8291913889191439,0.08606377042181979
0,c_bin,c_0p70_0p90,0,0,nan,nan,nan,nan
0,c_bin,c_0p90_0p95,0,0,nan,nan,nan,nan
0,c_bin,c_0p95_1,0,0,nan,nan,nan,nan
0,tangent_bin,t_0_0p005,4,0,0.0,0.09327678743513121,0.09327678743513121,0.536039044384673
0,tangent_bin,t_0p005_0p01,0,0,nan,nan,nan,nan
0,tangent_bin,t_0p01_0p025,236,0,0.0,0.22997567908506364,0.2610104794815701,0.42057997133752145
0,tangent_bin,t_0p025_0p05,224,0,0.0,0.36921788288988655,0.3758441553214259,0.06742608169922101
0,tangent_bin,t_0p05_0p10,240,0,0.0,0.582035426896938,0.6066496953186229,0.08300380661007742
0,tangent_bin,t_0p10_inf,76,0,0.0,0.8291913889191439,0.8291913889191439,0.051451375139253956
0,normal_agreement_bin,normal_0_0p5,0,0,nan,nan,nan,nan
0,normal_agreement_bin,normal_0p5_0p9,0,0,nan,nan,nan,nan
0,normal_agreement_bin,normal_0p9_0p99,180,0,0.0,0.5495270448253978,0.795112199582985,0.1029887945788812
0,normal_agreement_bin,normal_0p99_1p01,600,0,0.0,0.7527197806345167,0.8291913889191439,0.08606377042181979
0,c_x_tangent:c_0_0p05,t_0_0p005,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0_0p05,t_0p005_0p01,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0_0p05,t_0p01_0p025,216,0,0.0,0.05951944926555565,0.06298618780181821,0.44612310129790184
0,c_x_tangent:c_0_0p05,t_0p025_0p05,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0_0p05,t_0p05_0p10,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0_0p05,t_0p10_inf,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p05_0p10,t_0_0p005,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p05_0p10,t_0p005_0p01,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p05_0p10,t_0p01_0p025,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p05_0p10,t_0p025_0p05,152,0,0.0,0.2505731300499455,0.2515586313145287,0.04867701785249973
0,c_x_tangent:c_0p05_0p10,t_0p05_0p10,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p05_0p10,t_0p10_inf,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p10_0p30,t_0_0p005,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p10_0p30,t_0p005_0p01,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p10_0p30,t_0p01_0p025,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p10_0p30,t_0p025_0p05,64,0,0.0,0.37559919970205413,0.37584415532142595,0.09068035507007947
0,c_x_tangent:c_0p10_0p30,t_0p05_0p10,176,0,0.0,0.5605277861249538,0.561291661926076,0.07934498065367801
0,c_x_tangent:c_0p10_0p30,t_0p10_inf,8,0,0.0,0.569088797952202,0.569088797952202,0.04320061955510979
0,c_x_tangent:c_0p30_0p70,t_0_0p005,4,0,0.0,0.09327678743513121,0.09327678743513121,0.536039044384673
0,c_x_tangent:c_0p30_0p70,t_0p005_0p01,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p30_0p70,t_0p01_0p025,20,0,0.0,0.2610104794815701,0.2610104794815701,0.2040688395621597
0,c_x_tangent:c_0p30_0p70,t_0p025_0p05,8,0,0.0,0.3409228847318749,0.3409228847318749,0.14666073249768324
0,c_x_tangent:c_0p30_0p70,t_0p05_0p10,64,0,0.0,0.6060095427676319,0.6066496953186229,0.09478242414352624
0,c_x_tangent:c_0p30_0p70,t_0p10_inf,68,0,0.0,0.8291913889191439,0.8291913889191439,0.06593083404939325
0,c_x_tangent:c_0p70_0p90,t_0_0p005,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p70_0p90,t_0p005_0p01,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p70_0p90,t_0p01_0p025,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p70_0p90,t_0p025_0p05,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p70_0p90,t_0p05_0p10,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p70_0p90,t_0p10_inf,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p90_0p95,t_0_0p005,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p90_0p95,t_0p005_0p01,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p90_0p95,t_0p01_0p025,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p90_0p95,t_0p025_0p05,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p90_0p95,t_0p05_0p10,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p90_0p95,t_0p10_inf,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p95_1,t_0_0p005,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p95_1,t_0p005_0p01,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p95_1,t_0p01_0p025,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p95_1,t_0p025_0p05,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p95_1,t_0p05_0p10,0,0,nan,nan,nan,nan
0,c_x_tangent:c_0p95_1,t_0p10_inf,0,0,nan,nan,nan,nan
100,region,none_or_unknown,0,0,nan,nan,nan,nan
100,region,sphere_upper,832,0,0.0,0.442876850988228,0.4710410040784808,0.10604085802675325
100,region,sphere_lower90,0,0,nan,nan,nan,nan
100,region,sphere_bottom120,0,0,nan,nan,nan,nan
100,region,outer_or_other_wall,0,0,nan,nan,nan,nan
100,theta_zone,sphere11,832,0,0.0,0.442876850988228,0.4710410040784808,0.10604085802675325
100,theta_zone,outer90,0,0,nan,nan,nan,nan
100,theta_zone,fallback,0,0,nan,nan,nan,nan
100,c_bin,c_0_0p05,192,0,0.0,0.04940889605330758,0.08272748062603098,1.0
100,c_bin,c_0p05_0p10,196,0,0.0,0.17850563030261618,0.18526010017762487,0.08717787718638903
100,c_bin,c_0p10_0p30,212,0,0.0,0.35053111781641233,0.3736059443317985,0.10422597714386471
100,c_bin,c_0p30_0p70,180,0,0.0,0.47104100407848065,0.4782053378160367,0.08754518589556498
100,c_bin,c_0p70_0p90,52,0,0.0,0.36292257203143646,0.3629225755295076,0.07804123482348777
100,c_bin,c_0p90_0p95,0,0,nan,nan,nan,nan
100,c_bin,c_0p95_1,0,0,nan,nan,nan,nan
100,tangent_bin,t_0_0p005,0,0,nan,nan,nan,nan
100,tangent_bin,t_0p005_0p01,32,0,0.0,0.001728304908220452,0.0017283054595920366,1.0
100,tangent_bin,t_0p01_0p025,216,0,0.0,0.08675003576992409,0.08745735007988029,0.6188206124683842
100,tangent_bin,t_0p025_0p05,176,0,0.0,0.19347864683557078,0.2050806329341316,0.05434170569024305
100,tangent_bin,t_0p05_0p10,356,0,0.0,0.4099581228406128,0.41758629662522334,0.07642403551352936
100,tangent_bin,t_0p10_inf,52,0,0.0,0.4782053363107294,0.47820534347885885,0.09617924712401946
100,normal_agreement_bin,normal_0_0p5,0,0,nan,nan,nan,nan
100,normal_agreement_bin,normal_0p5_0p9,0,0,nan,nan,nan,nan
100,normal_agreement_bin,normal_0p9_0p99,220,0,0.0,0.45159348473993327,0.4710410045860185,0.1750795659058506
100,normal_agreement_bin,normal_0p99_1p01,612,0,0.0,0.41758629685121146,0.46801959690830125,0.09365494629102461
100,c_x_tangent:c_0_0p05,t_0_0p005,0,0,nan,nan,nan,nan
100,c_x_tangent:c_0_0p05,t_0p005_0p01,32,0,0.0,0.001728304908220452,0.0017283054595920366,1.0
100,c_x_tangent:c_0_0p05,t_0p01_0p025,156,0,0.0,0.04077262260446101,0.0494089021363741,1.0
100,c_x_tangent:c_0_0p05,t_0p025_0p05,4,0,0.0,0.0827274813708299,0.08272748137082991,0.01903842886345611
100,c_x_tangent:c_0_0p05,t_0p05_0p10,0,0,nan,nan,nan,nan
100,c_x_tangent:c_0_0p05,t_0p10_inf,0,0,nan,nan,nan,nan
100,c_x_tangent:c_0p05_0p10,t_0_0p005,0,0,nan,nan,nan,nan
