step,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,sphere11_active_count,sphere11_limiter_count,outer90_active_count,outer90_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50
0,0,0.0,780,0,0.0,728,0.9333333333333333,780,0,0,0,0,0,0.24976681083346844,0.7527197806345167,0.8271105440830034,0.8291913889191439,0.05,0.024583226158936034,0.035130173854051774,0.08956631935725307,1.0,-0.07481765241652095,0.12702070946934085,0.14947074184346124,0.10484799877528311,0.9739150450244611,5.144553966670899
100,0,0.00018277308602216634,832,0,0.0,720,0.8653846153846154,832,0,0,0,0,0,0.1934878422981547,0.442876850988228,0.4710410040784808,0.478205343478859,0.05,0.0293868834262173,0.0421786998980626,0.10604085802675325,1.0,-0.026890868518840663,0.10466627962615667,0.108861115931585,0.13304877280902982,0.9739150450244611,5.144553966670899
200,0,0.0002377090648062395,840,0,0.0,728,0.8666666666666667,840,0,0,0,0,0,0.19245750830888314,0.5143648719534109,0.576379316875823,0.5852816790785351,0.05,0.046020262080669345,0.0601695587064692,0.11885909874498493,1.0,-0.026055772259231808,0.11859917913152283,0.12827934663987098,0.1366476824521191,0.9739150450244611,5.144553966670899
300,0,0.0002696627286673394,848,0,0.0,732,0.8632075471698113,848,0,0,0,0,0,0.2067826329383744,0.5719591140289453,0.6360582832854509,0.6393086490940821,0.05,0.055859743008081976,0.06411037751759255,0.12223291316217814,1.0,-0.02509527443494125,0.12896249355906916,0.13906585579653588,0.13887907870570507,0.9739150450244611,5.144553966670899
400,0,0.0002803936508241285,848,0,0.0,732,0.8632075471698113,848,0,0,0,0,0,0.20510951979261532,0.6092331723823416,0.6578852431100293,0.6600097974275105,0.05,0.05385637583371387,0.06781893392762749,0.12718582639690718,1.0,-0.02566973594783943,0.13582488463535347,0.14235399916833372,0.1474328332948326,0.9739150450244611,5.144553966670899
500,0,0.00028458094070844993,860,0,0.0,756,0.8790697674418605,860,0,0,0,0,0,0.19406434874473247,0.618096398550009,0.6608078575058101,0.6667171869387919,0.05,0.05270843896974781,0.06830961593277135,0.12780426217101765,1.0,-0.026764495104985235,0.13655999305539482,0.14352240838013058,0.14100908953783772,0.9739150450244611,5.144553966670899
600,0,0.00028421321551241196,876,0,0.0,764,0.8721461187214612,876,0,0,0,0,0,0.2030018946434407,0.6197182254218189,0.665254667717643,0.6730277507115384,0.05,0.052027872610679114,0.06640070341399541,0.12982221929656662,1.0,-0.02870504373980629,0.13642356418203552,0.14266535541818195,0.149141118416442,0.9739150450244611,5.144553966670899
700,0,0.00029293968076087197,892,0,0.0,772,0.8654708520179372,892,0,0,0,0,0,0.20196690915318588,0.6134346516496848,0.659759415108906,0.6787356460526992,0.05,0.05158616585044008,0.06547833268120737,0.12908685097373174,1.0,-0.02789875862540933,0.13463308987526668,0.14133753711227762,0.13145578077779085,0.9739150450244611,5.144553966670899
800,0,0.00030584078418361316,900,0,0.0,772,0.8577777777777778,900,0,0,0,0,0,0.21027155477843676,0.6071775831073923,0.6521984916633079,0.6805084319703036,0.05,0.05127877501390023,0.06426007324805792,0.13542159194634018,1.0,-0.029901964872391197,0.13516842495865253,0.14231888981061008,0.13487739982550678,0.9739150450244611,5.144553966670899
900,0,0.00031063633138881226,908,0,0.0,780,0.8590308370044053,908,0,0,0,0,0,0.20194831343965633,0.6091436242926025,0.6460376616819115,0.6797815496075217,0.05,0.057435107445898276,0.06329807327161174,0.13259837797650353,1.0,-0.02987414532277347,0.13538015205573756,0.14273008998437792,0.14030315767626667,0.9739150450244611,5.144553966670899
1000,0,0.0003084275362609073,924,0,0.0,788,0.8528138528138528,924,0,0,0,0,0,0.20300858537599217,0.6070379072658013,0.6470816609500727,0.6773997843553847,0.05,0.056648369479714945,0.06302110686679599,0.13520012159572392,1.0,-0.031732984716576706,0.13555046771429619,0.1427493268302245,0.14202696542342236,0.9739150450244611,5.144553966670899
