step,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,ratio_cap_limiter_count,ratio_cap_limiter_fraction_of_normal_limiter,abs_cap_limiter_count,abs_cap_limiter_fraction_of_normal_limiter,sphere11_active_count,sphere11_limiter_count,sphere11_normal_limiter_count,outer90_active_count,outer90_limiter_count,outer90_normal_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,fallback_angle_normal_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,dn_try_p50,dn_try_p95,effective_cap_p50,effective_cap_p95,ratio_cap_p50,ratio_cap_p95,abs_cap_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95,target_normal_abs_p50,target_minus_raw_abs_p50,smooth_weight_c_p50,smooth_weight_g_p50,smooth_weight_t_p50,smooth_weight_total_p50,tan_coeff_times_tangent_p50,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50,wall_profile_conflict_p50
0,0,0.0,5196,0,0.0,4000,0.7698229407236336,3684,0.7090069284064665,1512,0.2909930715935335,2512,0.628,1488,0.372,5196,0,4000,0,0,0,0,0,0,0.09746726150847551,0.3396364658043522,0.5029118575019015,0.6239620462516936,0.05,-0.09746726150847551,-2.531965533608694e-05,0.027381709305448684,0.05,0.027381709305448684,0.07148184549661596,0.05,3.255474258484762,9.697841136838164,18.41656221748974,0.05476341861089737,0.14296369099323192,0.15829126597952564,0.10035613823535042,1.0,1.0,1.0,1.0,0.15829126597952564,0.1031356239980673,0.13835693640441224,0.30717490620412496,1.0,0.015840193982952496,0.09148110989330609,0.11272870064922934,0.38262808112072644,0.980461964712138,5.144553966670899,0.0
100,0,3.513096681621715e-05,5176,0,0.0,3924,0.7581143740340031,3656,0.7063369397217929,1520,0.2936630602782071,2428,0.6187563710499491,1496,0.381243628950051,5176,0,3924,0,0,0,0,0,0,0.09387192675446115,0.3347347574485041,0.4848402710123968,0.6085144409486464,0.05,-0.09387192675446115,-2.1646622837624014e-05,0.029050568863478808,0.05,0.029050568863478808,0.07211588516753226,0.05,2.9311655200613593,9.645286676000122,17.615856679995765,0.058101137726957616,0.1442317703350645,0.1582548911493453,0.0969562140617886,1.0,1.0,1.0,1.0,0.1582548911493453,0.10367758197257623,0.14186765708047708,0.34116302311362295,1.0,0.012363751398030245,0.08918477055431429,0.11253334258191731,0.37964727415613037,0.980461964712138,5.144553966670899,0.0
200,0,2.0527970034423187e-05,5228,0,0.0,3940,0.7536342769701607,3700,0.7077276205049732,1528,0.29227237949502677,2436,0.6182741116751269,1504,0.3817258883248731,5228,0,3940,0,0,0,0,0,0,0.09185572718800028,0.3332977442560298,0.4829838895608094,0.6073746215888877,0.05,-0.09185572718800028,-1.2331869656261685e-05,0.029305121218043944,0.05,0.029305121218043944,0.07226744490161784,0.05,2.843156440178446,9.435608547681376,17.56857101456708,0.05861024243608789,0.14453488980323567,0.15764102076780512,0.09493438731971102,1.0,1.0,1.0,1.0,0.15764102076780512,0.10598150558563935,0.14188191882658072,0.35172176461827265,1.0,0.011706631877251163,0.08831508306722123,0.11208603837727138,0.3730747596407922,0.980461964712138,5.144553966670899,0.0
300,0,2.0299292026527783e-05,5260,0,0.0,3956,0.7520912547528517,3700,0.7034220532319392,1560,0.2965779467680608,2420,0.6117290192113246,1536,0.38827098078867545,5260,0,3956,0,0,0,0,0,0,0.09002121559650095,0.3321021171220436,0.48233874323006615,0.6071508353988753,0.05,-0.09002121559650095,-8.788201975731199e-06,0.02955694173456748,0.05,0.02955694173456748,0.0724272817720751,0.05,2.8034882031710207,9.406720095481248,17.51891894883367,0.05911388346913496,0.1448545635441502,0.1577085168835427,0.09395437553004851,1.0,1.0,1.0,1.0,0.1577085168835427,0.10630697946252007,0.1419944875543893,0.356698486859657,1.0,0.011956286058069357,0.08742168641678189,0.11171470824696182,0.37014701231515257,0.980461964712138,5.144553966670899,0.0
400,0,2.0077887026180847e-05,5300,0,0.0,3988,0.7524528301886793,3740,0.7056603773584905,1560,0.2943396226415094,2452,0.6148445336008024,1536,0.38515546639919757,5300,0,3988,0,0,0,0,0,0,0.08840082658941767,0.3311156726585188,0.4819127450341839,0.6070898499021722,0.05,-0.08840082658941767,-1.1837351785713639e-05,0.029724052475770542,0.05,0.029724052475770542,0.07256596090254114,0.05,2.73043969208668,9.38166959193687,17.46092647973656,0.059448104951541084,0.14513192180508228,0.15766300825911994,0.09180040292960592,1.0,1.0,1.0,1.0,0.15766300825911994,0.10659083547980157,0.141859094916716,0.3662413796937027,1.0,0.012888516938164268,0.08664187224113805,0.11136075721761059,0.36447254985715816,0.980461964712138,5.144553966670899,0.0
500,0,1.990516923901437e-05,5308,0,0.0,4004,0.7543330821401658,3692,0.6955538809344386,1616,0.3044461190655614,2412,0.6023976023976024,1592,0.39760239760239763,5308,0,4004,0,0,0,0,0,0,0.08880157632966593,0.33163555717353005,0.48152793403481486,0.6070479401670907,0.05,-0.08880157632966593,-2.5249988495116305e-05,0.029730626294035507,0.05,0.029730626294035507,0.07272751256707197,0.05,2.7105892810418384,9.357703009382123,17.39702280663673,0.059461252588071015,0.14545502513414393,0.15846086390309122,0.0915569739561799,1.0,1.0,1.0,1.0,0.15846086390309122,0.10686383175415923,0.14243622461586652,0.36892346878005855,1.0,0.014235765403168147,0.08591134174416251,0.11101750024346715,0.3656977231366182,0.980461964712138,5.144553966670899,0.0
600,0,1.9716856337188726e-05,5340,0,0.0,4012,0.751310861423221,3708,0.6943820224719102,1632,0.3056179775280899,2404,0.5992023928215354,1608,0.40079760717846463,5340,0,4012,0,0,0,0,0,0,0.0875578944575396,0.3329888260523134,0.48113805629983575,0.6069881265999121,0.05,-0.0875578944575396,-2.948828110497165e-05,0.029888706915152878,0.05,0.029888706915152878,0.0728735632186909,0.05,2.6512064736568153,9.356746719599537,17.32954828784176,0.059777413830305756,0.1457471264373818,0.15681639978903367,0.08992128031276835,1.0,1.0,1.0,1.0,0.15681639978903367,0.10687475358345486,0.14302210220990963,0.37718678279831297,1.0,0.015593955108528372,0.08525748083028444,0.11068458194562239,0.35750142495456916,0.980461964712138,5.144553966670899,0.0
700,0,1.9540832463386953e-05,5388,0,0.0,4024,0.746844840386043,3748,0.6956198960653304,1640,0.30438010393466963,2408,0.5984095427435387,1616,0.40159045725646125,5388,0,4024,0,0,0,0,0,0,0.08542205231747677,0.3329465088449476,0.4807301102096254,0.6069001345294726,0.05,-0.08542205231747677,-1.1278097086871777e-05,0.02969152943954619,0.05,0.02969152943954619,0.07301628009574582,0.05,2.5745614593367243,9.31120285657111,17.26013097505515,0.05938305887909238,0.14603256019149163,0.15415556182751267,0.08841112347595487,1.0,1.0,1.0,1.0,0.15415556182751267,0.1073975097961131,0.1436115480284144,0.38841566449053977,1.0,0.01694688400721716,0.08477960021874859,0.11036217492345822,0.3562710591519646,0.9804619647121381,5.144553966670899,0.0
800,0,1.9344918387621333e-05,5420,0,0.0,4016,0.7409594095940959,3768,0.6952029520295203,1652,0.3047970479704797,2396,0.5966135458167331,1620,0.4033864541832669,5420,0,4016,0,0,0,0,0,0,0.08464166473152855,0.33293916248009126,0.4803095333578034,0.6067826354194171,0.05,-0.08464166473152855,-5.9518846631587735e-06,0.029842854757025635,0.05,0.029842854757025635,0.07319871974952825,0.05,2.535471449771646,9.288454770326231,17.189836173816097,0.05968570951405127,0.1463974394990565,0.15220307358084917,0.08734354797098529,1.0,1.0,1.0,1.0,0.15220307358084917,0.10766053393452416,0.1441880731616744,0.39440396778679343,1.0,0.017938742034429453,0.08424922668726186,0.11005025239194771,0.3548279445854372,0.9804619647121381,5.144553966670899,0.0
900,0,1.913076030171321e-05,5420,0,0.0,3996,0.7372693726937269,3760,0.6937269372693727,1660,0.3062730627306273,2368,0.5925925925925926,1628,0.4074074074074074,5420,0,3996,0,0,0,0,0,0,0.08240834546205732,0.33335756990865395,0.47987519154864444,0.6066373017619757,0.05,-0.08240834546205732,-2.5358970340919425e-05,0.029966625810592923,0.05,0.029966625810592923,0.07337793772299599,0.05,2.4860846719082974,9.294610365991607,17.119366875526264,0.059933251621185846,0.14675587544599197,0.15321752985641818,0.08720825805316715,1.0,1.0,1.0,1.0,0.15321752985641818,0.10758923296655197,0.14411620081646798,0.40223891458720606,1.0,0.018099817675465688,0.08375316137905515,0.10992313056314443,0.3554196324545298,0.9804619647121381,5.144553966670899,0.0
