step,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,ratio_cap_limiter_count,ratio_cap_limiter_fraction_of_normal_limiter,abs_cap_limiter_count,abs_cap_limiter_fraction_of_normal_limiter,sphere11_active_count,sphere11_limiter_count,sphere11_normal_limiter_count,outer90_active_count,outer90_limiter_count,outer90_normal_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,fallback_angle_normal_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,dn_try_p50,dn_try_p95,effective_cap_p50,effective_cap_p95,ratio_cap_p50,ratio_cap_p95,abs_cap_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95,target_normal_abs_p50,target_minus_raw_abs_p50,smooth_weight_c_p50,smooth_weight_g_p50,smooth_weight_t_p50,smooth_weight_total_p50,tan_coeff_times_tangent_p50,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50,wall_profile_conflict_p50
0,0,0.0,780,0,0.0,728,0.9333333333333333,608,0.7794871794871795,172,0.2205128205128205,556,0.7637362637362637,172,0.23626373626373626,780,0,728,0,0,0,0,0,0,0.24976681083346844,0.7527197806345167,0.8271105440830034,0.8291913889191439,0.05,-0.24976681083346844,-0.0022399888278053825,0.020022381566888757,0.05,0.020022381566888757,0.08056525561910233,0.05,11.1649111761677,40.678143443613834,47.0883538794094,0.040044763133777514,0.16113051123820465,0.21586470964029816,0.24976681083371824,1.0,1.0,1.0,1.0,0.21586470964029816,0.024583226158936034,0.035130173854051774,0.08956631935725307,1.0,-0.07481765241652095,0.12702070946934085,0.14947074184346124,0.10484799877528311,0.9739150450244611,5.144553966670899,0.0
100,0,0.00018277308602216634,832,0,0.0,720,0.8653846153846154,764,0.9182692307692307,68,0.08173076923076923,652,0.9055555555555556,68,0.09444444444444444,832,0,720,0,0,0,0,0,0,0.1934878422981547,0.442876850988228,0.4710410040784808,0.478205343478859,0.05,-0.1934878422981547,-0.001290225406630389,0.018423907501668807,0.05,0.018423907501668807,0.05346729260328769,0.05,9.433090440218002,34.028787112139256,52.52535010726582,0.036847815003337614,0.10693458520657538,0.24126891308438864,0.19348784229834817,1.0,1.0,1.0,1.0,0.24126891308438864,0.0293868834262173,0.0421786998980626,0.10604085802675325,1.0,-0.026890868518840663,0.10466627962615667,0.108861115931585,0.13304877280902982,0.9739150450244611,5.144553966670899,0.0
200,0,0.0002377090648062395,840,0,0.0,728,0.8666666666666667,772,0.919047619047619,68,0.08095238095238096,660,0.9065934065934066,68,0.09340659340659341,840,0,728,0,0,0,0,0,0,0.19245750830888314,0.5143648719534109,0.576379316875823,0.5852816790785351,0.05,-0.19245750830888314,-0.0020488414715156274,0.02093248882297924,0.05,0.02093248882297924,0.05565637413542493,0.05,8.413367668971839,21.72955899831884,24.410405539450238,0.04186497764595848,0.11131274827084986,0.24658888275291715,0.19245750830907565,1.0,1.0,1.0,1.0,0.24658888275291715,0.046020262080669345,0.0601695587064692,0.11885909874498493,1.0,-0.026055772259231808,0.11859917913152283,0.12827934663987098,0.1366476824521191,0.9739150450244611,5.144553966670899,0.0
300,0,0.0002696627286673394,848,0,0.0,732,0.8632075471698113,776,0.9150943396226415,72,0.08490566037735849,660,0.9016393442622951,72,0.09836065573770492,848,0,732,0,0,0,0,0,0,0.2067826329383744,0.5719591140289453,0.6360582832854509,0.6393086490940821,0.05,-0.2067826329383744,-0.0009931327272929384,0.022532609970691248,0.05,0.022532609970691248,0.053393569874645386,0.05,8.181102569920787,17.901979961764532,25.727166190175826,0.045065219941382496,0.10678713974929077,0.23764857983606802,0.20678263293858123,1.0,1.0,1.0,1.0,0.23764857983606802,0.055859743008081976,0.06411037751759255,0.12223291316217814,1.0,-0.02509527443494125,0.12896249355906916,0.13906585579653588,0.13887907870570507,0.9739150450244611,5.144553966670899,0.0
400,0,0.0002803936508241285,848,0,0.0,732,0.8632075471698113,800,0.9433962264150944,48,0.05660377358490566,684,0.9344262295081968,48,0.06557377049180328,848,0,732,0,0,0,0,0,0,0.20510951979261532,0.6092331723823416,0.6578852431100293,0.6600097974275105,0.05,-0.20510951979261532,-0.0007299492605044612,0.023086213007295374,0.05,0.023086213007295374,0.050903180416446994,0.05,7.8625113216571245,18.567903697931417,27.87848569588721,0.04617242601459075,0.10180636083289399,0.2494626537576103,0.20510951979282047,1.0,1.0,1.0,1.0,0.2494626537576103,0.05385637583371387,0.06781893392762749,0.12718582639690718,1.0,-0.02566973594783943,0.13582488463535347,0.14235399916833372,0.1474328332948326,0.9739150450244611,5.144553966670899,0.0
500,0,0.00028458094070844993,860,0,0.0,756,0.8790697674418605,804,0.9348837209302325,56,0.06511627906976744,700,0.9259259259259259,56,0.07407407407407407,860,0,756,0,0,0,0,0,0,0.19406434874473247,0.618096398550009,0.6608078575058101,0.6667171869387919,0.05,-0.19406434874473247,-0.0008859754425833663,0.02451852945011576,0.05,0.02451852945011576,0.051466330153435914,0.05,7.824465186160059,18.972293992124364,25.07590825640738,0.04903705890023152,0.10293266030687183,0.24180542089501048,0.19406434874492656,1.0,1.0,1.0,1.0,0.24180542089501048,0.05270843896974781,0.06830961593277135,0.12780426217101765,1.0,-0.026764495104985235,0.13655999305539482,0.14352240838013058,0.14100908953783772,0.9739150450244611,5.144553966670899,0.0
600,0,0.00028421321551241196,876,0,0.0,764,0.8721461187214612,828,0.9452054794520548,48,0.0547945205479452,716,0.93717277486911,48,0.06282722513089005,876,0,764,0,0,0,0,0,0,0.2030018946434407,0.6197182254218189,0.665254667717643,0.6730277507115384,0.05,-0.2030018946434407,-0.00043768344682611725,0.024122479642569687,0.05,0.024122479642569687,0.0529694486944455,0.05,7.702841666229689,19.22046683482389,25.66135260412313,0.048244959285139374,0.105938897388891,0.2429812662702888,0.20300189464364377,1.0,1.0,1.0,1.0,0.2429812662702888,0.052027872610679114,0.06640070341399541,0.12982221929656662,1.0,-0.02870504373980629,0.13642356418203552,0.14266535541818195,0.149141118416442,0.9739150450244611,5.144553966670899,0.0
700,0,0.00029293968076087197,892,0,0.0,772,0.8654708520179372,844,0.9461883408071748,48,0.053811659192825115,724,0.9378238341968912,48,0.06217616580310881,892,0,772,0,0,0,0,0,0,0.20196690915318588,0.6134346516496848,0.659759415108906,0.6787356460526992,0.05,-0.20196690915318588,-0.0002656816914325886,0.02380848108441915,0.05,0.02380848108441915,0.05441424821362357,0.05,7.74672240012651,19.38504216225771,23.64788447141694,0.0476169621688383,0.10882849642724714,0.24958387132222615,0.20196690915338783,1.0,1.0,1.0,1.0,0.24958387132222615,0.05158616585044008,0.06547833268120737,0.12908685097373174,1.0,-0.02789875862540933,0.13463308987526668,0.14133753711227762,0.13145578077779085,0.9739150450244611,5.144553966670899,0.0
800,0,0.00030584078418361316,900,0,0.0,772,0.8577777777777778,840,0.9333333333333333,60,0.06666666666666667,712,0.9222797927461139,60,0.07772020725388601,900,0,772,0,0,0,0,0,0,0.21027155477843676,0.6071775831073923,0.6521984916633079,0.6805084319703036,0.05,-0.21027155477843676,-0.0002656006957573767,0.02478161033130928,0.05,0.02478161033130928,0.055765078049481887,0.05,7.384346806351566,19.501245880560294,23.367478247716853,0.04956322066261856,0.11153015609896377,0.2514080138252993,0.21027155477864706,1.0,1.0,1.0,1.0,0.2514080138252993,0.05127877501390023,0.06426007324805792,0.13542159194634018,1.0,-0.029901964872391197,0.13516842495865253,0.14231888981061008,0.13487739982550678,0.9739150450244611,5.144553966670899,0.0
900,0,0.00031063633138881226,908,0,0.0,780,0.8590308370044053,848,0.933920704845815,60,0.06607929515418502,720,0.9230769230769231,60,0.07692307692307693,908,0,780,0,0,0,0,0,0,0.20194831343965633,0.6091436242926025,0.6460376616819115,0.6797815496075217,0.05,-0.20194831343965633,-0.00034971047318330784,0.024640642859525462,0.05,0.024640642859525462,0.057012278534825475,0.05,7.541570381631674,17.41095376102435,23.557347569745147,0.049281285719050924,0.11402455706965095,0.24518616588135067,0.2019483134398583,1.0,1.0,1.0,1.0,0.24518616588135067,0.057435107445898276,0.06329807327161174,0.13259837797650353,1.0,-0.02987414532277347,0.13538015205573756,0.14273008998437792,0.14030315767626667,0.9739150450244611,5.144553966670899,0.0
