theta_deg,case_dir,summary_json,case_status,run_returncode,postprocess_returncode,run_nan_hit_count,run_stopped_due_to_nan,last_log_iteration,target_domain_nx,target_domain_ny,target_domain_nz,target_R_drop_lu,target_R_solid_lu,target_liquid_spherical_cap_radius_lu,target_liquid_solid_center_distance_lu,target_expected_Hmax_lu,target_expected_H1_minus_H2_lu,target_initial_drop_volume_lu3,target_target_note,pre2025_our_scheme_relative_error_percent,pre2025_ie_scheme_relative_error_percent,pre2025_ig_scheme_relative_error_percent,final_step,measured_Hmax_lu,measured_H1_minus_H2_lu,Hmax_relative_error_percent,H1_minus_H2_relative_error_percent,fit_contact_angle_deg,fit_contact_angle_x_slice_deg,fit_contact_angle_y_slice_deg,u_max_fluid,u_max_interface_band,u_max_contact_interface_band,mach_max_fluid,fluid_phase_sum_rel_change,fluid_phase_clipped_sum_rel_change,rho_sum_rel_change,fluid_rho_sum_rel_change,phase_nonfinite_count,u_nonfinite_count,rho_nonfinite_count,max_abs_fluid_phase_sum_rel_change,max_abs_fluid_phase_clipped_sum_rel_change,max_abs_rho_sum_rel_change,max_abs_fluid_rho_sum_rel_change,max_mach_fluid,max_nonfinite_count,log_final_NumSpecialPoints,log_final_NumWallBoundaryPoints,log_final_NumBoundaryPoints,log_max_NumSpecialPoints,log_max_NumWallBoundaryPoints,log_max_NumBoundaryPoints,derived_status
30,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta030,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta030\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,29.045304538144578,14.568427484135233,43.61373202227981,19.613732022279812,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,4.2,14.1,7.5,200000,49.98945146113799,25.98945146113799,14.618605524519616,32.50640638719755,45.06983783713527,45.08937136180941,45.05030431246113,0.000106853129181381,5.534725475043056e-05,5.533506741748243e-05,0.00018507504868987254,-0.012682860498309427,-0.012682861974148666,-0.012484116386553815,-0.012484116386553216,0,0,0,0.012682860498309427,0.012682861974148666,0.012484116386553815,0.012484116386553216,0.0006218351267254981,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
40,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta040,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta040\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,28.20490847034644,18.287116188890547,46.49202465923699,22.49202465923699,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,2.1,8.6,6.9,200000,51.433822461005605,27.433822461005605,10.629345222088073,21.971333735574248,52.81912691902241,52.82366202336749,52.81459181467733,9.38671739467712e-05,5.0168395830071165e-05,5.0154369153953074e-05,0.00016258271443871333,-0.0095907114184739,-0.009590712945683857,-0.009440422181892286,-0.009440422181891808,0,0,0,0.0095907114184739,0.009590712945683857,0.009440422181892286,0.009440422181891808,0.0005940163496529926,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
50,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta050,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta050\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,27.366067204730157,21.9215493487897,49.287616553519854,25.287616553519854,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,2.0,6.9,5.9,200000,53.16356880381164,29.163568803811643,7.863947419902148,15.327471618721159,60.822720700607555,60.86787706757318,60.77756433364193,7.941446287845096e-05,4.524599320142844e-05,4.521215774622259e-05,0.00013754988456126963,-0.0076483753489162126,-0.007648376589489179,-0.007528523083309449,-0.007528523083309688,0,0,0,0.0076483753489162126,0.007648376589489179,0.007528523083309449,0.007528523083309688,0.000552969597133561,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
60,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta060,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta060\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,26.597850406250004,25.398764467651834,51.996614873901834,27.996614873901834,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,1.2,3.4,3.1,200000,55.170924149151844,31.170924149151844,6.104838330241496,11.338189597375466,70.02408894971072,70.00543078649935,70.0427471129221,6.727938311384771e-05,3.9661476256644146e-05,3.9612986358651446e-05,0.00011653130985507583,-0.006088499997231238,-0.006088500554954302,-0.005993091431944194,-0.005993091431944432,0,0,0,0.006088499997231238,0.006088500554954302,0.005993091431944194,0.005993091431944432,0.0005034901511438216,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
70,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta070,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta070\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,25.933075975009388,28.68417647688176,54.61725245189115,30.617252451891147,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,0.4,1.7,1.6,200000,57.40437222683504,33.40437222683504,5.103002530929005,9.103102178496544,79.80590822567447,79.811563026258,79.80025342509093,5.6286423241643375e-05,3.316818986468762e-05,3.316047110402482e-05,9.749094483085204e-05,-0.004762287108204616,-0.0047622871349758894,-0.0046876606845069075,-0.004687660684507385,0,0,0,0.004762287108204616,0.0047622871349758894,0.0046876606845069075,0.004687660684507385,0.00044764878138031194,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
80,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta080,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta080\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,25.38287751060033,31.76037358694832,57.14325109754865,33.14325109754865,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,0.6,0.1,0.2,200000,59.7984368553453,35.7984368553453,4.646543041914104,8.011241112049612,90.11806153362406,90.13229894417891,90.1038241230692,4.3960409363284575e-05,2.5872577213407282e-05,2.5872577213407282e-05,7.614166253873549e-05,-0.0036079592691225394,-0.0036079592691225394,-0.0035514214983025445,-0.0035514214983027835,0,0,0,0.0036079592691225394,0.0036079592691225394,0.0035514214983025445,0.0035514214983027835,0.00038664865485173297,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
90,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta090,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta090\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,24.94575641807569,34.61633665294415,59.56209307101984,35.56209307101984,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,1.3,1.1,1.1,200000,62.30308332965777,38.30308332965777,4.601903857491482,7.7076179210374125,101.42199959186016,101.41626047694893,101.42773870677138,3.1363041821557276e-05,1.833979825228127e-05,1.8337519252801195e-05,5.432238191484475e-05,-0.002588713152496075,-0.002588713152496075,-0.0025481472646868243,-0.002548147264687063,0,0,0,0.002588713152496075,0.002588713152496075,0.0025481472646868243,0.002548147264687063,0.00032039916438450494,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
100,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta100,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta100\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,24.61294762521191,37.24176256440675,61.85471018961866,37.85471018961866,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,1.8,2.0,2.1,200000,64.76579308046792,40.765793080467915,4.706323709100229,7.690147081478909,113.41422118299363,113.41434108963858,113.41410127634866,1.9444660397037815e-05,1.1391679573068894e-05,1.1385211319961735e-05,3.3679139743591916e-05,-0.0017103389918955345,-0.0017103389918955345,-0.0016835374825841742,-0.0016835374825840545,0,0,0,0.0017103389918955345,0.0017103389918955345,0.0016835374825841742,0.0016835374825840545,0.0002486727852314472,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
110,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta110,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta110\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,24.371584722042137,39.62425571603322,63.995840438075355,39.995840438075355,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,2.1,2.3,2.6,200000,67.13911745202356,43.139117452023555,4.911689560495336,7.859009785817263,126.47775187122286,126.4762416641596,126.47926207828613,9.923236864821642e-06,7.965401830125756e-06,7.948093216354209e-06,1.7187550425411582e-05,-0.0009721678543403605,-0.0009721678543403605,-0.0009569337013893328,-0.0009569337013898107,0,0,0,0.0009721678543403605,0.0009721678543403605,0.0009569337013893328,0.0009569337013898107,0.0001732918832813876,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
120,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta120,artifacts\pre2025_sphere_tableII_q27_geometric_200k_20260610\theta120\analysis_pre2025_sphere\pre2025_sphere_summary.json,exploratory_not_validation,0,0,0,False,200000.0,80,80,140,24.0,24.0,24.20664338008504,41.74830565247715,65.95494903256218,41.95494903256218,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit,2.8,2.9,3.3,200000,69.22754104807404,45.227541048074045,4.961859668629525,7.80025263043921,140.3003489644143,140.2962798321839,140.30441809664467,1.0626741698053264e-05,1.0626741698053264e-05,1.013514967388397e-05,1.8406056539939017e-05,-0.00041565381665968957,-0.00041565381665968957,-0.00040914040049430217,-0.00040914040049442165,0,0,0,0.00041565381665968957,0.00041565381665968957,0.00040914040049430217,0.00040914040049442165,9.378588011821051e-05,0,392.0,73292.0,121164.0,392.0,73292.0,121164.0,exploratory_not_validation
