theta_deg,pre2025_our_H1H2_error_percent,pre2025_IE_error_percent,pre2025_IG_error_percent,tclb_q27_geometric_H1H2_error_percent,tclb_q27_geometric_Hmax_error_percent,tclb_fit_contact_angle_deg,tclb_fit_contact_angle_offset_deg,tclb_max_mach_fluid,tclb_fluid_phase_drift_percent,tclb_fluid_rho_drift_percent,tclb_nonfinite_count_max,tclb_run_nan_hit_count,tclb_NumSpecialPoints
30,4.2,14.1,7.5,32.50640638719755,14.618605524519616,45.06983783713527,15.069837837135267,0.0006218351267254981,-1.2682860498309427,-1.2484116386553217,0,0,392
40,2.1,8.6,6.9,21.971333735574248,10.629345222088073,52.81912691902241,12.819126919022409,0.0005940163496529926,-0.95907114184739,-0.9440422181891808,0,0,392
50,2.0,6.9,5.9,15.327471618721159,7.863947419902148,60.822720700607555,10.822720700607555,0.000552969597133561,-0.7648375348916212,-0.7528523083309688,0,0,392
60,1.2,3.4,3.1,11.338189597375466,6.104838330241496,70.02408894971072,10.024088949710716,0.0005034901511438216,-0.6088499997231238,-0.5993091431944433,0,0,392
70,0.4,1.7,1.6,9.103102178496544,5.103002530929005,79.80590822567447,9.805908225674472,0.00044764878138031194,-0.4762287108204616,-0.46876606845073854,0,0,392
80,0.6,0.1,0.2,8.011241112049612,4.646543041914104,90.11806153362406,10.118061533624058,0.00038664865485173297,-0.36079592691225393,-0.35514214983027836,0,0,392
90,1.3,1.1,1.1,7.7076179210374125,4.601903857491482,101.42199959186016,11.421999591860157,0.00032039916438450494,-0.2588713152496075,-0.2548147264687063,0,0,392
100,1.8,2.0,2.1,7.690147081478909,4.706323709100229,113.41422118299363,13.414221182993629,0.0002486727852314472,-0.17103389918955345,-0.16835374825840543,0,0,392
110,2.1,2.3,2.6,7.859009785817263,4.911689560495336,126.47775187122286,16.477751871222864,0.0001732918832813876,-0.09721678543403606,-0.09569337013898106,0,0,392
120,2.8,2.9,3.3,7.80025263043921,4.961859668629525,140.3003489644143,20.300348964414297,9.378588011821051e-05,-0.04156538166596896,-0.040914040049442164,0,0,392
130,2.9,3.3,3.9,8.14892930239957,5.2599954354825345,160.25265214653825,30.252652146538253,2.3677235172927126e-05,-5.798807615689053e-05,-5.707938619798784e-05,0,0,392
