step,wall_count,fluid_count,wall_phase_pred_gt_1_count,wall_phase_profile_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_profile_delta_nonzero_count,wall_clamp_delta_nonzero_count,wall_phase_pred_max,wall_phase_profile_pred_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
0,121164,954036,64,0,0,0,34780,0,1.7954628943313244,1.0,1.0,0.9999997995397631,0.0,0
20000,121164,954036,820,0,0,0,72900,0,1.48388500065128,1.0,1.0,0.999999878814603,0.000571792917989038,0
40000,121164,954036,1396,0,0,0,72900,0,1.4831358510732424,1.0,1.0,0.999999872805821,0.0005112529101665533,0
60000,121164,954036,1944,0,0,0,72900,0,1.472688231835,1.0,1.0,0.9999998846879853,0.00045345070011447414,0
80000,121164,954036,2602,0,0,0,72900,0,1.558716137601476,1.0,1.0,0.9999998989463371,0.000401225042296382,0
100000,121164,954036,3166,6,6,6,72900,0,1.6260530056179818,1.0000000741234318,1.0000000741234318,1.0000001462106285,0.0003568731570990685,0
120000,121164,954036,3536,28,28,34,72900,0,1.6692648547855857,1.0000001916511194,1.0000001916511194,1.000000378056583,0.00031903572779906153,0
140000,121164,954036,3802,40,40,70,72900,0,1.6420903117833483,1.0000002458365347,1.0000002458365347,1.00000048494775,0.00028707918710734354,0
160000,121164,954036,4064,52,52,106,72900,0,1.6692878923792338,1.0000002513796213,1.0000002513796213,1.0000004958825561,0.0002599141263553329,0
180000,121164,954036,4272,52,52,124,72900,0,1.6891051041060405,1.0000002409308544,1.0000002409308544,1.0000004752703497,0.00023739144189167377,0
200000,121164,954036,4478,52,52,132,72900,0,1.7048204384422396,1.0000002177629779,1.0000002177629779,1.0000004295672509,0.00021812127176391714,0
