step,fit_angle_deg,H1H2_error_percent,Hmax_error_percent,measured_H1H2_lu,fluid_phase_drift_percent,fluid_rho_drift_percent,phase_max,mach_max_fluid,wall_pred_gt1_count,wall_actual_gt1_count,fluid_phi_gt1_count,wall_pred_max,wall_profile_pred_max,nonfinite_count
0,163.59725731395724,142.1250928011663,63.91572916575209,47.48976686071707,0.0,0.0,1.0,0.0,64,0,0,1.7954628943313244,1.0,0
50000,110.51393148529378,107.32389196120356,48.265121073331194,40.66395258743138,-0.497737766450371,-0.489938070924908,1.0,0.00048228509571426,1628,0,0,1.485158068259571,1.0,0
100000,82.97958184020953,76.5566535592272,34.42864478247659,34.62934889661177,-0.9064005317553171,-0.8921969718719999,1.0000001462106285,0.0003568731570990685,3166,6,6,1.6260530056179818,1.0000000741234318,0
150000,62.47267540927617,55.006526827410994,24.73723817347352,30.40256478897166,-1.2543373434670153,-1.2346815125758897,1.000000499508738,0.0002728513860450312,3944,48,92,1.6518086922000872,1.0000002532178107,0
200000,54.87418900050058,39.44908176511726,17.740828000473634,27.351169204939964,-1.5318834550326015,-1.5078783958722097,1.0000004295672509,0.00021812127176391714,4478,52,132,1.7048204384422396,1.0000002177629779,0
250000,46.51089854486737,27.900887832193483,12.547436592786326,25.086137393523117,-1.7563638978,-1.7288411648301507,1.0000002740177707,0.00018107907431293396,4912,52,82,1.7345985825809933,1.0000001389116178,0
300000,41.8356003628963,19.075121431115452,8.578360591825088,23.355075222703263,-1.9467732745130768,-1.916266771245436,1.000000117788419,0.0001548220913878376,5412,34,34,1.7175439207282097,1.0000000597156018,0
350000,38.51169642388861,12.089349888742571,5.4367571415407685,21.984904712693563,-2.115004148349694,-2.081861418373285,1.0,0.00013451873927999177,5812,0,0,1.682070394370883,1.0,0
400000,36.112328210879845,6.3931560358765225,2.8750956052154906,20.86766851492284,-2.2693888123058583,-2.233826829755389,1.0,0.00011860492438299257,6106,0,0,1.6718619545984224,1.0,0
450000,34.139842525470335,1.625804889788968,0.7311481946223528,19.932613036568142,-2.4157249311981213,-2.377869819114982,1.0,0.00010591134991378075,6326,0,0,1.6658470709081277,1.0,0
500000,32.333667463526965,2.461484759440423,1.1069656323821901,19.13094299779391,-2.5591778597484183,-2.5190747985636355,1.0,9.634551497919651e-05,6552,0,0,1.6568067630292083,1.0,0
550000,30.658947969490413,6.128668368909074,2.756151640033895,18.41167143186776,-2.6929057971468664,-2.6507071802994475,1.0,9.101621601104324e-05,6722,0,0,1.6465159082729548,1.0,0
600000,29.56194806407526,9.472194563300095,4.259784182939369,17.755881164005174,-2.8179357416243755,-2.773777869192461,1.0,8.35328035214533e-05,7074,0,0,1.6346334552307744,1.0,0
