step,file,dims,array,missing,nonfinite_count,fluid_nonfinite_count,nonfinite_cell_count,fluid_nonfinite_cell_count,finite_min,finite_max,bad_bbox,fluid_bad_bbox,phi_gt_threshold_fluid,boundary_available,boundary_nonfinite_count,boundary_cell_count,fluid_cell_count,speed_max,speed_mean
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,PhaseField,False,0,0,0,0,0.0,1.0,,,57856,True,0,135160,1247240,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,U,False,0,0,0,0,0.0,0.0,,,,True,0,135160,1247240,0.0,0.0
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,P,False,0,0,0,0,0.0,0.0,,,,True,0,135160,1247240,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,Rho,False,0,0,0,0,0.0,0.9999997997402233,,,,True,0,135160,1247240,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,WallPhasePred,False,0,0,0,0,0.0,1.7954628943313244,,,,True,0,135160,1247240,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,WallPhaseProfilePred,False,0,0,0,0,0.0,1.0,,,,True,0,135160,1247240,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,WallPhaseUnifiedProfilePred,False,0,0,0,0,0.0,1.0,,,,True,0,135160,1247240,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,WallH,False,0,0,0,0,0.0,0.8660254037844386,,,,True,0,135160,1247240,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,WallNormalCoeff1,False,0,0,0,0,-4.276925679241872e-05,0.17143479549887125,,,,True,0,135160,1247240,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,WallActualMinusRaw,False,0,0,0,0,-1.054862754745995,0.12088925967896569,,,,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,PhaseField,False,0,0,0,0,1.611633011286646e-08,1.0,,,56254,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,U,False,0,0,0,0,-0.000159998992450282,0.0002838235465323726,,,,True,0,135160,1247240,0.00028397110947852043,5.544647296086461e-05
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,P,False,0,0,0,0,-1.8306185541431097e-06,6.199128239691029e-06,,,,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,Rho,False,0,0,0,0,0.0,0.9999998674036246,,,,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,WallPhasePred,False,0,0,0,0,0.0,1.4480228316330213,,,,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,WallPhaseProfilePred,False,0,0,0,0,0.0,1.0,,,,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,WallPhaseUnifiedProfilePred,False,0,0,0,0,1.611633011286646e-08,1.0,,,,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,WallH,False,0,0,0,0,0.0,0.8660254037844386,,,,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,WallNormalCoeff1,False,0,0,0,0,-0.1573572480609317,0.0,,,,True,0,135160,1247240,,
50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,WallActualMinusRaw,False,0,0,0,0,-0.688189353200577,0.10962962960228288,,,,True,0,135160,1247240,,
