classification,run_dir,raw_file_count,bytes,human,max_file_bytes,max_file_path,examples,approval_status
REVIEW_RAW_FIELDS,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_runtime_20260616,298,73790475046,68.72 GiB,512172188,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_runtime_20260616/stageB_debug2/diag_wall_t30/output/case_VTK_P00_00000000.vti,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_runtime_20260616/stageB_debug2/diag_wall_t30/output/case_VTK_P00_00000000.vti | /home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_runtime_20260616/stageB_debug2/diag_wall_t30/output/case_VTK_P00_00000500.vti | /home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_runtime_20260616/stageB_debug3/diag_wall_t30/output/case_VTK_P00_00000000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C3_cap0p5_20260619,90,31187896560,29.05 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C3_cap0p5_20260619/decouple_wall_120to150/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C3_cap0p5_20260619/decouple_wall_120to150/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C3_cap0p5_20260619/decouple_wall_120to150/output/case_VTK_P00_00000500.vti | /mnt/usb1t/RUNS/runs/stage15C3_cap0p5_20260619/decouple_wall_120to150/output/case_VTK_P00_00001000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15FSm1_revalidate_20260619,90,31187896560,29.05 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15FSm1_revalidate_20260619/decouple_wall_120to150/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15FSm1_revalidate_20260619/decouple_wall_120to150/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15FSm1_revalidate_20260619/decouple_wall_120to150/output/case_VTK_P00_00000500.vti | /mnt/usb1t/RUNS/runs/stage15FSm1_revalidate_20260619/decouple_wall_120to150/output/case_VTK_P00_00001000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/home/yuan/data_sdb/RUNS/runs/stage12_validation_20260615,400,23617119216,22.00 GiB,129025501,/home/yuan/data_sdb/RUNS/runs/stage12_validation_20260615/decouple_sphere_120to150/output/case_VTK_P00_00000000.vti,/home/yuan/data_sdb/RUNS/runs/stage12_validation_20260615/decouple_sphere_120to150/output/case_VTK_P00_00000000.vti | /home/yuan/data_sdb/RUNS/runs/stage12_validation_20260615/decouple_sphere_120to150/output/case_VTK_P00_00002000.vti | /home/yuan/data_sdb/RUNS/runs/stage12_validation_20260615/decouple_sphere_120to150/output/case_VTK_P00_00004000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C4_Msweep_20260619,54,18712737936,17.43 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C4_Msweep_20260619/M0p1/diag_wall_t30/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C4_Msweep_20260619/M0p1/diag_wall_t30/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C4_Msweep_20260619/M0p1/diag_wall_t30/output/case_VTK_P00_00000500.vti | /mnt/usb1t/RUNS/runs/stage15C4_Msweep_20260619/M0p1/diag_wall_t30/output/case_VTK_P00_00001000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15D_static_map_20260620,40,13861287360,12.91 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15D_static_map_20260620/diag_wall_t120/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15D_static_map_20260620/diag_wall_t120/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15D_static_map_20260620/diag_wall_t120/output/case_VTK_P00_00001000.vti | /mnt/usb1t/RUNS/runs/stage15D_static_map_20260620/diag_wall_t120/output/case_VTK_P00_00002000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_base,36,12475158624,11.62 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_base/decouple_wall_120to150/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_base/decouple_wall_120to150/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_base/decouple_wall_120to150/output/case_VTK_P00_00000500.vti | /mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_base/decouple_wall_120to150/output/case_VTK_P00_00001000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_test,36,12475158624,11.62 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_test/decouple_wall_120to150/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_test/decouple_wall_120to150/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_test/decouple_wall_120to150/output/case_VTK_P00_00000500.vti | /mnt/usb1t/RUNS/runs/stage15C2e_changed_angle_test/decouple_wall_120to150/output/case_VTK_P00_00001000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C2f_changed_angle_test,36,12475158624,11.62 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C2f_changed_angle_test/decouple_wall_120to150/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C2f_changed_angle_test/decouple_wall_120to150/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C2f_changed_angle_test/decouple_wall_120to150/output/case_VTK_P00_00000500.vti | /mnt/usb1t/RUNS/runs/stage15C2f_changed_angle_test/decouple_wall_120to150/output/case_VTK_P00_00001000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15FSm1_baseline_20260619,36,12475158624,11.62 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15FSm1_baseline_20260619/diag_wall_t150/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15FSm1_baseline_20260619/diag_wall_t150/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15FSm1_baseline_20260619/diag_wall_t150/output/case_VTK_P00_00000500.vti | /mnt/usb1t/RUNS/runs/stage15FSm1_baseline_20260619/diag_wall_t150/output/case_VTK_P00_00001000.vti,NEEDS_USER_APPROVAL
