name,dx,dy,dz,group,streams,line
g0,0,0,0,g,False,1
g1,1,0,0,g,True,2
g2,-1,0,0,g,True,3
g3,0,1,0,g,True,4
g4,0,-1,0,g,True,5
g5,0,0,1,g,True,6
g6,0,0,-1,g,True,7
g7,1,1,1,g,True,8
g8,-1,1,1,g,True,9
g9,1,-1,1,g,True,10
g10,-1,-1,1,g,True,11
g11,1,1,-1,g,True,12
g12,-1,1,-1,g,True,13
g13,1,-1,-1,g,True,14
g14,-1,-1,-1,g,True,15
g15,1,1,0,g,True,16
g16,-1,1,0,g,True,17
g17,1,-1,0,g,True,18
g18,-1,-1,0,g,True,19
g19,1,0,1,g,True,20
g20,-1,0,1,g,True,21
g21,1,0,-1,g,True,22
g22,-1,0,-1,g,True,23
g23,0,1,1,g,True,24
g24,0,-1,1,g,True,25
g25,0,1,-1,g,True,26
g26,0,-1,-1,g,True,27
h0,0,0,0,h,False,31
h1,1,0,0,h,True,32
h2,-1,0,0,h,True,33
h3,0,1,0,h,True,34
h4,0,-1,0,h,True,35
h5,0,0,1,h,True,36
h6,0,0,-1,h,True,37
h7,1,1,1,h,True,38
h8,-1,1,1,h,True,39
h9,1,-1,1,h,True,40
h10,-1,-1,1,h,True,41
h11,1,1,-1,h,True,42
h12,-1,1,-1,h,True,43
h13,1,-1,-1,h,True,44
h14,-1,-1,-1,h,True,45
h15,1,1,0,h,True,48
h16,-1,1,0,h,True,49
h17,1,-1,0,h,True,50
h18,-1,-1,0,h,True,51
h19,1,0,1,h,True,52
h20,-1,0,1,h,True,53
h21,1,0,-1,h,True,54
h22,-1,0,-1,h,True,55
h23,0,1,1,h,True,56
h24,0,-1,1,h,True,57
h25,0,1,-1,h,True,58
h26,0,-1,-1,h,True,59
