name,kind,group,stencil3d,streams,line
PhaseF,field,PF,"1,2",False,"290,292"
WallGhost,field,solid_boundary,2,False,86
WallGhostRaw,field,solid_boundary,1,False,89
WallGhostClamped,field,solid_boundary,1,False,90
WallGhostClampHit,field,solid_boundary,1,False,91
WettingPathId,field,solid_boundary,1,False,92
LocalRadAngle,field,solid_boundary,1,False,93
WallH,field,solid_boundary,1,False,87
AnalyticFlag,field,solid_boundary,1,False,88
gradPhiVal_x,field,gradPhi,2,False,281
gradPhiVal_y,field,gradPhi,2,False,282
gradPhiVal_z,field,gradPhi,2,False,283
gradPhi_PhaseF,field,gradPhi,1,False,288
PhaseStencilGhostUseCount,field,runtime_diagnostics,1,False,194
PhaseStencilFallbackCount,field,runtime_diagnostics,1,False,195
PhaseStencilMidpointFallbackCount,field,runtime_diagnostics,1,False,196
ForceIterResidual,field,runtime_diagnostics,1,False,191
ForceIterCount,field,runtime_diagnostics,1,False,192
MassCorrectionApplied,field,runtime_diagnostics,1,False,193
ReplayPhaseConsumed,field,runtime_diagnostics,1,False,197
ReplayPhaseFromH,field,runtime_diagnostics,1,False,198
ReplayLapPhi,field,runtime_diagnostics,1,False,199
ReplayMu,field,runtime_diagnostics,1,False,200
ReplayGradPhiX,field,runtime_diagnostics,1,False,201
ReplayGradPhiY,field,runtime_diagnostics,1,False,202
ReplayGradPhiZ,field,runtime_diagnostics,1,False,203
ReplayFsurfX,field,runtime_diagnostics,1,False,204
ReplayFsurfY,field,runtime_diagnostics,1,False,205
ReplayFsurfZ,field,runtime_diagnostics,1,False,206
ReplayFpressureX,field,runtime_diagnostics,1,False,207
ReplayFpressureY,field,runtime_diagnostics,1,False,208
ReplayFpressureZ,field,runtime_diagnostics,1,False,209
ReplayFbodyX,field,runtime_diagnostics,1,False,210
ReplayFbodyY,field,runtime_diagnostics,1,False,211
ReplayFbodyZ,field,runtime_diagnostics,1,False,212
ReplayFmuX,field,runtime_diagnostics,1,False,213
ReplayFmuY,field,runtime_diagnostics,1,False,214
ReplayFmuZ,field,runtime_diagnostics,1,False,215
ReplayFtotalX,field,runtime_diagnostics,1,False,216
ReplayFtotalY,field,runtime_diagnostics,1,False,217
ReplayFtotalZ,field,runtime_diagnostics,1,False,218
ReplayRho,field,runtime_diagnostics,1,False,219
ReplayTau,field,runtime_diagnostics,1,False,220
ReplayPressureMoment,field,runtime_diagnostics,1,False,221
ReplayUPreForceX,field,runtime_diagnostics,1,False,222
ReplayUPreForceY,field,runtime_diagnostics,1,False,223
ReplayUPreForceZ,field,runtime_diagnostics,1,False,224
ReplayUPostForceX,field,runtime_diagnostics,1,False,225
ReplayUPostForceY,field,runtime_diagnostics,1,False,226
ReplayUPostForceZ,field,runtime_diagnostics,1,False,227
ReplayPhaseAdvVelocityX,field,runtime_diagnostics,1,False,228
ReplayPhaseAdvVelocityY,field,runtime_diagnostics,1,False,229
ReplayPhaseAdvVelocityZ,field,runtime_diagnostics,1,False,230
ReplayForceOverRhoX,field,runtime_diagnostics,1,False,231
ReplayForceOverRhoY,field,runtime_diagnostics,1,False,232
ReplayForceOverRhoZ,field,runtime_diagnostics,1,False,233
ReplayFmuIter1X,field,runtime_diagnostics,1,False,234
ReplayFmuIter1Y,field,runtime_diagnostics,1,False,235
ReplayFmuIter1Z,field,runtime_diagnostics,1,False,236
ReplayFtotalIter1X,field,runtime_diagnostics,1,False,237
ReplayFtotalIter1Y,field,runtime_diagnostics,1,False,238
ReplayFtotalIter1Z,field,runtime_diagnostics,1,False,239
ReplayUPostIter1X,field,runtime_diagnostics,1,False,240
ReplayUPostIter1Y,field,runtime_diagnostics,1,False,241
ReplayUPostIter1Z,field,runtime_diagnostics,1,False,242
ReplayNormalX,field,runtime_diagnostics,1,False,243
ReplayNormalY,field,runtime_diagnostics,1,False,244
ReplayNormalZ,field,runtime_diagnostics,1,False,245
ReplayStressXX,field,runtime_diagnostics,1,False,246
ReplayStressXY,field,runtime_diagnostics,1,False,247
ReplayStressXZ,field,runtime_diagnostics,1,False,248
ReplayStressYY,field,runtime_diagnostics,1,False,249
ReplayStressYZ,field,runtime_diagnostics,1,False,250
ReplayStressZZ,field,runtime_diagnostics,1,False,251
ReplayFphiSum,field,runtime_diagnostics,1,False,252
ReplayFphiMaxAbs,field,runtime_diagnostics,1,False,253
ReplayTmp1,field,runtime_diagnostics,1,False,254
WallMuCandidate,field,wall_grad_diag,1,False,134
DynamicCLForceCandidateX,field,wall_grad_diag,1,False,143
DynamicCLForceCandidateY,field,wall_grad_diag,1,False,144
DynamicCLForceCandidateZ,field,wall_grad_diag,1,False,145
DynamicCLForceCandidateMag,field,wall_grad_diag,1,False,146
g*,density_streaming,g,,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
h*,density_streaming,h,,True,"31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53,54,55,56,57,58,59"
U,field,,,False,"268,269"
V,local_or_setting,,,False,
W,local_or_setting,,,False,
pnorm,local_or_setting,,,False,
nw_x,local_or_setting,,,False,
nw_y,local_or_setting,,,False,
nw_z,local_or_setting,,,False,
