case,step,mask,candidate,physical_candidate,scale_max_abs,fmu_norm_max,force_over_rho_norm_max,force_vs_legacy,note,missing_fields
wall_60to30_10,13,fluid_all,zero,False,0.0,0.0,4.056507467628418,0.0015386454581753182,sanity check only; not a physical closure,
wall_60to30_10,13,fluid_all,legacy_hundredth,True,0.0029850000000000007,0.14492372866457026,30.211825382227214,0.011459436048992829,diagnostic magnitude sweep,
wall_60to30_10,13,fluid_all,legacy_tenth,True,0.029850000000000005,1.4492372866457026,267.1232009232627,0.10132063188684855,diagnostic magnitude sweep,
wall_60to30_10,13,fluid_all,negative_legacy,True,0.29850000000000004,14.492372866457027,2628.682533145044,0.9970671748751986,sign check,
wall_60to30_10,13,fluid_all,legacy,True,0.29850000000000004,14.492372866457027,2636.4146763472304,1.0,current active scale,
wall_60to30_10,13,fluid_all,no_density_diff,True,0.30000000000000004,14.565198860760832,2649.643561480394,1.005017755837823,remove density-difference multiplier,
wall_60to30_10,13,fluid_all,bgk_style,True,0.37312500000000004,18.115466083071283,3286.8195795640872,1.2467005319959745,opposite sign of existing stage14_fmu_bgk_scale,
wall_60to30_10,13,fluid_all,bgk_legacy_sign,True,0.37312500000000004,18.115466083071283,3294.5517230121577,1.2496333572140406,existing stage14_fmu_bgk_scale: (0.5-tau)/tau,
wall_60to30_10,13,interface_wide,zero,False,0.0,0.0,0.00032199370721776386,1.2213317961948545e-07,sanity check only; not a physical closure,
wall_60to30_10,13,interface_wide,legacy_hundredth,True,0.0029850000000000007,3.511150337166855e-06,0.00036342491859533114,1.3784816245176527e-07,diagnostic magnitude sweep,
wall_60to30_10,13,interface_wide,legacy_tenth,True,0.029850000000000005,3.511150337166855e-05,0.0008640447112751433,3.277347524374591e-07,diagnostic magnitude sweep,
wall_60to30_10,13,interface_wide,negative_legacy,True,0.29850000000000004,0.0003511150337166855,0.006127174485918533,2.324055673369173e-06,sign check,
wall_60to30_10,13,interface_wide,legacy,True,0.29850000000000004,0.0003511150337166855,0.0065133878047235515,2.4705475444203994e-06,current active scale,
wall_60to30_10,13,interface_wide,no_density_diff,True,0.30000000000000004,0.00035287943087104073,0.006545096911577444,2.4825749038257206e-06,remove density-difference multiplier,
wall_60to30_10,13,interface_wide,bgk_style,True,0.37312500000000004,0.00043889379214585687,0.007704821719950198,2.922462004583163e-06,opposite sign of existing stage14_fmu_bgk_scale,
wall_60to30_10,13,interface_wide,bgk_legacy_sign,True,0.37312500000000004,0.00043889379214585687,0.008091150698664833,3.0689977457852626e-06,existing stage14_fmu_bgk_scale: (0.5-tau)/tau,
wall_60to30_10,13,low_rho,zero,False,0.0,0.0,4.056507467628418,0.0015386454581753182,sanity check only; not a physical closure,
wall_60to30_10,13,low_rho,legacy_hundredth,True,0.0029850000000000007,0.14492372866457026,30.211825382227214,0.011459436048992829,diagnostic magnitude sweep,
wall_60to30_10,13,low_rho,legacy_tenth,True,0.029850000000000005,1.4492372866457026,267.1232009232627,0.10132063188684855,diagnostic magnitude sweep,
wall_60to30_10,13,low_rho,negative_legacy,True,0.29850000000000004,14.492372866457027,2628.682533145044,0.9970671748751986,sign check,
wall_60to30_10,13,low_rho,legacy,True,0.29850000000000004,14.492372866457027,2636.4146763472304,1.0,current active scale,
wall_60to30_10,13,low_rho,no_density_diff,True,0.30000000000000004,14.565198860760832,2649.643561480394,1.005017755837823,remove density-difference multiplier,
wall_60to30_10,13,low_rho,bgk_style,True,0.37312500000000004,18.115466083071283,3286.8195795640872,1.2467005319959745,opposite sign of existing stage14_fmu_bgk_scale,
wall_60to30_10,13,low_rho,bgk_legacy_sign,True,0.37312500000000004,18.115466083071283,3294.5517230121577,1.2496333572140406,existing stage14_fmu_bgk_scale: (0.5-tau)/tau,
