case,step,phase_oob_count,phase_from_h_oob_count,hpost_oob_count,ReplayPhaseFromH_min,ReplayPhaseFromH_max,B21HPostSum_min,B21HPostSum_max,B21HeqMaxAbs_max,B21FphiMaxAbs_max,B21HeqVelocityMachShadow_max,B22ForceOverRhoMag_max,ReplayForceOverRho_norm_max,B22PhaseAdvSpeed_max,B22FmuMag_max,B22FpressureMag_max,B22FsurfMag_max
wall_60to30_10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall_60to30_10,1,0,0,0,0.0,0.9999999717996106,0.0,0.9999999783627601,0.29629629069424895,0.02440638872501261,0.0,0.0026067563159362004,0.0026067563159362004,0.0,0.0,0.0,3.213926588916466e-05
wall_60to30_10,2,0,0,0,0.0,0.999999968229641,0.0,0.9999999717996109,0.2962962879406254,0.024413379610556687,0.001626873807839739,0.0016117482608955867,0.0016117482608955867,0.0009392760308938248,3.0730132996940877e-06,3.3844800364469517e-07,3.122893981906833e-05
wall_60to30_10,3,356,356,0,-5.406120590484662e-06,0.9999999661570658,0.0,0.9999999682296409,0.2962962868828566,0.024415076729429438,0.0024140361190803723,0.005423695348478609,0.005423695348478609,0.0013937444031845326,3.621803977243835e-05,1.4474522562602629e-06,3.0270440042160533e-05
wall_60to30_10,4,0,0,356,0.0,0.9999999647363015,-5.406120590484663e-06,0.9999999661570658,0.2962962862687602,0.02441584248673451,0.005071019527063161,0.005842860778977258,0.005842860778977258,0.0029277544890157644,2.4362092790105523e-05,2.2614478576530594e-06,2.9863193841348987e-05
wall_60to30_10,5,344,344,0,-2.7327519411254024e-07,0.9999999627031,0.0,0.9999999647363013,0.29629628584779305,0.024416037868272317,0.0033722758509339206,0.03128043422251943,0.03128043422251943,0.0019469843703183733,0.00015718062149825716,2.412776315766029e-06,2.941274090645812e-05
wall_60to30_10,6,16,16,344,-3.080424821502211e-08,0.999999957698655,-2.7327519411254024e-07,0.9999999627030998,0.29629628524536294,0.024415959977481503,0.02787889414552112,0.040830718044225806,0.040830718044225806,0.0160958870396257,0.00024801035167737825,2.4927798700550535e-06,2.9099906905000225e-05
wall_60to30_10,7,548,548,16,-8.311965963106586e-08,0.9999999455981661,-3.08042482150221e-08,0.999999957698655,0.29629628376256445,0.024415715075692557,0.0232768505751333,0.14526683463048776,0.14526683463048776,0.013438895945439906,0.0007513911414266946,2.6545093541541354e-06,2.8787627537142846e-05
wall_60to30_10,8,13968,13480,548,-1.846077797799471e-06,1.0000053087775531,-8.311965963106598e-08,0.9999999455981663,0.2962962801772344,0.024415385219370426,0.12432860990308053,0.2112152603187707,0.2112152603187707,0.07178115639551551,0.0012616769191075967,2.5790541701509358e-06,2.8522851564729565e-05
wall_60to30_10,9,28632,27936,13480,-3.8099154340666907e-06,1.0000114666477344,-1.8460777977994712e-06,1.0000053087775531,0.296297869267423,0.024415013528484648,0.1395413231869849,0.7302150787635974,0.7302150787635974,0.0805642205050823,0.0036425180085750647,7.710601998979777e-06,2.8283026304314704e-05
wall_60to30_10,10,40608,39812,27936,-6.035278034327103e-06,1.0000151742270116,-3.80991543406669e-06,1.0000114666477342,0.29629969382154303,0.024414630592411064,0.34641016151377557,1.4821304223771532,1.4821304223771532,0.20000000000000007,0.007948759835444704,1.1622193154864985e-05,2.8072389315984037e-05
wall_60to30_10,11,49180,48368,39812,-8.28253176450481e-06,1.0000186169231815,-6.035278034327103e-06,1.0000151742270114,0.29630079236346213,0.024414254168044887,0.34641016151377557,5.312965066200771,5.312965066200771,0.20000000000000007,0.0285298488984094,7.735913641116987e-05,2.7873476235354828e-05
wall_60to30_10,12,57040,56220,48368,-9.385669754087448e-06,1.0000221338821245,-8.282531764504812e-06,1.0000186169231813,0.2963018124197782,0.024413896900741583,0.34641016151377557,41.374523677429764,41.374523677429764,0.20000000000000007,0.22550239151812154,0.0005318144531774539,2.770605321740763e-05
wall_60to30_10,13,63108,62284,56220,-1.023102884533761e-05,1.0000252524049476,-9.38566975408745e-06,1.0000221338821242,0.296302854482099,0.024413564770582295,0.34641016151377557,2636.4146763472304,2636.4146763472304,0.20000000000000007,14.492372866457027,0.02214592340307383,2.754426860563803e-05
wall_60to30_10,14,70560,69720,62284,-1.0500719078916975e-05,1.0000284544667175,-1.0231028845337608e-05,1.0000252524049473,0.29630377848627126,0.024413262240266593,0.3464101615137756,11564721.794422643,11564721.794422643,0.2000000000000001,64341.71793915905,88.50319897372353,2.738697981524657e-05
wall_60to30_10,15,78396,77556,69720,-1.1113965294499207e-05,1.0000315301632194,-1.0500719078916977e-05,1.0000284544667175,0.2963047272420808,0.024412989622678523,0.34641016151377557,221596047568536.12,221596047568536.12,0.20000000000000007,1246139439328.5916,1565371695.6862392,2.7240335325076395e-05
wall_60to30_10,16,84760,83912,77556,-1.0692988316050576e-05,1.0000343844050865,-1.1113965294499205e-05,1.0000315301632194,0.29630563855595304,0.02441274752188949,0.34641016151377557,7.818022658516958e+28,7.818022658516958e+28,0.20000000000000007,4.453726892806857e+26,5.306658342474669e+23,2.7148075494457967e-05
wall_60to30_10,17,91704,90856,83912,-1.0980621427560001e-05,1.0000369953509474,-1.0692988316050576e-05,1.0000343844050863,0.2963064842541028,0.02441253369070931,0.3464101615137756,8.987155703073453e+57,8.987155703073453e+57,0.2000000000000001,5.161067832637695e+55,6.158417229641243e+52,2.7170178442595517e-05
wall_60to30_10,18,100020,99172,90856,-2.3218640234578908e-05,1.000039236382382,-1.0980621427560001e-05,1.0000369953509474,0.2963072578657758,0.024412347065681534,0.34641016151377557,1.0330923008609241e+116,1.0330923008609241e+116,0.20000000000000007,5.884971423384382e+113,7.77750243998071e+110,2.6869074188179485e-05
wall_60to30_10,19,109612,108764,99172,-8.147268467348244e-05,1.0000425465572431,-2.3218640234578908e-05,1.000039236382382,0.29630792187631627,0.0244121844590346,0.34641016151377557,1.0882387666857407e+154,1.0882387666857407e+154,0.20000000000000007,1.2655109005267038e+154,1.1538199561720604e+154,2.8080981399095767e-05
wall_60to30_10,20,106748,105908,101072,-1.0710701094411314e-05,1.0058111047359959,-1.0725743337965255e-05,1.000042546557243,0.2963089026666068,0.024412044318196054,0.34641016151377557,1.1975426709696638e+154,1.1975426709696638e+154,0.20000000000000007,5.7579274138341086e+153,9.48035360093322e+153,2.7862833638787973e-05
