probe,step,ForceIterCount_max,ForceIterCount_max_abs,ForceIterCount_min,ForceIterCount_nonfinite,ForceIterResidual_max,ForceIterResidual_max_abs,ForceIterResidual_min,ForceIterResidual_nonfinite,ReplayFmuDelta_max,ReplayFmuDelta_max_abs,ReplayFmuDelta_min,ReplayFmuDelta_nonfinite,ReplayFmuRaw_max,ReplayFmuRaw_max_abs,ReplayFmuRaw_min,ReplayFmuRaw_nonfinite,ReplayForceDensityClosureMode_max,ReplayForceDensityClosureMode_max_abs,ReplayForceDensityClosureMode_min,ReplayForceDensityClosureMode_nonfinite,ReplayForceFixedPointMode_max,ReplayForceFixedPointMode_max_abs,ReplayForceFixedPointMode_min,ReplayForceFixedPointMode_nonfinite,ReplayForceOverRho_max,ReplayForceOverRho_max_abs,ReplayForceOverRho_min,ReplayForceOverRho_nonfinite,ReplayForceRhoEffective_max,ReplayForceRhoEffective_max_abs,ReplayForceRhoEffective_min,ReplayForceRhoEffective_nonfinite,ReplayForceRhoRaw_max,ReplayForceRhoRaw_max_abs,ReplayForceRhoRaw_min,ReplayForceRhoRaw_nonfinite,ReplayFpressurePhysical_max,ReplayFpressurePhysical_max_abs,ReplayFpressurePhysical_min,ReplayFpressurePhysical_nonfinite,ReplayFtotal_max,ReplayFtotal_max_abs,ReplayFtotal_min,ReplayFtotal_nonfinite,ReplayPhaseFromH_max,ReplayPhaseFromH_max_abs,ReplayPhaseFromH_min,ReplayPhaseFromH_nonfinite,ReplayPressureClosureMode_max,ReplayPressureClosureMode_max_abs,ReplayPressureClosureMode_min,ReplayPressureClosureMode_nonfinite,ReplayPressureInput_max,ReplayPressureInput_max_abs,ReplayPressureInput_min,ReplayPressureInput_nonfinite
probe_B0_legacy,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
probe_B0_legacy,1,2.0,2.0,0.0,0,0.19476897973127877,0.19476897973127877,0.0,0,2.3929576405691e-07,2.5159183035653084e-06,-2.5159183035653084e-06,0,2.3929576405691e-07,2.5159183035653084e-06,-2.5159183035653084e-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.010401530394048147,0.010401530394048147,-0.0011419927012140088,0,0.9999999811119971,0.9999999811119971,0.0,0,0.9999999811119971,0.9999999811119971,0.0,0,0.0,0.0,0.0,0,2.903238318565417e-05,2.903238318565417e-05,-1.519920492139505e-05,0,0.9999999717996106,0.9999999717996106,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
probe_B0_legacy,2,2.0,2.0,0.0,0,0.2823438839683084,0.2823438839683084,0.0,0,7.725853860151516e-07,7.488352547482879e-06,-7.488352547482879e-06,0,1.4274304467877813e-06,2.0815142915633442e-05,-2.0815142915633442e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.019059310357151586,0.019059310357151586,-0.0025223586724933515,0,0.9999999718278111,0.9999999718278111,0.0,0,0.9999999718278111,0.9999999718278111,0.0,0,1.8375798645307821e-07,2.9334692736429636e-07,-2.9334692736429636e-07,0,2.651129575825595e-05,2.651129575825595e-05,-1.1656960470807168e-05,0,0.999999968229641,0.999999968229641,0.0,0,0.0,0.0,0.0,0,0.0041380840167372784,0.0041380840167372784,-3.251494682876889e-05,0
probe_B0_legacy,3,2.0,2.0,2.0,0,4.526168235221313,4.526168235221313,0.0,0,4.082892091204027e-05,0.0017092608744008098,-0.0017092608744008098,0,9.185402273489862e-05,0.0018678997291876698,-0.0018678997291876698,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.047511984088729295,2.086900587635471,-2.086900587635471,0,0.9999999682614114,0.9999999682614114,0.0,0,0.9999999682614114,0.9999999682614114,0.0,0,7.483786242731332e-07,1.389430025847583e-06,-1.389430025847583e-06,0,5.0434735544854115e-05,0.002086900587635471,-0.002086900587635471,0,0.9999999661570658,0.9999999661570658,-5.39047897513236e-06,0,0.0,0.0,0.0,0,0.008951674617643646,0.008951674617643646,-0.00665902088992888,0
probe_B0_legacy,4,2.0,2.0,2.0,0,1032.9617287841345,1032.9617287841345,0.0,0,0.7955531178649851,91.15130813370008,-91.15130813370008,0,0.796459754717279,91.18227599573014,-91.18227599573014,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,795.0872571132259,91239.55081064883,-91239.55081064883,0,0.9999999661909087,0.9999999661909087,0.0,0,0.9999999661909087,0.9999999661909087,0.0,0,1.0790506999383952e-06,1.9094297160878936e-05,-1.9094297160878936e-05,0,0.7965148087733482,91.239550810649,-91.239550810649,0,0.9999999647363015,0.9999999647363015,0.0,0,0.0,0.0,0.0,0,0.0049603088899717205,1.2839799612930698,-1.2839799612930698,0
probe_B0_legacy,5,2.0,2.0,2.0,0,1957228497752.7312,1957228497752.7312,0.0,0,7.50580697959397e+17,3.271049099781956e+20,-3.271049099781956e+20,0,7.505806979594515e+17,3.271049099782544e+20,-3.271049099782544e+20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.32194582928516e+20,3.2710490997835195e+23,-3.2710490997835195e+23,0,0.9999999647715652,0.9999999647715652,0.0,0,0.9999999647715652,0.9999999647715652,0.0,0,69.89310267437891,36107.59463056619,-36107.59463056619,0,7.505806979594004e+17,3.271049099783627e+20,-3.271049099783627e+20,0,24573032572111.535,31692255418607.297,-31692255418607.297,0,0.0,0.0,0.0,0,1213966803.897605,2428024847.708228,-2428024847.708228,0
probe_B0_legacy,6,2.0,2.0,2.0,0,2.1436767511682176e+44,2.1436767511682176e+44,0.0,0,1.720316635363204e+89,1.720316635363204e+89,-2.3659869603106036e+87,0,1.720316635363204e+89,1.720316635363204e+89,-2.3659869603106036e+87,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0751459212901868e+85,1.9443485359092741e+86,-1.9443485359092741e+86,0,24548459539539.42,31660563163188.69,-31660563163188.69,0,24548459539539.42,31660563163188.69,-31660563163188.69,0,1.0103666869049526e+56,1.1121325606053198e+58,-1.1121325606053198e+58,0,1.720316635363204e+89,1.720316635363204e+89,-2.3659869603106036e+87,0,1.3180406877661152e+105,1.3180406877661152e+105,-7.656556460805584e+104,0,0.0,0.0,0.0,0,1.5603819893995203e+46,3.120763978796618e+46,-3.120763978796618e+46,0
probe_B1_pressure_physical,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
probe_B1_pressure_physical,1,2.0,2.0,0.0,0,0.19476897973127877,0.19476897973127877,0.0,0,2.3929576405691e-07,2.5159183035653084e-06,-2.5159183035653084e-06,0,2.3929576405691e-07,2.5159183035653084e-06,-2.5159183035653084e-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.010401530394048147,0.010401530394048147,-0.0011419927012140088,0,0.9999999811119971,0.9999999811119971,0.0,0,0.9999999811119971,0.9999999811119971,0.0,0,0.0,0.0,0.0,0,2.903238318565417e-05,2.903238318565417e-05,-1.519920492139505e-05,0,0.9999999717996106,0.9999999717996106,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
probe_B1_pressure_physical,2,2.0,2.0,0.0,0,0.604398216381135,0.604398216381135,0.0,0,7.563953523551365e-07,7.563953523551365e-07,-1.8361324861464402e-07,0,1.4272856523227654e-06,1.3026919875297873e-05,-1.3026919875297873e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.007632931154504938,0.007632931154504938,-0.0049418296711802884,0,0.9999999718278111,0.9999999718278111,0.0,0,0.9999999718278111,0.9999999718278111,0.0,0,1.8375798645307821e-07,2.9334692736429636e-07,-2.9334692736429636e-07,0,2.97410598827707e-05,2.97410598827707e-05,-1.313449574998844e-05,0,0.999999968229641,0.999999968229641,0.0,0,1.0,1.0,0.0,0,1.140436238446447e-05,1.140436238446447e-05,-2.7009383502763545e-06,0
probe_B1_pressure_physical,3,2.0,2.0,2.0,0,1.875035707376815,1.875035707376815,0.0,0,5.6741738768098594e-05,0.0002838398108702504,-0.0002838398108702504,0,0.00010794381547673107,0.00044323949209414853,-0.00044323949209414853,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.10275939889494672,0.43521827291100784,-0.43521827291100784,0,0.9999999682614114,0.9999999682614114,0.0,0,0.9999999682614114,0.9999999682614114,0.0,0,7.119441284382504e-07,1.3076017848346435e-06,-1.3076017848346435e-06,0,0.000109080755254004,0.00043521827291100783,-0.00043521827291100783,0,0.9999999661570658,0.9999999661570658,-5.385453299444605e-06,0,1.0,1.0,0.0,0,4.639445306049314e-06,1.1556326782463886e-05,-1.1556326782463886e-05,0
probe_B1_pressure_physical,4,2.0,2.0,2.0,0,16.254597476630913,16.254597476630913,0.0,0,0.0007875307111434077,0.024590979265219914,-0.024590979265219914,0,0.0008809439530056632,0.026111084217252008,-0.026111084217252008,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7892524330344971,26.02820723870028,-26.02820723870028,0,0.9999999661909087,0.9999999661909087,0.0,0,0.9999999661909087,0.9999999661909087,0.0,0,1.0942285861965413e-06,2.052654508942e-06,-2.052654508942e-06,0,0.000888106104085902,0.026103899654704617,-0.026103899654704617,0,0.9999999647363015,0.9999999647363015,0.0,0,1.0,1.0,0.0,0,4.1279912336390186e-06,9.901390589148533e-05,-9.901390589148533e-05,0
probe_B1_pressure_physical,5,2.0,2.0,2.0,0,60417.5346345379,60417.5346345379,0.0,0,6706.0255286046,347482.89199347387,-347482.89199347387,0,6706.08977069614,347488.6425060966,-347488.6425060966,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6338830.341185389,328458407.4560096,-328458407.4560096,0,0.9999999647715652,0.9999999647715652,0.0,0,0.9999999647715652,0.9999999647715652,0.0,0,5.1200669838747696e-06,0.0025180288515822716,-0.0025180288515822716,0,6706.089765779747,347488.64477624604,-347488.64477624604,0,0.9999999627031,0.9999999627031,-0.35423794721936847,0,1.0,1.0,0.0,0,0.026018778014553517,0.05639988169411627,-0.05639988169411627,0
probe_B1_pressure_physical,6,2.0,2.0,2.0,0,2.2692413930319562e+18,2.2692413930319562e+18,0.0,0,2.6517118841437174e+30,4.3970904155843446e+32,-4.3970904155843446e+32,0,2.6517118841437174e+30,4.3970904155843446e+32,-4.3970904155843446e+32,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.633464040196429e+33,4.3970904145392016e+35,-4.3970904145392016e+35,0,0.9999999627403969,0.9999999627403969,-0.35288370927214907,0,0.9999999627403969,0.9999999627403969,-0.35288370927214907,0,42223819681773.69,89838442171098.36,-89838442171098.36,0,2.6517118841437174e+30,4.3970904155843446e+32,-4.3970904155843446e+32,0,1.2284027228325345e+31,1.2284027228325345e+31,-7.891140484630429e+30,0,1.0,1.0,0.0,0,50722342778403.53,1996320963441984.8,-1996320963441984.8,0
probe_B1D1_pressure_physical_rho_floor,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
probe_B1D1_pressure_physical_rho_floor,1,2.0,2.0,0.0,0,0.19476897973127877,0.19476897973127877,0.0,0,2.3929576405691e-07,2.5159183035653084e-06,-2.5159183035653084e-06,0,2.3929576405691e-07,2.5159183035653084e-06,-2.5159183035653084e-06,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.010401530394048147,0.010401530394048147,-0.0011419927012140088,0,0.9999999811119971,0.9999999811119971,0.0,0,0.9999999811119971,0.9999999811119971,0.0,0,0.0,0.0,0.0,0,2.903238318565417e-05,2.903238318565417e-05,-1.519920492139505e-05,0,0.9999999717996106,0.9999999717996106,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
probe_B1D1_pressure_physical_rho_floor,2,2.0,2.0,0.0,0,0.604398216381135,0.604398216381135,0.0,0,7.563953523551365e-07,7.563953523551365e-07,-1.8361324861464402e-07,0,1.4272856523227654e-06,1.3026919875297873e-05,-1.3026919875297873e-05,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.007632931154504938,0.007632931154504938,-0.0049418296711802884,0,0.9999999718278111,0.9999999718278111,0.0,0,0.9999999718278111,0.9999999718278111,0.0,0,1.8375798645307821e-07,2.9334692736429636e-07,-2.9334692736429636e-07,0,2.97410598827707e-05,2.97410598827707e-05,-1.313449574998844e-05,0,0.999999968229641,0.999999968229641,0.0,0,1.0,1.0,0.0,0,1.140436238446447e-05,1.140436238446447e-05,-2.7009383502763545e-06,0
probe_B1D1_pressure_physical_rho_floor,3,2.0,2.0,2.0,0,1.875035707376815,1.875035707376815,0.0,0,5.6741738768098594e-05,0.0002838398108702504,-0.0002838398108702504,0,0.00010794381547673107,0.00044323949209414853,-0.00044323949209414853,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.10275939889494672,0.43521827291100784,-0.43521827291100784,0,0.9999999682614114,0.9999999682614114,0.0,0,0.9999999682614114,0.9999999682614114,0.0,0,7.119441284382504e-07,1.3076017848346435e-06,-1.3076017848346435e-06,0,0.000109080755254004,0.00043521827291100783,-0.00043521827291100783,0,0.9999999661570658,0.9999999661570658,-5.385453299444605e-06,0,1.0,1.0,0.0,0,4.639445306049314e-06,1.1556326782463886e-05,-1.1556326782463886e-05,0
probe_B1D1_pressure_physical_rho_floor,4,2.0,2.0,2.0,0,16.254597476630913,16.254597476630913,0.0,0,0.0007875307111434077,0.024590979265219914,-0.024590979265219914,0,0.0008809439530056632,0.026111084217252008,-0.026111084217252008,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.7892524330344971,26.02820723870028,-26.02820723870028,0,0.9999999661909087,0.9999999661909087,0.0,0,0.9999999661909087,0.9999999661909087,0.0,0,1.0942285861965413e-06,2.052654508942e-06,-2.052654508942e-06,0,0.000888106104085902,0.026103899654704617,-0.026103899654704617,0,0.9999999647363015,0.9999999647363015,0.0,0,1.0,1.0,0.0,0,4.1279912336390186e-06,9.901390589148533e-05,-9.901390589148533e-05,0
probe_B1D1_pressure_physical_rho_floor,5,2.0,2.0,2.0,0,60417.5346345379,60417.5346345379,0.0,0,6706.0255286046,347482.89199347387,-347482.89199347387,0,6706.08977069614,347488.6425060966,-347488.6425060966,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,6338830.341185389,328458407.4560096,-328458407.4560096,0,0.9999999647715652,0.9999999647715652,0.0,0,0.9999999647715652,0.9999999647715652,0.0,0,5.1200669838747696e-06,0.0025180288515822716,-0.0025180288515822716,0,6706.089765779747,347488.64477624604,-347488.64477624604,0,0.9999999627031,0.9999999627031,-0.35423794721936847,0,1.0,1.0,0.0,0,0.026018778014553517,0.05639988169411627,-0.05639988169411627,0
probe_B1D1_pressure_physical_rho_floor,6,2.0,2.0,2.0,0,2.2692413930319562e+18,2.2692413930319562e+18,0.0,0,7.844516831494091e+31,4.3970904155843446e+32,-4.3970904155843446e+32,0,7.844516831494091e+31,4.3970904155843446e+32,-4.3970904155843446e+32,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,7.844516831494091e+34,4.3970904145392016e+35,-4.3970904145392016e+35,0,0.9999999627403969,0.9999999627403969,0.0,0,0.9999999627403969,0.9999999627403969,-0.35288370927214907,0,42223819681773.69,89838442171098.36,-89838442171098.36,0,7.844516831494091e+31,4.3970904155843446e+32,-4.3970904155843446e+32,0,1.2284027228326083e+31,1.2284027228326083e+31,-7.891140484628785e+30,0,1.0,1.0,0.0,0,50722342778403.53,1996320963441984.8,-1996320963441984.8,0
probe_C1_guarded_fp,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
probe_C1_guarded_fp,1,5.0,5.0,0.0,0,0.008837975383999254,0.008837975383999254,0.0,0,1.7342799832815534e-07,1.8233948982094415e-06,-1.8233948982094415e-06,0,1.7342799832815534e-07,1.8233948982094415e-06,-1.8233948982094415e-06,0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.011094053799404015,0.011094053799404015,-0.001183712265168348,0,0.9999999811119971,0.9999999811119971,0.0,0,0.9999999811119971,0.9999999811119971,0.0,0,0.0,0.0,0.0,0,2.9032383279731208e-05,2.9032383279731208e-05,-1.5199204924920865e-05,0,0.9999999717996106,0.9999999717996106,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
probe_C1_guarded_fp,2,5.0,5.0,0.0,0,0.050762768146537,0.050762768146537,0.0,0,8.533071855241141e-07,4.688053684135001e-06,-4.688053684135001e-06,0,1.427430496087184e-06,1.855820028875738e-05,-1.855820028875738e-05,0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.022607911146521758,0.022607911146521758,-0.0026529923220802703,0,0.9999999718278111,0.9999999718278111,0.0,0,0.9999999718278111,0.9999999718278111,0.0,0,1.8375798666342611e-07,2.93346928852039e-07,-2.93346928852039e-07,0,2.6511295552937688e-05,2.6511295552937688e-05,-1.1656960456230556e-05,0,0.999999968229641,0.999999968229641,0.0,0,0.0,0.0,0.0,0,0.004242862625277642,0.004242862625277642,-3.2514950680126324e-05,0
probe_C1_guarded_fp,3,5.0,5.0,2.0,0,8585.803181902176,8585.803181902176,0.0,0,0.08415666472264703,1.5464703131128699,-1.5464703131128699,0,920.2996705040689,9742.158410735234,-9742.158410735234,0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,74.4098351762233,1004.7432686595838,-1004.7432686595838,0,0.9999999682614114,0.9999999682614114,0.0,0,0.9999999682614114,0.9999999682614114,0.0,0,7.483786329296985e-07,1.3894300446284029e-06,-1.3894300446284029e-06,0,0.08416671323021749,1.5467788976651036,-1.5467788976651036,0,0.9999999661570658,0.9999999661570658,-5.3894758456554995e-06,0,0.0,0.0,0.0,0,0.009952336703731853,0.009952336703731853,-0.006832763393452924,0
probe_C1_guarded_fp,4,5.0,5.0,2.0,0,100624065.36518785,100624065.36518785,0.0,0,115.51394462769106,115.51394462769106,-96.700434964108,0,36932729503.775925,1318514561860.5068,-1318514561860.5068,0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,180305.60578376654,11611669.36962418,-11611669.36962418,0,0.9999999661909087,0.9999999661909087,0.0,0,0.9999999661909087,0.9999999661909087,0.0,0,0.3745346830093316,3.554764469348654,-3.554764469348654,0,233.17504203442616,13107.425746226996,-13107.425746226996,0,1022280.3395768204,1397822.888199293,-1397822.888199293,0,0.0,0.0,0.0,0,77916.34190295414,130901.66323723452,-130901.66323723452,0
probe_C1_guarded_fp,5,5.0,5.0,2.0,0,6639821943581.932,6639821943581.932,0.0,0,9761.889200874615,9761.889200874615,-9761.889200874366,0,5.922863636223919e+23,5.922863636223919e+23,-5.922863636223734e+23,0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,137621285251.56998,137621285251.56998,-137621285251.5698,0,1021258.0602372437,1396425.064311094,-1396425.064311094,0,1021258.0602372437,1396425.064311094,-1396425.064311094,0,3.001926472720995e+17,3.0019264727210886e+17,-3.0019264727210886e+17,0,243607517755759.88,243607517755759.88,-243607517755750.97,0,3.304889199770078e+31,3.304889199770078e+31,-1.6111205110343084e+31,0,0.0,0.0,0.0,0,9744236870934.3,15887771106869.188,-15887771106869.188,0
probe_C1_guarded_fp,6,5.0,5.0,2.0,0,1.4473363612606701e+26,1.4473363612606701e+26,0.0,0,1.9940401837945595e+49,1.9940401837945595e+49,-6.941358873436786e+48,0,1.0448890552549685e+117,1.0448890552551423e+117,-1.0448890552551423e+117,0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,2.1866451697209206e+59,2.1866451697211026e+59,-2.1866451697211026e+59,0,3.3015843105703075e+31,3.3015843105703075e+31,-1.609509390523274e+31,0,3.3015843105703075e+31,3.3015843105703075e+31,-1.609509390523274e+31,0,3.440855646622076e+55,3.440855646622321e+55,-3.440855646622321e+55,0,7.219393385134639e+90,7.219393385135539e+90,-7.219393385135539e+90,0,6.252463449250366e+81,6.252463449250366e+81,-3.933386560982842e+81,0,0.0,0.0,0.0,0,5.166712452075865e+25,5.166712452075865e+25,-3.7556151124006733e+25,0
probe_C2_single_pass,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
probe_C2_single_pass,1,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,2.0,0.0,0,0.012917448697613456,0.012917448697613456,-0.0013341079257488551,0,0.9999999811119971,0.9999999811119971,0.0,0,0.9999999811119971,0.9999999811119971,0.0,0,0.0,0.0,0.0,0,2.9033551827076453e-05,2.9033551827076453e-05,-1.5199368613878571e-05,0,0.9999999717996106,0.9999999717996106,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
probe_C2_single_pass,2,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.427654982250691e-06,1.572037147578506e-05,-1.572037147578506e-05,0,0.0,0.0,0.0,0,2.0,2.0,0.0,0,0.029756352492263247,0.029756352492263247,-0.0033684717585096254,0,0.9999999718278111,0.9999999718278111,0.0,0,0.9999999718278111,0.9999999718278111,0.0,0,1.837628875109203e-07,2.9336311617583107e-07,-2.9336311617583107e-07,0,2.9756352492263247e-05,2.9756352492263247e-05,-1.1657104293066754e-05,0,0.999999968229641,0.999999968229641,0.0,0,0.0,0.0,0.0,0,0.004686426950477378,0.004686426950477378,-3.252351716982543e-05,0
probe_C2_single_pass,3,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.1007588615188993e-05,0.00018872598077871233,-0.00018872598077871233,0,0.0,0.0,0.0,0,2.0,2.0,0.0,0,0.009474959967867316,0.41767390415437833,-0.41767390415437833,0,0.9999999682614114,0.9999999682614114,0.0,0,0.9999999682614114,0.9999999682614114,0.0,0,7.484221694785124e-07,1.3895295693071255e-06,-1.3895295693071255e-06,0,1.4473386161744063e-05,0.0005217009174754793,-0.0005217009174754793,0,0.9999999661570658,0.9999999661570658,-5.386224814665208e-06,0,0.0,0.0,0.0,0,0.012132541207689402,0.012132541207689402,-0.007730339638276105,0
probe_C2_single_pass,4,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.00010939509807540643,0.0013190890552552345,-0.0013190890552552345,0,0.0,0.0,0.0,0,2.0,2.0,0.0,0,0.19184348019617017,4.093133336692246,-4.093133336692246,0,0.9999999661909087,0.9999999661909087,0.0,0,0.9999999661909087,0.9999999661909087,0.0,0,1.0790611861464545e-06,2.025631341245848e-06,-2.025631341245848e-06,0,0.00020216585559478724,0.0040931333366922475,-0.0040931333366922475,0,0.9999999647363015,0.9999999647363015,0.0,0,0.0,0.0,0.0,0,0.005597356060235839,0.18109843010081866,-0.18109843010081866,0
