failure,step,value
threshold_force_over_rho_large,13,2483.1279725962554
threshold_phase_bounds,13,2.7912195566085374
threshold_phase_output_bounds,13,2.7912195566085374
threshold_fmu_large,14,76185.37351188144
threshold_pressure_large,14,677906.1332551276
threshold_stress_large,14,1390838.0964059338
threshold_tmp1_large,14,14.109501559736664
threshold_fphi_large,15,2.1609694534037377e+21
nonfinite_PhaseField,17,9612
nonfinite_ReplayForceOverRho,17,2376
nonfinite_ReplayFtotal,17,2376
nonfinite_ReplayHPostSum,17,5748
nonfinite_ReplayHeqSum,17,5748
nonfinite_ReplayMu,17,792
nonfinite_ReplayPhaseFromH,17,9612
nonfinite_ReplayStressPostForceShadowXX,17,4584
nonfinite_ReplayStressPostForceShadowYY,17,4736
nonfinite_ReplayStressPostForceShadowZZ,17,4632
nonfinite_ReplayFmuDelta,18,33384
nonfinite_ReplayFmuRaw,18,33384
nonfinite_ReplayFphiMaxAbs,18,4660
nonfinite_ReplayFphiSum,18,41616
nonfinite_ReplayFpressure,18,113592
nonfinite_ReplayHPreSum,18,9612
nonfinite_ReplayPhaseConsumed,18,9612
nonfinite_ReplayPressureInput,18,37864
nonfinite_ReplayStressInputXX,18,11128
nonfinite_ReplayStressInputYY,18,11128
nonfinite_ReplayStressInputZZ,18,11128
nonfinite_ReplayStressPreForceShadowXX,18,11128
nonfinite_ReplayStressPreForceShadowYY,18,11128
nonfinite_ReplayStressPreForceShadowZZ,18,11128
nonfinite_ReplayTmp1,18,41616
nonfinite_ReplayTmp1BoundedShadow,18,7624
