count	561
total_bytes	296119087640
total_gib	275.782

29.046 GiB	stage15FSm1_revalidate_20260619
29.046 GiB	stage15C3_cap0p5_20260619
17.427 GiB	stage15C4_Msweep_20260619
12.909 GiB	stage15D_static_map_20260620
11.973 GiB	stage14_s2_replay_smoke_20260623_stage13geom_after_phaseguard_all
11.973 GiB	stage14_s2_replay_smoke_20260623_stage13geom_mode1_all
11.618 GiB	stage15FSm1_baseline_20260619
11.618 GiB	stage15C2e_changed_angle_base
11.618 GiB	stage15C2e_changed_angle_test
11.618 GiB	stage15C2f_changed_angle_test
11.618 GiB	stage17_gateA_long_20260620
9.682 GiB	stage15c1_shadow_cs_minus1
9.682 GiB	stage15c1_shadow_cs_plus1
9.036 GiB	stage15D_Mrate_M0p6_20260620
9.036 GiB	stage15D_long_base_20260620
7.745 GiB	stage15D_static_confirm_20260620
5.809 GiB	stage15C2a_t90_mode2_coeff0
5.422 GiB	stage17_gateA_test_20260620
4.211 GiB	stage14_s2_iterdiag_wall60_20260623
4.211 GiB	stage14_s2_iterdiag_wall60_ff1_20260623
3.958 GiB	stage14_s2_replay_smoke_20260623_stage13geom_mode1_t90
3.958 GiB	stage14_s2_probe_wall60_rho0p01_it10_20260623
3.958 GiB	stage14_s2_replay_smoke_20260623_stage13geom_mode0_t90
3.223 GiB	stage14_s2_phaseadv_m0_wall60_20260623
2.519 GiB	stage14_s2_probe_wall60_rho0p01_20260623
2.519 GiB	stage14_s2_probe_wall60_rho0p005_20260623
2.519 GiB	stage14_s2_probe_wall60_ff1_20260623
2.324 GiB	stage17_cyl_compact_20260620
2.117 GiB	stage18_semantics_smoke_zaxis_20260623
1.936 GiB	stage15C2b_t90_coeff0p02
1.936 GiB	stage15C2f0_t90_cap0p2
1.936 GiB	stage15C2c_t90_coeff0p2
1.936 GiB	stage15C2d_t90_coeff2
1.549 GiB	stage17_diag_nan_20260620
1.484 GiB	stage14_s2_replay_smoke_20260623
0.775 GiB	stage17_diag_write0_20260620
0.577 GiB	stage17_cyl_oldbc_20260620
0.568 GiB	stage18_semantics_smoke_20260623
0.462 GiB	stage14_s2_replay_smoke_20260623_mode0_wall_t90
0.231 GiB	stage17_cyl_smoke_20260620
