phase_max,phase_mean,phase_min,signed_distance_hi,signed_distance_lo,tclb_boundary_cells
1.0,1.0,1.0,-3.0,-10.0,57216
1.0,0.7645272913910119,0.0,-1.0,-3.0,20352
0.9999999999986269,0.23452857614405767,0.0,0.0,-1.0,13440
0.5,0.5,0.5,0.5,0.0,80
0.5,0.4510869565292953,0.0,1.0,0.5,184
0.5,0.43750000002938894,0.0,1.5,1.0,80
1.9786717647685137e-07,2.3080649630655026e-08,0.0,2.0,1.5,184
3.027405522382231e-07,2.7008717733717164e-08,0.0,3.0,2.0,272
9.335831297474506e-07,5.6020158982196673e-08,0.0,6.0,3.0,928
1.0,0.0844408145247181,0.0,1000.0,6.0,49896
