case,radius,eps_solid,theta_deg,ghost_count,raw_min,raw_max,raw_mean,clamped_min,clamped_max,clamped_mean,clamp_fraction,max_clamp_excess,mean_clamp_excess,bounded
plane,12.0,0.8,60.0,18432,1.699931581782783e-15,0.9999999999998591,0.4671225044865069,1.699931581782783e-15,0.9999999999998591,0.4671225044865069,0.0,0.0,0.0,True
plane,12.0,0.8,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,12.0,0.8,120.0,18432,5.205144674675305e-16,0.9999999999996184,0.4478774955135243,5.205144674675305e-16,0.9999999999996184,0.4478774955135243,0.0,0.0,0.0,True
cylinder_z,12.0,0.8,60.0,10752,1.627245364432707e-15,0.9999999999998628,0.4674039363042218,1.627245364432707e-15,0.9999999999998628,0.4674039363042218,0.0,0.0,0.0,True
cylinder_z,12.0,0.8,90.0,10752,1.1102230246251565e-15,0.9999999999997453,0.45778140640051324,1.1102230246251565e-15,0.9999999999997453,0.45778140640051324,0.0,0.0,0.0,True
cylinder_z,12.0,0.8,120.0,10752,5.461539699526447e-16,0.9999999999996279,0.4481588764968045,5.461539699526447e-16,0.9999999999996279,0.4481588764968045,0.0,0.0,0.0,True
sphere,12.0,0.8,60.0,2936,1.6925702173032634e-05,0.9970126965045918,0.3749426630430229,1.6925702173032634e-05,0.9970126965045918,0.3749426630430229,0.0,0.0,0.0,True
sphere,12.0,0.8,90.0,2936,1.5463218121791744e-05,0.9964559478540551,0.3415531959038337,1.5463218121791744e-05,0.9964559478540551,0.3415531959038337,0.0,0.0,0.0,True
sphere,12.0,0.8,120.0,2936,1.2418826638441533e-05,0.9963149082854418,0.3081637287646447,1.2418826638441533e-05,0.9963149082854418,0.3081637287646447,0.0,0.0,0.0,True
plane,12.0,1.0,60.0,18432,1.8473587210721893e-15,0.9999999999999125,0.46952813060812976,1.8473587210721893e-15,0.9999999999999125,0.46952813060812976,0.0,0.0,0.0,True
plane,12.0,1.0,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
