case,radius,near_band,ghost_band,eps_solid,diffuse_grad_std,sharp_grad_std,diffuse_grad_max,sharp_grad_max,grad_std_improvement,grad_max_improvement,diffuse_jump_p99,sharp_jump_p99,jump_p99_improvement,diffuse_alignment_min,max_ghost_clamp_fraction,max_ghost_clamp_excess,all_shadow_ghost_bounded,b1_pass
plane,12.0,2.0,1.5,0.8,0.09031581803561478,0.25,0.32086948348780003,0.5,2.7680643926783235,1.558265979566146,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,12.0,2.0,1.5,0.8,0.10179348620291372,0.30275216680157013,0.3912629678485269,0.7071067811865476,2.9741801572457023,1.807241776738493,0.12007530843722632,0.7653668647301795,6.37405703713268,0.9966516717652465,0.0,0.0,True,True
sphere,12.0,2.0,1.5,0.8,0.10862526046223217,0.33475632725743576,0.40440398595227145,0.8660254037844386,3.0817539661856728,2.1414858257273672,0.1255283782804755,0.9194016867619662,7.324253681567466,0.9949982185561903,0.0,0.0,True,True
plane,12.0,2.0,1.5,1.0,0.06519980393269727,0.25,0.28135987393074324,0.5,3.834367358804689,1.7770835372320186,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,12.0,2.0,1.5,1.0,0.07353806551929533,0.30275216680157013,0.32606167862944535,0.7071067811865476,4.116944940877352,2.1686289053002854,0.10381284879476191,0.7653668647301795,7.37256393226729,0.9989516749633847,0.0,0.0,True,True
sphere,12.0,2.0,1.5,1.0,0.07815399412828991,0.33475632725743576,0.33330926503833147,0.8660254037844386,4.283291353068056,2.598263818693559,0.10268265390487853,0.9194016867619662,8.95381694763817,0.9983436100562432,0.0,0.0,True,True
plane,12.0,2.0,1.5,1.2,0.047620283794436155,0.25,0.24868704462713107,0.5,5.249863715201324,2.010559097478017,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,12.0,2.0,1.5,1.2,0.05374574834442312,0.30275216680157013,0.27811114570209194,0.7071067811865476,5.63304402910942,2.5425330559890207,0.09667755011773116,0.7653668647301795,7.916696935308534,0.9996198339862281,0.0,3.1614538918535307e-17,True,True
sphere,12.0,2.0,1.5,1.2,0.056909063042852946,0.33475632725743576,0.2824623275475862,0.8660254037844386,5.88230256058445,3.0659855114255543,0.09690257361014704,0.9194016867619662,9.487897508902613,0.9994341000694421,0.0,0.0,True,True
plane,12.0,2.0,1.5,1.25,0.04412278118546393,0.25,0.24145844546104572,0.5,5.6660072933562375,2.070749685500914,2.2989939790784164e-16,0.0,0.0,1.0,0.390625,0.00020577545689597597,True,True
