case,radius,eps_solid,indicator,near_count,grad_mean,grad_std,grad_max,grad_p99,normal_alignment_min,normal_alignment_mean,normal_jump_mean,normal_jump_max,normal_jump_p99
plane,12.0,0.8,diffuse,36864,0.23055366545218525,0.09031581803561478,0.32086948348780003,0.32086948348780003,1.0,1.0,2.1688327059907206e-18,4.893243326280583e-16,0.0
plane,12.0,0.8,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,12.0,0.8,diffuse,28800,0.23162428753641268,0.10179348620291372,0.3912629678485269,0.3912629678485269,0.9966516717652465,0.9993346366496907,0.03949271540366031,0.12068207816235936,0.12007530843722632
cylinder_z,12.0,0.8,sharp,28800,0.26142135623730955,0.30275216680157013,0.7071067811865476,0.7071067811865476,0.8411784753765535,0.9569711699704605,0.12302255171887355,0.7653668647301795,0.7653668647301795
sphere,12.0,0.8,diffuse,7312,0.23010856866487955,0.10862526046223217,0.40440398595227145,0.40204488734351557,0.9949982185561903,0.9991227500229415,0.07158852836725157,0.13612835280418506,0.1255283782804755
sphere,12.0,0.8,sharp,7312,0.2678537682879557,0.33475632725743576,0.8660254037844386,0.8660254037844386,0.6609789738588476,0.9160072195457677,0.371328897090753,0.9194016867619662,0.9194016867619662
plane,12.0,1.0,diffuse,36864,0.216160069998046,0.06519980393269727,0.28135987393074324,0.28135987393074324,1.0,1.0,0.0,0.0,0.0
plane,12.0,1.0,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,12.0,1.0,diffuse,28800,0.21707147022752674,0.07353806551929533,0.32606167862944535,0.32606167862944535,0.9989516749633847,0.9997817501148157,0.03617573353849376,0.1040240174875302,0.10381284879476191
cylinder_z,12.0,1.0,sharp,28800,0.26142135623730955,0.30275216680157013,0.7071067811865476,0.7071067811865476,0.8411784753765535,0.9569711699704605,0.12302255171887355,0.7653668647301795,0.7653668647301795
sphere,12.0,1.0,diffuse,7312,0.21617022808955982,0.07815399412828991,0.33330926503833147,0.3319425963646324,0.9983436100562432,0.9997175361386779,0.06786311035369233,0.10401424460828572,0.10268265390487853
sphere,12.0,1.0,sharp,7312,0.2678537682879557,0.33475632725743576,0.8660254037844386,0.8660254037844386,0.6609789738588476,0.9160072195457677,0.371328897090753,0.9194016867619662,0.9194016867619662
plane,12.0,1.2,diffuse,36864,0.2010667608326949,0.047620283794436155,0.24868704462713107,0.24868704462713107,1.0,1.0,2.0163458125945665e-18,5.116091581210771e-16,0.0
plane,12.0,1.2,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,12.0,1.2,diffuse,28800,0.20181507762524273,0.05374574834442312,0.27811114570209194,0.27811114570209194,0.9996198339862281,0.9999117481630575,0.03519491014332991,0.09959211585491738,0.09667755011773116
cylinder_z,12.0,1.2,sharp,28800,0.26142135623730955,0.30275216680157013,0.7071067811865476,0.7071067811865476,0.8411784753765535,0.9569711699704605,0.12302255171887355,0.7653668647301795,0.7653668647301795
