case,geometry,init_theta_deg,target_theta_deg,step,phase_min,phase_max,phase_nonfinite,liquid_area_cells,footprint_cells,height_cells,centroid_x,centroid_y,angle_acute_deg,angle_obtuse_deg
cylinder_init090_to060_b3morph,cylinder,90,60,0,0.0,1.0,0,2368,76,42,48.0,78.66385135135135,74.61118477749022,105.38881522250978
cylinder_init090_to060_b3morph,cylinder,90,60,1000,-7.802760605013025e-05,1.000277082217327,0,2360,76,43,48.0,78.65762711864407,74.75387722883279,105.24612277116721
cylinder_init090_to060_b3morph,cylinder,90,60,2000,-8.525026333415915e-05,1.0002736106602568,0,2350,74,43,48.0,78.62595744680851,74.87970247711021,105.12029752288979
cylinder_init090_to060_b3morph,cylinder,90,60,3000,-8.503508258587031e-05,1.0002648828475182,0,2344,74,43,48.0,78.66467576791808,74.99637596641179,105.00362403358821
cylinder_init090_to090_b3morph,cylinder,90,90,0,0.0,1.0,0,2368,76,42,48.0,78.66385135135135,74.61118477749022,105.38881522250978
cylinder_init090_to090_b3morph,cylinder,90,90,1000,-7.666401488713578e-05,1.0001147156510135,0,2362,76,40,48.0,78.65156646909399,74.48140603231087,105.51859396768913
cylinder_init090_to090_b3morph,cylinder,90,90,2000,-8.154863858579682e-05,1.0001075883763182,0,2354,76,40,48.0,78.65123194562447,74.68886050714504,105.31113949285496
cylinder_init090_to090_b3morph,cylinder,90,90,3000,-8.452921726348623e-05,1.0001193827083072,0,2360,76,40,48.0,78.68305084745762,75.07111537820768,104.92888462179232
cylinder_init090_to120_b3morph,cylinder,90,120,0,0.0,1.0,0,2368,76,42,48.0,78.66385135135135,74.61118477749022,105.38881522250978
cylinder_init090_to120_b3morph,cylinder,90,120,1000,-7.798908210708093e-05,1.0000922793467242,0,2362,76,40,48.0,78.65664690939882,74.41622605735947,105.58377394264053
cylinder_init090_to120_b3morph,cylinder,90,120,2000,-8.549443444227694e-05,1.0000877079614146,0,2362,76,39,48.0,78.69136325148179,75.26933667919042,104.73066332080958
cylinder_init090_to120_b3morph,cylinder,90,120,3000,-8.677659632154177e-05,1.0000883223614574,0,2366,76,39,48.0,78.73753169907016,75.58954253244207,104.41045746755793
sphere_init090_to060_b3morph,sphere,90,60,0,0.0,1.0,0,702,34,27,40.0,77.3005698005698,89.98745347554168,90.01254652445832
sphere_init090_to060_b3morph,sphere,90,60,1000,-5.78426588278572e-05,1.0001051644855197,0,703,34,28,40.01635846372689,77.23115220483642,89.98140987059068,90.01859012940932
sphere_init090_to060_b3morph,sphere,90,60,2000,-5.696020040696991e-05,1.0001023337487165,0,700,34,28,40.0,77.22285714285714,89.4756644010755,90.5243355989245
sphere_init090_to060_b3morph,sphere,90,60,3000,-5.469772330540165e-05,1.0001009312941824,0,694,32,28,40.0,77.14265129682997,88.71687759754016,91.28312240245984
sphere_init090_to090_b3morph,sphere,90,90,0,0.0,1.0,0,702,34,27,40.0,77.3005698005698,89.98745347554168,90.01254652445832
sphere_init090_to090_b3morph,sphere,90,90,1000,-6.382111078023394e-05,1.0001368995988789,0,702,34,27,40.0,77.3005698005698,89.69277608494569,90.30722391505431
sphere_init090_to090_b3morph,sphere,90,90,2000,-6.834781833939787e-05,1.000136276000052,0,702,34,27,40.0,77.3005698005698,89.52764362169756,90.47235637830244
sphere_init090_to090_b3morph,sphere,90,90,3000,-6.950567570071716e-05,1.0001363838002124,0,700,34,27,40.0,77.33714285714285,89.44729809042063,90.55270190957937
sphere_init090_to120_b3morph,sphere,90,120,0,0.0,1.0,0,702,34,27,40.0,77.3005698005698,89.98745347554168,90.01254652445832
sphere_init090_to120_b3morph,sphere,90,120,1000,-6.709752389219425e-05,1.0001370993289038,0,702,34,26,40.0,77.34045584045585,88.79683837860827,91.20316162139173
sphere_init090_to120_b3morph,sphere,90,120,2000,-7.22615339515826e-05,1.0001351615100542,0,699,34,26,40.006437768240346,77.46709585121603,88.06499107996781,91.93500892003219
sphere_init090_to120_b3morph,sphere,90,120,3000,-7.582718201207829e-05,1.000117106024023,0,700,34,26,40.0,77.52,87.38546969167325,92.61453030832675
