case,status,target_theta_deg,expected_response,response_direction,step,phase_min,phase_max,phase_nonfinite,analytic_contact_cells,contact_half_width_w95_deg,contact_half_width_delta_deg,contact_y_min,contact_y_min_delta,phase_mean_abs_near_wall_delta,slice_footprint_delta,slice_height_delta,slice_angle_obtuse_delta_deg,b5_contact_cells,b5_consumed_fraction,b5_fphi_normal_proxy_mean,b5_grad_phi_normal_mean,b5_wallghost_minus_center_mean,b5_signal_ok_mean
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,200,-9.733756894987065e-05,1.0003035316878042,0,2744,75.65066795705286,0.6690285882035312,51.5,0.0,0.007114050600483463,0.0,0.0,-0.03712921998742047,2672,0.47005988023952094,-0.08232508366620457,-0.08199861583586447,-0.21486015625276567,-0.25449101796407186
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,400,-9.87165903921528e-05,1.0003000441159817,0,2792,77.0053832080835,2.0237438392341716,51.5,0.0,0.01006453740438806,0.0,1.0,-0.0677070841939269,2720,0.46176470588235297,-0.09094163893832122,-0.08991735812144656,-0.2233324961950069,-0.2647058823529412
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,600,-0.00010808570205751096,1.0002993238488238,0,2852,77.0053832080835,2.0237438392341716,50.5,-1.0,0.012388799724632174,0.0,1.0,-0.09744714963918,2770,0.4714801444043321,-0.09515481135642209,-0.09390798872019779,-0.21475405034369394,-0.2505415162454874
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,200,-9.628932874456895e-05,1.0001300720495574,0,2488,74.24882633654697,-0.7328130323023601,52.5,1.0,0.004104345131624243,0.0,-1.0,0.07564519340479592,2420,0.44958677685950416,0.013850342549269362,0.013504987708963065,-0.30276922533023143,0.0
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,400,-0.00010271974526951071,1.000133958614041,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.005672353885918681,0.0,-1.0,0.0512166134114409,2444,0.4533551554828151,0.01452129397662992,0.014250366871500771,-0.3082106668764824,0.0
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,600,-0.00010724334668333894,1.0001262483583762,0,2520,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006882276164633441,0.0,-2.0,0.14531338967094598,2448,0.4542483660130719,0.014721260543295728,0.014412707939913493,-0.3057065937412316,0.0
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,200,-9.685682040316724e-05,1.000127364538605,0,2700,73.17859010995916,-1.8030492588901694,52.5,1.0,0.0063698102741999215,0.0,-2.0,0.24574264557911363,2632,0.4635258358662614,0.09173918399357736,0.09071442975100313,-0.36694997051601086,0.9787234042553191
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,400,-0.00010108646048110694,1.000114657344183,0,2722,72.40757543781841,-2.5740639310309206,28.5,-23.0,0.008813468880009667,0.0,-2.0,0.37091515447154677,2646,0.46485260770975056,0.09891585758563678,0.09727473225754117,-0.3666528294162945,0.9788359788359788
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,600,-0.00010935461166732161,1.0001054456874825,0,2745,71.56505117707799,-3.416588191771339,28.5,-23.0,0.010700560870978667,0.0,-2.0,0.43347446072922935,2669,0.46197077557137506,0.10179358193712676,0.09987727451869519,-0.3680314597693231,0.9820157362307981
