case,status,target_theta_deg,expected_response,response_direction,step,phase_min,phase_max,phase_nonfinite,analytic_contact_cells,contact_half_width_w95_deg,contact_half_width_delta_deg,contact_y_min,contact_y_min_delta,phase_mean_abs_near_wall_delta,slice_footprint_delta,slice_height_delta,slice_angle_obtuse_delta_deg,b5_contact_cells,b5_consumed_fraction,b5_fphi_normal_proxy_mean,b5_grad_phi_normal_mean,b5_wallghost_minus_center_mean,b5_signal_ok_mean
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,500,-0.00010295997196470866,1.0002968123248919,0,2812,77.0053832080835,2.0237438392341716,51.5,0.0,0.011293094420735726,0.0,1.0,-0.0835525780642854,2740,0.4686131386861314,-0.09356582010588012,-0.09239971050343143,-0.21718513446017743,-0.25547445255474455
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,1000,-0.00011631407670092741,1.000283456303678,0,2916,77.0053832080835,2.0237438392341716,50.5,-1.0,0.01591448848627139,0.0,1.0,-0.14269241435704316,2820,0.4652482269503546,-0.09969791418580783,-0.09806234927237184,-0.2168078120013429,-0.251063829787234
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,1500,-0.00011223337438563787,1.0002740333673514,0,2988,77.0053832080835,2.0237438392341716,50.5,-1.0,0.019260237272921213,-2.0,1.0,-0.2134706810086726,2888,0.46814404432132967,-0.10224249833594447,-0.1004249130789426,-0.22237327826515746,-0.2520775623268698
cylinder_init090_to060_b5consume,PASS_B6_ANALYSIS,60,spread,toward_target,2000,-0.00011522484380205761,1.000274925357549,0,3036,77.61924307119283,2.6376037023434975,50.5,-1.0,0.021964597281022857,-2.0,1.0,-0.26849883725124357,2936,0.4645776566757493,-0.10392766592270401,-0.10197142845499134,-0.2250471452273086,-0.2561307901907357
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,500,-0.00010347764524766578,1.0001280051439358,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006312968852477345,0.0,-1.0,0.01050808152339755,2440,0.4540983606557377,0.014630070687744868,0.014321893928532784,-0.3082792737653732,0.0
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,1000,-0.00011338328929242936,1.0001348624664836,0,2484,72.40757543781841,-2.5740639310309206,53.5,2.0,0.008708526262230896,0.0,-2.0,0.12977998155250248,2412,0.4527363184079602,0.015149878143207262,0.014758394446321503,-0.3030934620874238,0.0
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,1500,-0.00011153025800276291,1.0001327559178634,0,2468,72.40757543781841,-2.5740639310309206,53.5,2.0,0.010433652414841359,0.0,-2.0,0.048306987187174855,2392,0.451505016722408,0.015450385091113192,0.015023278901562957,-0.3019432034436614,0.0
cylinder_init090_to090_b5consume,PASS_B6_ANALYSIS,90,control,control_drift,2000,-0.00011634474311774,1.00013003366776,0,2472,71.56505117707799,-3.416588191771339,53.5,2.0,0.011856075692372658,0.0,-2.0,-0.07772713727399605,2396,0.4540901502504174,0.015464797256322172,0.015014619994786416,-0.30248772522400125,0.0
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,500,-0.00022914893462652627,1.0001027792334827,0,2714,71.56505117707799,-3.416588191771339,28.5,-23.0,0.0098162275686539,0.0,-2.0,0.4086928226278559,2638,0.46019711902956784,0.10113365573338017,0.09926421014282819,-0.369242090205534,0.9818043972706596
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,1000,-0.00011787694527124757,1.000104020769914,0,2784,70.76932762433871,-4.212311744510615,53.5,2.0,0.013530334629286087,0.0,-2.0,0.19495469415790012,2700,0.4577777777777778,0.10455222318529603,0.10252179293220584,-0.3735534075414269,0.9792592592592593
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,1500,-0.0001111255546202553,1.0001084765187347,0,2768,69.90476880809518,-5.076870560754145,53.5,2.0,0.016124006471842662,0.0,-3.0,-0.5836049338629152,2686,0.4571854058078928,0.1070425280590251,0.10482115204237263,-0.3800365666429485,0.9791511541325391
cylinder_init090_to120_b5consume,PASS_B6_ANALYSIS,120,retract,toward_target,2000,-0.00011045090994740421,1.0001037190911828,0,2788,69.90476880809518,-5.076870560754145,54.5,3.0,0.018149034672127883,0.0,-3.0,-0.6582601534547194,2706,0.4582409460458241,0.10719263530034086,0.10498345410818358,-0.3754991469669341,0.9793052475979305
