case,status,target_theta_deg,expected_response,response_direction,step,phase_min,phase_max,phase_nonfinite,analytic_contact_cells,contact_half_width_w95_deg,contact_half_width_delta_deg,contact_y_min,contact_y_min_delta,phase_mean_abs_near_wall_delta,slice_footprint_delta,slice_height_delta,slice_angle_obtuse_delta_deg,b5_contact_cells,b5_consumed_fraction,b5_fphi_normal_proxy_mean,b5_grad_phi_normal_mean,b5_wallghost_minus_center_mean,b5_signal_ok_mean
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,500,-0.00010428253951912019,1.0001113168471623,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006310777285523302,0.0,-1.0,0.010678542714970263,0,0.0,,,,
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,1000,-0.00011319533679975898,1.0001155006746076,0,2484,72.40757543781841,-2.5740639310309206,53.5,2.0,0.008706264407742761,0.0,-2.0,0.13009521878089458,0,0.0,,,,
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,1500,-0.0001066821886173724,1.000111341132241,0,2468,72.40757543781841,-2.5740639310309206,53.5,2.0,0.010432256205985261,0.0,-2.0,0.04883859894150078,0,0.0,,,,
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,2000,-0.0001141889468387327,1.0001247051474558,0,2472,71.56505117707799,-3.416588191771339,53.5,2.0,0.01185566419345067,0.0,-2.0,-0.07718974236153997,0,0.0,,,,
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,500,-0.00010428253951897006,1.0001113168471627,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006310777285601206,0.0,-1.0,0.010678542718650874,2440,0.4540983606557377,0.014630178789630658,0.014321966572041012,-0.308276171762417,0.0
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,1000,-0.00011319533585905987,1.0001155006777505,0,2484,72.40757543781841,-2.5740639310309206,53.5,2.0,0.00870626439201072,0.0,-2.0,0.1300952206954662,2412,0.4527363184079602,0.015149835815302803,0.014758297992224976,-0.3030861250243784,0.0
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,1500,-0.0001066822462901274,1.0001113411424554,0,2468,72.40757543781841,-2.5740639310309206,53.5,2.0,0.010432266763886144,0.0,-2.0,0.04883856098042827,2392,0.451505016722408,0.015449683503189685,0.01502254794430872,-0.3019360934632468,0.0
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,2000,-0.00011420908929056593,1.0001246915925956,0,2472,71.56505117707799,-3.416588191771339,53.5,2.0,0.011855689219406013,0.0,-2.0,-0.07718785781207771,2396,0.4540901502504174,0.015464125230090777,0.015013850440500125,-0.3024799766013928,0.0
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,500,-0.00010347764524766578,1.0001280051439358,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006312968852477345,0.0,-1.0,0.01050808152339755,2440,0.4540983606557377,0.014630070687744868,0.014321893928532784,-0.3082792737653732,0.0
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,1000,-0.00011338328929242936,1.0001348624664836,0,2484,72.40757543781841,-2.5740639310309206,53.5,2.0,0.008708526262230896,0.0,-2.0,0.12977998155250248,2412,0.4527363184079602,0.015149878143207262,0.014758394446321503,-0.3030934620874238,0.0
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,1500,-0.00011153025800276291,1.0001327559178634,0,2468,72.40757543781841,-2.5740639310309206,53.5,2.0,0.010433652414841359,0.0,-2.0,0.048306987187174855,2392,0.451505016722408,0.015450385091113192,0.015023278901562957,-0.3019432034436614,0.0
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,2000,-0.00011634474311774,1.00013003366776,0,2472,71.56505117707799,-3.416588191771339,53.5,2.0,0.011856075692372658,0.0,-2.0,-0.07772713727399605,2396,0.4540901502504174,0.015464797256322172,0.015014619994786416,-0.30248772522400125,0.0
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,500,-0.00010428253951897006,1.0001113168471627,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006310777285601206,0.0,-1.0,0.010678542718650874,2440,0.4540983606557377,0.014630178789630658,0.014321966572041012,-0.308276171762417,0.0
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,1000,-0.00011319533585905987,1.0001155006777505,0,2484,72.40757543781841,-2.5740639310309206,53.5,2.0,0.00870626439201072,0.0,-2.0,0.1300952206954662,2412,0.4527363184079602,0.015149835815302803,0.014758297992224976,-0.3030861250243784,0.0
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,1500,-0.00010668224629054242,1.0001113411424583,0,2468,72.40757543781841,-2.5740639310309206,53.5,2.0,0.01043226676869138,0.0,-2.0,0.04883856094768646,2392,0.451505016722408,0.015449683503058538,0.015022547944191837,-0.30193609346124,0.0
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,2000,-0.00011420908828136875,1.0001246915919362,0,2472,71.56505117707799,-3.416588191771339,53.5,2.0,0.011855689235765472,0.0,-2.0,-0.07718785828515706,2396,0.4540901502504174,0.015464125134654196,0.015013850355979666,-0.3024799766790282,0.0
