step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,droplet_volume_radius,pressure_inside_mean,pressure_outside_mean,laplace_delta_p,sigma_theory,laplace_delta_p_target,laplace_delta_p_relative_error,mu_min,mu_max,u_max,spurious_u_rms_interface,interface_cells,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,phase_wall_wetting_correction_abs,phase_wall_wetting_clamp_cells,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,near_wall_interface_cells,near_wall_force_over_rho_max,near_wall_mu_min,near_wall_mu_max,near_wall_mu_abs_max,wall_ghost_clamp_low_cells,wall_ghost_clamp_high_cells,nonfinite_count
0,21079.44489527172,0.0,0.0,0.9999999637915976,0,0,0.1,0.9999999674124379,0.0,0.33333333333333326,17.13655504202867,0.33333333333333315,0.33333333333333337,-2.220446049250313e-16,0.0016666666666666668,0.00019451595289473797,1.0000000000011415,-0.049993121210411856,0.004082442910309106,0.0007063512113554197,5.357841716412946e-05,13492,0.0,0.024994633973204103,0.0,0.0,0.0014127024227108282,0.0021261964345121757,0,0.004629629629629629,0.2962962962962963,9216,9216,0,0.0,0.0,0.0,0.0,0,0.0,3074.293650249134,137860,0.0,0.0,0.0,0.9998561789989697,488,0.0021261964345121757,-0.00221013891053143,0.004082442910309106,0.004082442910309106,3456,0,0
100,21079.444895271587,-1.3460521586239338e-10,0.0,0.9999846624594269,0,0,0.1,0.9999861962134842,0.0,0.3335591091167911,17.136555042028636,0.3335069472510526,0.33332507077997253,0.00018187647108008909,0.0016666666666666668,0.00019451595289473838,0.06497915274583728,-0.049961488736260336,0.002280889883747772,0.0011496673748101667,0.00023195055920479608,13733,0.0,0.024968689498465816,0.0,0.0,0.0007387179303446256,0.0013842852284782108,0,0.0,0.2964968047058906,9216,9216,82944,21079.444895271587,107.8552812277705,-1.2703707506754683e-15,18.276991377449228,5206,0.0,3104.3735195864747,126737,1.2740011436912568e-17,0.08333325654076755,4.646465840130841e-17,0.9992670685041097,560,0.0013842852284782108,-0.0009363230941239365,0.002280889883747772,0.002280889883747772,3711,0,0
200,21079.44489527148,-2.4010660126805305e-10,0.0,0.9999727340715666,0,0,0.1,0.99997546066441,0.0,0.3335388533953654,17.136555042028604,0.3335061841489935,0.333325304220899,0.0001808799280945128,0.0016666666666666668,0.00019451595289473873,0.07010234686306158,-0.04997570658099109,0.0020588256033948504,0.0012544757856313754,0.00025994063347518193,13788,0.0,0.024980497564847104,0.0,0.0,0.0006437933450216714,0.0012698021560600568,0,0.0,0.2964791173687245,9216,9216,82944,21079.44489527148,104.41518969792033,-2.7359006664422697e-15,19.33914649157177,5031,0.0,3119.2251994860485,125239,1.1081430922189562e-17,0.08333332662398756,1.8363647158423793e-15,0.9995675430972968,598,0.0012698021560600568,-0.0008281890828352791,0.0020588256033948504,0.0020588256033948504,3862,0,0
300,21079.444895271372,-3.4924596548080444e-10,0.0,0.9999813746576699,0,0,0.1,0.999983237191903,0.0,0.3335563033946279,17.136555042028572,0.3335150298345217,0.3333245506591568,0.00019047917536491044,0.0016666666666666668,0.0001945159528947391,0.020752938099699966,-0.049979431076294975,0.0019318844453201992,0.0012838209165020285,0.00027716314051147564,13852,0.0,0.024983278868905258,0.0,0.0,0.0005954248010716288,0.0012091443552180413,0,0.0,0.2964946990183581,9216,9216,82944,21079.444895271372,101.8098476298271,4.507224811431048e-15,20.04270766677193,5027,0.0,3131.9620842346444,125251,1.2110555625824735e-17,0.08333333111484048,7.212427247617708e-15,0.9996365387415687,623,0.0012091443552180413,-0.0007571599882621083,0.0019318844453201992,0.0019318844453201992,3867,0,0
400,21079.44489527124,-4.802132025361061e-10,0.0,1.0000000000000007,0,0,0.1,1.0,0.0,0.33354488988873615,17.13655504202854,0.3335099982204714,0.33332486548751294,0.00018513273295844845,0.0016666666666666668,0.00019451595289473946,0.04823881947291312,-0.04997647444717911,0.0018513214081116807,0.0012591983536467334,0.00028803244089773105,13888,0.0,0.02498190455195909,0.0,0.0,0.0005627469774388558,0.001167811827442947,0,0.0,0.29648299770057723,9216,9216,82944,21079.444895271245,99.5971090375129,-3.365028429517447e-15,20.577673212406822,5025,0.0032543305362060515,3141.305964700913,124401,1.2651175276390112e-17,0.08333332538905462,1.4770337466428468e-14,0.9996246643341357,642,0.001167811827442947,-0.0006985619216637013,0.0018513214081116807,0.0018513214081116807,3865,0,0
500,21079.444895271114,-6.075424607843161e-10,0.0,0.9999780707446465,0,0,0.1,0.9999802636701819,0.0,0.33350834741116575,17.136555042028508,0.3334703975625306,0.3333271133866549,0.00014328417587572417,0.0016666666666666668,0.00019451595289473982,0.26338085003618783,-0.04994729244382612,0.0017970027396014088,0.0012734390198225394,0.0002946375300288219,13928,0.0,0.02495779818308413,0.0,0.0,0.0005374407826870829,0.0011353087526604657,0,0.0,0.29645167091152724,9216,9216,82944,21079.444895271114,97.71587041700779,6.0462485186190235e-15,21.001527849886394,5037,0.0,3152.4988908602763,125314,1.2752267551262407e-17,0.08333333274230191,2.3002619509125898e-14,0.9990840179899341,657,0.0011353087526604657,-0.0006515422194639766,0.0017970027396014088,0.0017970027396014088,3855,0,0
600,21079.444895271,-7.203198038041592e-10,0.0,0.9999794082433261,0,0,0.1,0.9999814674189935,0.0,0.3335407924434073,17.136555042028476,0.3335018547277332,0.33332523972803196,0.00017661499970123007,0.0016666666666666668,0.0001945159528947402,0.0920282009116085,-0.04994564538602792,0.0017540080391772188,0.0012832352427660644,0.00029816718865586264,13966,0.0,0.024956801750206446,0.0,0.0,0.0005162253971808685,0.0011065053029435594,0,0.0,0.2964807157009776,9216,9216,82944,21079.444895271,96.15887383334284,5.5850872007679394e-15,21.31216240265174,5047,0.0,3159.145725473958,125351,1.1865666765028956e-17,0.08333333331852315,3.119637707302312e-14,0.9990595913060786,667,0.0011065053029435594,-0.0006254443984280611,0.0017540080391772188,0.0017540080391772188,3845,0,0
700,21079.444895270884,-8.36735125631094e-10,0.0,0.9999818194272662,0,0,0.1,0.9999836374845396,0.0,0.33352200372059104,17.136555042028444,0.33348639711515704,0.33332622252627236,0.00016017458888467617,0.0016666666666666668,0.00019451595289474055,0.17654780237304085,-0.049925953425994776,0.0017160509436091374,0.0012671949707620332,0.0003034545885376102,13983,0.0,0.02493964596023807,0.0,0.0,0.0004969137922869846,0.0010789548165070068,0,0.0,0.2964639803460844,9216,9216,82944,21079.444895270884,94.66511286815863,7.688774002938472e-15,21.59846203708266,5053,0.0,3166.494042003157,125414,1.24283213486527e-17,0.08333329668469194,3.906101677241358e-14,0.9986414678237776,673,0.0010789548165070068,-0.0006123195205315699,0.0017160509436091374,0.0017160509436091374,3839,0,0
800,21079.444895270764,-9.567884262651205e-10,0.0,0.9999869720581896,0,0,0.1,0.9999882748523707,0.0,0.3335534693814959,17.13655504202841,0.33351692237004726,0.33332452206106505,0.00019240030898221017,0.0016666666666666668,0.00019451595289474095,0.010876454506924853,-0.04992053492983251,0.0016818410122729237,0.0012849251300005354,0.0003062719825671274,14008,0.0,0.02493839075182696,0.0,0.0,0.0004811472067387274,0.0010523658849727192,0,0.0,0.2964919901084176,9216,9216,82944,21079.444895270764,93.4045713331521,1.5624037297413448e-15,21.81241792663004,5058,0.0,3171.8877291316276,125460,1.2575127704967865e-17,0.08333333246742901,4.64553773184371e-14,0.9986103886265667,688,0.0010523658849727192,-0.0005939147018945539,0.0016818410122729237,0.0016818410122729237,3835,0,0
900,21079.444895270644,-1.076841726899147e-09,0.0,0.9999987287454092,0,0,0.1,0.9999988558708683,0.0,0.33353483250464233,17.13655504202838,0.3335015094816484,0.3333253815960305,0.00017612788561793824,0.0016666666666666668,0.00019451595289474128,0.09453243810163685,-0.04990159449514483,0.0016488824677974375,0.0012690786467245997,0.000310025080182868,14040,0.0,0.024921772656461134,0.0,0.0,0.0004719581496938015,0.0010330677656768354,0,0.0,0.2964747606555915,9216,9216,82944,21079.444895270644,92.1377584170085,1.7881813896172182e-15,22.024476749413452,5073,0.0,3177.7613687772164,125506,1.2789544178528926e-17,0.08333332818963848,5.331890140456797e-14,0.9981796650857315,698,0.0010330677656768354,-0.0005689864107256057,0.0016488824677974375,0.0016488824677974375,3833,0,0
