step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,droplet_volume_radius,pressure_inside_mean,pressure_outside_mean,laplace_delta_p,sigma_theory,laplace_delta_p_target,laplace_delta_p_relative_error,mu_min,mu_max,u_max,spurious_u_rms_interface,interface_cells,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.005000897549351009,0.994170726689176,0.33333333333333326,0.33333333333333326,6.502422667088178,0.33333333333333315,0.33333333333333315,0.0,0.0016666666666666668,0.000512629446591484,1.0,-2.155422422680661e-05,0.0008062190325630363,9.441549908702725e-05,6.120463019156109e-05,2112,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.0004588631308295958,0,0.004629629629629629,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.0,492.4117934822945,13824,0.0,0.0,0.5,0.5,0
100,1151.6332540613516,-6.139089236967266e-12,2.9602477374387813e-07,0.9959103032756135,0,0,0.005000294544649875,0.9959307517592354,0.3332496677662963,0.3339585690708907,6.502422667088166,0.3339292138681642,0.33328525331113495,0.000643960557029255,0.0016666666666666668,0.0005126294465914848,0.25619111682132484,-2.176418816940518e-05,0.0008058209889041082,7.582723234729152e-05,5.6845242230359654e-05,2112,0.0,0.0001745639296875083,0.0,0.0,0.0001745639296875083,0.0004766500842496151,0,0.004627102648701897,0.2968404186812055,0,0,0,0.0,0.0,0.0,0.0,495.06248225148886,13824,1.0030737029530401e-17,0.08326403458812592,0.5,0.5,0
200,1151.6332540613457,-1.2050804798491299e-11,3.0762884314871225e-07,0.9959130192819912,0,0,0.005000306090698933,0.9959334541855812,0.333293011772359,0.33383135455094026,6.502422667088155,0.33381526759166874,0.33329876814250914,0.000516499449159602,0.0016666666666666668,0.0005126294465914858,0.007549317726182416,-2.13610676189621e-05,0.0007876183922858493,7.620711329292285e-05,4.1751736104460684e-05,2112,0.0,0.00017381633629367884,0.0,0.0,0.00017381633629367884,0.00047071628657112695,0,0.0046279017362958015,0.29674490077976584,0,0,0,0.0,0.0,0.0,0.0,495.10074600928726,13824,1.186598088060789e-17,0.08329266016563432,0.5,0.5,0
300,1151.6332540613394,-1.8417267710901797e-11,3.1294493832940795e-07,0.9959129422825385,0,0,0.005000311380213638,0.9959333775711258,0.33329449711766823,0.3338447983583262,6.502422667088143,0.3338273600013006,0.3332972273675983,0.0005301326337022738,0.0016666666666666668,0.0005126294465914867,0.034143936184640185,-2.1182565423386478e-05,0.0007826733536159266,7.856400696626544e-05,4.018283979520164e-05,2112,0.0,0.0001740122181622243,0.0,0.0,0.0001740122181622243,0.0004702152737028784,0,0.004626828286601543,0.2967482593758287,0,0,0,0.0,0.0,0.0,0.0,495.1370543208385,13824,1.03561015061019e-17,0.08330249800001237,0.5,0.5,0
400,1151.6332540613332,-2.4556356947869062e-11,3.152027808660907e-07,0.9959127298177493,0,0,0.005000313626766962,0.9959331661686605,0.3332889021918022,0.3338586510498776,6.5024226670881315,0.33383990224357013,0.333295609136323,0.0005442931072471291,0.0016666666666666668,0.0005126294465914875,0.061767151431069076,-2.1103493712423525e-05,0.0007849740827780558,7.655559894151898e-05,3.817584690399065e-05,2112,0.0,0.00017441070767239102,0.0,0.0,0.00017441070767239102,0.00047115511978637034,0,0.004627422746991712,0.29676407425262963,0,0,0,0.0,0.0,0.0,0.0,495.15495763107265,13824,1.1053206657318592e-17,0.08330640003329674,0.5,0.5,0
500,1151.6332540613273,-3.0468072509393096e-11,3.161975019801906e-07,0.9959126004675187,0,0,0.00500031461651447,0.9959330374651811,0.3332943042919548,0.33384498448113065,6.50242266708812,0.33382740857652504,0.3332972466687307,0.0005301619077943687,0.0016666666666666668,0.0005126294465914885,0.03420104194063527,-2.1068439336019962e-05,0.0007859931018145192,7.513606226940497e-05,4.025817907972464e-05,2112,0.0,0.00017458738504290834,0.0,0.0,0.00017458738504290834,0.0004715715612524438,0,0.004627136399298577,0.29675102361493494,0,0,0,0.0,0.0,0.0,0.0,495.16324609007603,13824,1.2439361673639713e-17,0.08330804701748051,0.5,0.5,0
600,1151.6332540613207,-3.7061909097246826e-11,3.1663974783816614e-07,0.9959125360860064,0,0,0.005000315056549099,0.9959329734055763,0.33329345761383244,0.3338527146786846,6.502422667088108,0.3338344744205451,0.3332963064964212,0.0005381679241238668,0.0016666666666666668,0.0005126294465914895,0.049818592556835205,-2.1052889003835023e-05,0.0007864459500238672,7.669757765704683e-05,4.10295706513862e-05,2112,0.0,0.00017466587150610685,0.0,0.0,0.00017466587150610685,0.0004717564682408451,0,0.00462713207549298,0.2967578359877959,0,0,0,0.0,0.0,0.0,0.0,495.1669935754321,13824,1.0029099310991192e-17,0.0833087620014284,0.5,0.5,0
700,1151.6332540613146,-4.320099833421409e-11,3.168365024418642e-07,0.9959125061271566,0,0,0.00500031525231993,0.9959329435965208,0.33329453583345325,0.3338497259215621,6.502422667088096,0.33383172916126047,0.3332966740173173,0.0005350551439431972,0.0016666666666666668,0.0005126294465914904,0.043746408835498796,-2.1045988170407944e-05,0.0007866472027221451,7.873090452999889e-05,4.1153199198336276e-05,2112,0.0,0.00017470073796938007,0.0,0.0,0.00017470073796938007,0.0004718385870672128,0,0.004627163071536229,0.2967554383885108,0,0,0,0.0,0.0,0.0,0.0,495.16867073617675,13824,9.756557436257266e-18,0.08330907629888261,0.5,0.5,0
800,1151.6332540613084,-4.934008757118136e-11,3.169239730497329e-07,0.9959124925551058,0,0,0.005000315339353184,0.9959329300923303,0.3332945569702567,0.3338502796579133,6.5024226670880845,0.3338322353271232,0.3332966058538419,0.000535629473281285,0.0016666666666666668,0.0005126294465914913,0.044866768467403485,-2.1042925155756043e-05,0.0007867366058630604,7.802587721508976e-05,4.1472540045972824e-05,2112,0.0,0.00017471622289020442,0.0,0.0,0.00017471622289020442,0.0004718750524152722,0,0.0046271194134850846,0.2967557329279927,0,0,0,0.0,0.0,0.0,0.0,495.1694179715919,13824,9.407008695813077e-18,0.08330921522478177,0.5,0.5,0
900,1151.6332540613023,-5.547917680814862e-11,3.169628344326794e-07,0.9959124864762139,0,0,0.005000315378020261,0.9959329240438328,0.3332945684170424,0.33385057416769437,6.502422667088073,0.33383250460439595,0.333296569645211,0.0005359349591849694,0.0016666666666666668,0.0005126294465914922,0.04546268800677971,-2.1041565470377826e-05,0.0007867763093888064,7.870019851827346e-05,4.14465518053492e-05,2112,0.0,0.0001747230987482318,0.0,0.0,0.0001747230987482318,0.0004718912431866098,0,0.004627139118513154,0.2967560929698229,0,0,0,0.0,0.0,0.0,0.0,495.16975022922446,13824,9.250598253734234e-18,0.08330927678208214,0.5,0.5,0
1000,1151.633254061296,-6.184563972055912e-11,3.169800931422398e-07,0.9959124837669511,0,0,0.005000315395192676,0.9959329213481163,0.3332945511347403,0.33385019320581977,6.502422667088061,0.3338321545112945,0.3332966167330074,0.0005355377782870763,0.0016666666666666668,0.0005126294465914931,0.044687896584759614,-2.1040961872804183e-05,0.0007867939384345468,7.858821545970752e-05,4.150598962656768e-05,2112,0.0,0.00017472615154460916,0.0,0.0,0.00017472615154460916,0.00047189843145132356,0,0.004627130048359974,0.29675572288827906,0,0,0,0.0,0.0,0.0,0.0,495.1698978365942,13824,8.901047607896148e-18,0.08330930408690883,0.5,0.5,0
