step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,droplet_volume_radius,pressure_inside_mean,pressure_outside_mean,laplace_delta_p,sigma_theory,laplace_delta_p_target,laplace_delta_p_relative_error,mu_min,mu_max,u_max,spurious_u_rms_interface,interface_cells,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.0010009011575896056,0.99414729242461,0.33333333333333326,0.33333333333333326,6.502422667088178,0.33333333333333315,0.33333333333333315,0.0,0.0016666666666666668,0.000512629446591484,1.0,-2.155422422680661e-05,0.0008062190325630363,0.00023125677921989157,0.0001650853683556858,2112,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.0004625135584397027,0,0.004629629629629629,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.0,492.4117934822945,13824,0.0,0.0,0.5,0.5,0
10,1151.6332540613573,-4.547473508864641e-13,4.922876573630247e-07,0.9957994906962438,0,0,0.0010004917953697057,0.9958036912055476,nan,nan,6.502422667088177,nan,nan,nan,0.0016666666666666668,0.000512629446591484,nan,-2.123763918692218e-05,0.0008226871136107096,nan,nan,2112,0.0,0.00017726991692512673,0.0,0.0,0.00017726991692512673,0.00048536771969390663,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.0732062326858,13824,1.0645647112393555e-17,0.08322971244002363,0.5,0.5,428328
20,1151.6332540613566,-1.1368683772161603e-12,3.9929749086926654e-07,0.9959226329896159,0,0,0.0010003988981933784,0.9959267103566263,nan,nan,6.502422667088175,nan,nan,nan,0.0016666666666666668,0.0005126294465914842,nan,-2.1867820991298077e-05,0.0008256880901281972,nan,nan,2112,0.0,0.0001778157845746479,0.0,0.0,0.0001778157845746479,0.0004871220252827505,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.49541439564064,13824,1.2057836329262495e-17,0.08322790454951079,0.5,0.5,428544
30,1151.6332540613562,-1.5916157281026244e-12,3.525884916364723e-07,0.9959099409521837,0,0,0.0010003522359031448,0.9959140310112314,nan,nan,6.502422667088174,nan,nan,nan,0.0016666666666666668,0.0005126294465914842,nan,-2.2094026046202066e-05,0.0008249931333978684,nan,nan,2112,0.0,0.00017777039165349466,0.0,0.0,0.00017777039165349466,0.0004871676145417248,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.46527555522937,13824,1.1736718466533021e-17,0.08322729856181482,0.5,0.5,428544
40,1151.6332540613555,-2.2737367544323206e-12,3.251584122825472e-07,0.9959024577128599,0,0,0.0010003248332538703,0.995906555255147,nan,nan,6.502422667088173,nan,nan,nan,0.0016666666666666668,0.0005126294465914843,nan,-2.21266612859954e-05,0.0008228351914985262,nan,nan,2112,0.0,0.00017733805443393444,0.0,0.0,0.00017733805443393444,0.00048657692803320336,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.3498540589406,13824,1.3495966670954532e-17,0.08322562070734454,0.5,0.5,428544
50,1151.6332540613548,-2.9558577807620168e-12,3.0920926124958537e-07,0.9959019382537841,0,0,0.0010003089000519883,0.9959060363155303,nan,nan,6.5024226670881715,nan,nan,nan,0.0016666666666666668,0.0005126294465914844,nan,-2.2089014901592474e-05,0.0008200596875601339,nan,nan,2112,0.0,0.00017671799996320678,0.0,0.0,0.00017671799996320678,0.0004857071923553505,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.24412198704056,13824,1.1430085984058987e-17,0.08322790169845003,0.5,0.5,428544
60,1151.633254061354,-3.865352482534945e-12,3.0060379179773184e-07,0.9959038019808585,0,0,0.001000300303188006,0.9959078981788776,nan,nan,6.502422667088171,nan,nan,nan,0.0016666666666666668,0.0005126294465914845,nan,-2.2027012453624155e-05,0.0008170793212159,nan,nan,2112,0.0,0.00017602276075269388,0.0,0.0,0.00017602276075269388,0.0004847374597713454,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.1673246709395,13824,9.264201039687644e-18,0.08323728276340342,0.5,0.5,428544
70,1151.6332540613535,-4.320099833421409e-12,2.965340579363335e-07,0.9959059807665912,0,0,0.0010002962375238785,0.9959100747858246,nan,nan,6.50242266708817,nan,nan,nan,0.0016666666666666668,0.0005126294465914846,nan,-2.195834070716234e-05,0.0008140931440113658,nan,nan,2112,0.0,0.00017531105653192014,0.0,0.0,0.00017531105653192014,0.00048375459684546116,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.11719921601326,13824,8.296564756949647e-18,0.08324546861043394,0.5,0.5,428544
80,1151.633254061353,-4.774847184307873e-12,2.951211612498934e-07,0.9959078326727645,0,0,0.0010002948260400886,0.9959119248400917,nan,nan,6.502422667088169,nan,nan,nan,0.0016666666666666668,0.0005126294465914846,nan,-2.1890084794167444e-05,0.0008111961108235879,nan,nan,2112,0.0,0.0001749010891224416,0.0,0.0,0.0001749010891224416,0.00048279900875879605,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.0869542102954,13824,1.1597716460079759e-17,0.08325255735871703,0.5,0.5,428544
90,1151.633254061352,-5.6843418860808015e-12,2.9518551637233406e-07,0.995909253920529,0,0,0.001000294890330856,0.9959133446666084,nan,nan,6.502422667088167,nan,nan,nan,0.0016666666666666668,0.0005126294465914847,nan,-2.1825039901117077e-05,0.0008084324240043468,nan,nan,2112,0.0,0.0001746857318516416,0.0,0.0,0.0001746857318516416,0.00048188856139752827,0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,495.07029014694376,13824,9.891419140057465e-18,0.08325869749856524,0.5,0.5,428544
