step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,droplet_volume_radius,pressure_inside_mean,pressure_outside_mean,laplace_delta_p,sigma_theory,laplace_delta_p_target,laplace_delta_p_relative_error,mu_min,mu_max,u_max,spurious_u_rms_interface,interface_cells,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1152.8613549781492,0.0,8.838024756485652e-10,0.9941414338584684,0,0,0.10000000079542223,0.9947272904726217,0.33333333333333326,0.33333333333333326,6.5047332389845955,0.33333333333333315,0.33333333333333315,0.0,0.0016666666666666668,0.0005124473534680532,1.0,-4.3495070442913016e-07,0.0008062190325630363,9.441549908702725e-05,6.120463019156109e-05,2112,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.0,493.63924604014886,32488,0.0,0.0,0.5,0.5,0
300,1152.86135497813,-1.9099388737231493e-11,1.8869624708348363e-10,0.9959169880901145,0,0,0.10000000016982663,0.9963252892811031,0.33330258905642474,0.3339008398381851,6.50473323898456,0.33388113267373964,0.33331623609937044,0.0005648965743692003,0.0016666666666666668,0.000512447353468056,0.10235045716635502,-1.3248261140565466e-05,0.000783672254941977,7.482605930342601e-05,4.002057883111349e-05,2112,0.0,0.0001742001252720427,0.0,0.0,0.0001742001252720427,0.0003922342530054608,0,0.004627650286714535,0.2968006817781756,0,0,0,0.0,0.0,0.0,0.0,496.076202025945,32176,6.665317837218199e-18,0.08330660030239585,0.5,0.5,0
600,1152.8613549781114,-3.774403012357652e-11,1.9260063037365948e-10,0.995916451958173,0,0,0.10000000017334057,0.9963248067623558,0.3333146272394399,0.33386861694053205,6.5047332389845245,0.3338506733843877,0.3333180047741781,0.0005326686102095635,0.0016666666666666668,0.0005124473534680588,0.03946016425815153,-1.3857210595862327e-05,0.000787789614550889,9.288636625395711e-05,4.6487440825217486e-05,2112,0.0,0.00017491044948609764,0.0,0.0,0.00017491044948609764,0.00039254370437063986,0,0.004627373784819029,0.2967725384164876,0,0,0,0.0,0.0,0.0,0.0,496.1061724355571,32224,1.0433433663085883e-17,0.08331288127409446,0.5,0.5,0
900,1152.8613549780932,-5.5933924159035087e-11,1.9293735839399008e-10,0.9959163892180345,0,0,0.10000000017364363,0.996324750296231,0.3333158392082003,0.33387128135170674,6.504733238984491,0.33385322809621315,0.33331784199832626,0.0005353860978868918,0.0016666666666666668,0.0005124473534680614,0.04476312398452085,-1.3909409412115036e-05,0.0007881465669662327,9.002957699404045e-05,4.749300976169724e-05,2112,0.0,0.00017497195231782814,0.0,0.0,0.00017497195231782814,0.00039267631991713684,0,0.004627219481802796,0.2967742817357041,0,0,0,0.0,0.0,0.0,0.0,496.108927755148,32224,1.1662195441397768e-17,0.08331338556961373,0.5,0.5,0
1200,1152.8613549780744,-7.480593922082335e-11,1.929665600636745e-10,0.9959163836739773,0,0,0.1000000001736699,0.9963247453065796,0.3333161629527883,0.33387214269275023,6.504733238984455,0.33385404278019537,0.3333177935487877,0.0005362492314076595,0.0016666666666666668,0.0005124473534680642,0.04644745997518073,-1.3913915040473103e-05,0.000788177440307132,9.180114983205706e-05,4.737714684025862e-05,2112,0.0,0.00017497726961411824,0.0,0.0,0.00017497726961411824,0.0003926877883874988,0,0.004627280987552703,0.29677528685346033,0,0,0,0.0,0.0,0.0,0.0,496.1091670638481,32224,1.2731871644163121e-17,0.08331342886727663,0.5,0.5,0
1500,1152.8613549780553,-9.390532795805484e-11,1.9296908425062492e-10,0.9959163831940434,0,0,0.10000000017367218,0.9963247448746391,0.3333158712154042,0.33387143077475656,6.504733238984419,0.3338533644720715,0.3333178350016013,0.0005355294704701974,0.0016666666666666668,0.0005124473534680671,0.04504290410696535,-1.3914304295346061e-05,0.0007881801080944076,9.141992900256133e-05,4.7414390761708544e-05,2112,0.0,0.00017497772906530313,0.0,0.0,0.00017497772906530313,0.00039268877937580346,0,0.0046272621721541625,0.29677459869513284,0,0,0,0.0,0.0,0.0,0.0,496.10918774968906,32224,1.251031871408675e-17,0.0833134326062261,0.5,0.5,0
1800,1152.8613549780366,-1.1254996934439987e-10,1.9296930235225787e-10,0.9959163831525695,0,0,0.10000000017367237,0.9963247448373126,0.3333159950075285,0.33387173051301244,6.504733238984384,0.3338536502151809,0.33331781748985495,0.0005358327253259243,0.0016666666666666668,0.0005124473534680699,0.04563468168893867,-1.3914337927095221e-05,0.0007881803385963765,9.146088080711878e-05,4.741134661826188e-05,2112,0.0,0.0001749777687626138,0.0,0.0,0.0001749777687626138,0.0003926888649990351,0,0.004627265742984769,0.296774870168041,0,0,0,0.0,0.0,0.0,0.0,496.10918953702776,32224,1.0469598287207666e-17,0.08331343292926023,0.5,0.5,0
2100,1152.8613549780182,-1.3096723705530167e-10,1.9296932119653092e-10,0.9959163831489861,0,0,0.1000000001736724,0.9963247448340875,0.3333159579755235,0.3338716409045258,6.5047332389843495,0.3338535647847585,0.3333178227262003,0.0005357420585582195,0.0016666666666666668,0.0005124473534680726,0.04545775274766503,-1.3914340832912164e-05,0.0007881803585120076,9.147815304664538e-05,4.740983685208371e-05,2112,0.0,0.0001749777721925049,0.0,0.0,0.0001749777721925049,0.0003926888723969814,0,0.00462726567562368,0.2967747932837851,0,0,0,0.0,0.0,0.0,0.0,496.1091896914838,32224,1.1400940538890981e-17,0.08331343295717057,0.5,0.5,0
2400,1152.8613549779993,-1.4983925211708993e-10,1.929693228246898e-10,0.9959163831486761,0,0,0.1000000001736724,0.9963247448338085,0.3333159654068273,0.33387165889373827,6.504733238984314,0.33385358193457676,0.3333178216751925,0.0005357602593842326,0.0016666666666666668,0.0005124473534680754,0.04549327020304241,-1.3914341083978559e-05,0.0007881803602327453,9.146514748029332e-05,4.741099853056938e-05,2112,0.0,0.00017497777248885328,0.0,0.0,0.00017497777248885328,0.0003926888730361773,0,0.004627265358638308,0.29677480731810274,0,0,0,0.0,0.0,0.0,0.0,496.1091897047967,32224,1.1291012162519467e-17,0.08331343295958202,0.5,0.5,0
2700,1152.8613549779807,-1.6848389350343496e-10,1.929693229653577e-10,0.9959163831486492,0,0,0.1000000001736724,0.9963247448337843,0.33331596511994815,0.33387165819838766,6.504733238984279,0.3338535812717306,0.33331782171575364,0.0005357595559769557,0.0016666666666666668,0.0005124473534680781,0.04549189756002856,-1.391434110567104e-05,0.0007881803603814124,9.147034648184844e-05,4.741053597544186e-05,2112,0.0,0.00017497777251446108,0.0,0.0,0.00017497777251446108,0.000392688873091404,0,0.004627265533122622,0.29677480746351653,0,0,0,0.0,0.0,0.0,0.0,496.10918970594156,32224,1.2657845198577874e-17,0.08331343295979032,0.5,0.5,0
3000,1152.8613549779614,-1.8781065591610968e-10,1.9296932297750478e-10,0.9959163831486468,0,0,0.1000000001736724,0.9963247448337822,0.33331596453868295,0.3338716567913412,6.504733238984243,0.33385357993033693,0.3333178217979577,0.000535758132379216,0.0016666666666666668,0.0005124473534680809,0.04548911952296191,-1.3914341107546114e-05,0.0007881803603942619,9.146887327233713e-05,4.7410666943491396e-05,2112,0.0,0.00017497777251667223,0.0,0.0,0.00017497777251667223,0.00039268887309618024,0,0.004627265471842746,0.2967748060008901,0,0,0,0.0,0.0,0.0,0.0,496.1091897060338,32224,1.1125288647833428e-17,0.08331343295980828,0.5,0.5,0
