step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,0.33333333333333326,0.33333333333333326,-2.155422422680661e-05,0.0008062190325630363,9.441549908702725e-05,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.0,492.4117934822945,13824,0.0,0.0,0.5,0.5,0
10,1151.633254061357,-6.821210263296962e-13,4.922876373694732e-07,0.9969655793815108,0,0,0.10000044305887364,0.9972690214433597,0.33323254477646286,0.3342638039697712,-2.117516006053377e-05,0.0008208692425232162,0.00022805657890928927,0.0,0.00017713891670566515,0.0,0.0,0.00017713891670566515,0.0004074996465183211,0,0.004622612244737188,0.2970667018045377,0,0,0,0.0,0.0,0.0,0.0,494.35769687903763,13824,1.3578907761627095e-17,0.08322801572954507,0.5,0.5,0
20,1151.6332540613566,-1.1368683772161603e-12,3.9911038748802286e-07,0.9957142386939594,0,0,0.10000035919934874,0.9961428148245635,0.33317959485257953,0.33392848649458357,-2.1822348553838558e-05,0.0008250805571731699,0.0001664256992798171,0.0,0.00017782550251947544,0.0,0.0,0.00017782550251947544,0.00040930111258538686,0,0.00462581646642769,0.29684286630060464,0,0,0,0.0,0.0,0.0,0.0,495.18793979269157,13824,9.344084154150494e-18,0.08322968072024314,0.5,0.5,0
30,1151.633254061356,-1.8189894035458565e-12,3.5186673174501533e-07,0.9957369390302441,0,0,0.10000031668005857,0.9961632451272197,0.3331110001059096,0.3337708977713618,-2.2104817236024842e-05,0.0008253504836989998,0.000142707797974507,0.0,0.00017783064777414568,0.0,0.0,0.00017783064777414568,0.0004096373339405529,0,0.004625686873256941,0.296696891644308,0,0,0,0.0,0.0,0.0,0.0,495.5435912951525,13824,1.1950453272012339e-17,0.08322818711362326,0.5,0.5,0
40,1151.6332540613553,-2.5011104298755527e-12,3.253182413793583e-07,0.9959911617046493,0,0,0.10000029278641724,0.9963920455341844,0.33318192549207537,0.33381594171911205,-2.2118240149704167e-05,0.0008221713382113997,0.00012777601193230773,0.0,0.00017715533231997882,0.0,0.0,0.00017715533231997882,0.00040884388407284487,0,0.004627445282433859,0.29671334934261606,0,0,0,0.0,0.0,0.0,0.0,495.35746837750594,13824,1.1165817879258116e-17,0.0832250453562746,0.5,0.5,0
50,1151.6332540613548,-2.9558577807620168e-12,3.0917747492336e-07,0.995877527684322,0,0,0.10000027825972743,0.9962897749158899,0.33327515223543847,0.3338296288243753,-2.2081189547324177e-05,0.0008194303977674304,0.00017500374866644694,0.0,0.00017656250794494932,0.0,0.0,0.00017656250794494932,0.0004080888467754385,0,0.0046257569130028365,0.2967427125422468,0,0,0,0.0,0.0,0.0,0.0,495.21133596525755,13824,1.1286257712772045e-17,0.0832290079843443,0.5,0.5,0
60,1151.6332540613541,-3.637978807091713e-12,2.9985676445943597e-07,0.9959960032599159,0,0,0.10000026987108802,0.9963964029339243,0.3330705309065587,0.33387982779206193,-2.201058684487895e-05,0.0008162722695600706,8.113436739653047e-05,0.0,0.00017583615792891535,0.0,0.0,0.00017583615792891535,0.0004071041624991606,0,0.004625743372888263,0.2967721376445977,0,0,0,0.0,0.0,0.0,0.0,495.07892985937553,13824,1.3237828566775045e-17,0.08323832455087517,0.5,0.5,0
70,1151.6332540613532,-4.547473508864641e-12,2.963527078669408e-07,0.9959297053428214,0,0,0.10000026671743709,0.9963367348085393,0.3332467350517139,0.33393340585384435,-2.1940504248611453e-05,0.0008132614287917224,0.00012558371237054558,0.0,0.00017512747538565222,0.0,0.0,0.00017512747538565222,0.0004061210140307197,0,0.004625786416305619,0.29683392607449083,0,0,0,0.0,0.0,0.0,0.0,495.032184924033,13824,1.0789700517836106e-17,0.08324639051947,0.5,0.5,0
80,1151.6332540613525,-5.229594535194337e-12,2.9509003789923443e-07,0.9957503562424027,0,0,0.10000026558103411,0.9961753206181625,0.33325171494224803,0.33378800950243537,-2.188909839928244e-05,0.0008106641257671301,8.044472548532743e-05,0.0,0.00017489522083396976,0.0,0.0,0.00017489522083396976,0.0004051609611100534,0,0.004627105018606097,0.29671286824283244,0,0,0,0.0,0.0,0.0,0.0,495.20840135284766,13824,8.769878544041629e-18,0.08325366731102321,0.5,0.5,0
90,1151.633254061352,-5.6843418860808015e-12,2.950215080712115e-07,0.9959099524053482,0,0,0.10000026551935727,0.9963189571648134,0.3332836900094064,0.3337491237089327,-2.18268457545217e-05,0.0008079336220646524,0.0001038399748944511,0.0,0.00017467074320790912,0.0,0.0,0.00017467074320790912,0.0004041948025552741,0,0.004626075728997147,0.29665705265973646,0,0,0,0.0,0.0,0.0,0.0,495.15200981629977,13824,1.2111819259002068e-17,0.08325921801007555,0.5,0.5,0
