step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,0.033333603951228113,0.33157576349087386,-2.155422422680661e-05,0.0008062190325630363,0.00019714852179500894,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.0004629667215448349,0.2947340119918878,0,0,0.5,0.5,0
1,1151.6332540613578,0.0,7.965761517305375e-07,0.9945185082793929,0,0,0.10000071691853657,0.9950666574514536,0.03333357230617885,0.33168888581715117,-2.134595011212296e-05,0.0007943390640473453,0.1652569773719178,0.0,0.000185267333724633,0.0,0.0,0.000185267333724633,0.00039964026201680895,0,0.00046296672154467545,0.2947340119916276,0,0,0.5,0.5,0
2,1151.6332540613575,-2.2737367544323206e-13,7.237124846186857e-07,0.9860434418520536,0,0,0.10000065134123616,0.9874390976668482,0.03333355044707872,0.3291463658889494,-2.600595099544852e-05,0.0008575655803001816,0.3120545894767575,0.0,0.0001693671090000342,0.0,0.0,0.0001693671090000342,0.0004027821440456641,0,0.00036709517609012627,0.29485756668684154,0,0,0.5,0.5,0
3,1151.6332540613575,-2.2737367544323206e-13,6.700757265793304e-07,0.9669826060089588,0,0,0.10000060306815392,0.970284345408063,0.033333534356051304,0.323428115136021,-3.898256742418442e-05,0.0009432569572132511,0.43301064534424427,0.0,0.00015020153091750766,0.0,0.0,0.00015020153091750766,0.0004032664532027476,0,0.00023870808987798607,0.2919908970300795,0,0,0.5,0.5,0
4,1151.6332540613575,-2.2737367544323206e-13,6.28658352082345e-07,0.9328230373502241,0,0,0.10000056579251689,0.9395407336152017,0.03333352193083896,0.31318024453840054,-6.919230285682307e-05,0.0010324804531434302,0.5401826548130737,0.0,0.00012405206660247997,0.0,0.0,0.00012405206660247997,0.0003755104176647622,0,0.00018346429987858091,0.2863133014782918,0,0,0.5,0.5,0
5,1151.6332540613573,-4.547473508864641e-13,5.955119597616037e-07,0.8810696114460252,0,0,0.10000053596076379,0.8929626503014227,0.03333351198692126,0.2976542167671409,-0.00012616660512684226,0.0010495649568175534,0.6240693223822306,0.0,9.654359418512325e-05,0.0,0.0,9.654359418512325e-05,0.0003199867240958111,0,2.850493266434673e-05,0.2762261696427671,0,0,0.5,0.5,0
6,1151.6332540613575,-2.2737367544323206e-13,5.682641178258474e-07,0.8159275009277861,0,0,0.10000051143770605,0.8343347508350075,0.03333350381256868,0.27811158361166916,-0.0001748618619196339,0.000996719188185923,0.6944814041686411,0.0,8.910670301118542e-05,0.0,0.0,8.910670301118542e-05,0.0002584312478476817,0,-0.00144510788196903,0.26126730982002183,0,0,0.5,0.5,0
7,1151.6332540613573,-4.547473508864641e-13,5.454143917070017e-07,0.745508489574349,0,0,0.10000049087295254,0.7709576406169141,0.033333496957650845,0.256985880205638,-0.00017617522460152546,0.0010563879314296363,0.7696303892201833,0.0,8.205394963677581e-05,0.0,0.0,8.205394963677581e-05,0.00023589643002307103,0,-0.0031602992355204834,0.2430089135122023,0,0,0.5,0.5,0
8,1151.633254061357,-6.821210263296962e-13,5.259766321825941e-07,0.676791148964932,0,0,0.10000047337896897,0.7091120340684388,0.03333349112632299,0.23637067802281292,-0.00017434724132163747,0.0011245057425767336,0.792346959036632,0.0,6.825717807221541e-05,0.0,0.0,6.825717807221541e-05,0.00023195647697941746,0,-0.004608493128928733,0.22384260550229104,0,0,0.5,0.5,0
9,1151.633254061357,-6.821210263296962e-13,5.09294129928984e-07,0.6136363037938872,0,0,0.10000045836471694,0.6522726734144986,0.03333348612157231,0.2174242244714995,-0.00016952775050594409,0.0012584914210502602,0.807142601800209,0.0,6.52959419930836e-05,0.0,0.0,6.52959419930836e-05,0.00022559419971014368,0,-0.005775036739980185,0.2055433261903423,0,0,0.5,0.5,0
10,1151.633254061357,-6.821210263296962e-13,4.949368768521974e-07,0.5573984992292246,0,0,0.10000044544318917,0.6016586493063021,0.03333348181439639,0.20055288310210068,-0.00016334346699169863,0.0015821732965819782,0.8121447774806742,0.0,8.519843277426401e-05,0.0,0.0,8.519843277426401e-05,0.00019644884529353517,0,-0.006039984502243566,0.1889555707913666,0,0,0.5,0.5,0
11,1151.633254061357,-6.821210263296962e-13,4.826609700501923e-07,0.5080924695828175,0,0,0.10000043439487305,0.5572832226245358,0.03333347813162435,0.18576107420817858,-0.00015045573783939762,0.0018616486550384307,0.946727737952543,0.0,0.00010222109660160628,0.0,0.0,0.00010222109660160628,0.0002151226538846383,0,-0.009072308254198825,0.17430619550068557,0,0,0.5,0.5,0
