step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,mu_min,mu_max,u_max,force_over_rho_max,wall_cells,write_allowed_cells,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.3142624653556,0.0,0.0,0.9941414338584684,0,0,0.1,0.9947272904726217,-0.00014714539658055635,0.0008062190325630363,0.0,0.0,576,576,1.5794051612825086e-06,0.5,0
1,1151.2163699012476,-0.09789256410795133,0.0,0.9945160181843508,0,0,0.1,0.9950644163659157,-0.00013144639521838025,0.0007945018072154198,0.0,0.0,576,576,1.5794051612825086e-06,0.5,0
2,1151.1299028395629,-0.18435962579269471,0.0,0.9948116422325328,0,0,0.1,0.9953304780092795,-0.00012050431600141711,0.0008035313183784809,0.0,0.0,576,576,1.3411328125032597e-06,0.5,0
3,1151.051135831652,-0.2631266337036777,0.0,0.9950486928449573,0,0,0.1,0.9955438235604617,-0.00011251585459935938,0.0008092944240263475,0.0,0.0,576,576,1.1865729596851794e-06,0.5,0
4,1150.9778947675231,-0.33636769783242926,0.0,0.9952398797909361,0,0,0.1,0.9957158918118425,-0.00010645265754417964,0.0008133802982080325,0.0,0.0,576,576,1.0774852902671244e-06,0.5,0
5,1150.9088160784481,-0.4054463869074425,0.0,0.99539388227012,0,0,0.1,0.9958544940431081,-0.00010170451256912721,0.0008165480360982355,0.0,0.0,576,576,9.956965870844908e-07,0.5,0
6,1150.8429910574573,-0.47127140789825717,0.0,0.9955172575759134,0,0,0.1,0.995965531818322,-9.789295282896848e-05,0.0008191406322970451,0.0,0.0,576,576,9.316428949532985e-07,0.5,0
7,1150.7797824941176,-0.5344799712379427,0.0,0.995615337142103,0,0,0.1,0.9960538034278927,-9.477255164846106e-05,0.0008213084426847805,0.0,0.0,576,576,8.798293107076504e-07,0.5,0
8,1150.7187243385222,-0.5955381268333895,0.0,0.9956926158610745,0,0,0.1,0.9961233542749671,-9.217733860545574e-05,0.0008231199468464771,0.0,0.0,576,576,8.368638728269169e-07,0.5,0
9,1150.6594638104075,-0.6547986549480811,0.0,0.9957529196882747,0,0,0.1,0.9961776277194473,-8.999078401253396e-05,0.0008246126508449891,0.0,0.0,576,576,8.005292031625911e-07,0.5,0
10,1150.6017263464933,-0.7125361188623174,0.0,0.9957994907032989,0,0,0.1,0.996219541632969,-8.812838207810947e-05,0.0008258144528367544,0.0,0.0,576,576,7.693081069278144e-07,0.5,0
11,1150.5452934184168,-0.7689690469387642,0.0,0.9958350485719846,0,0,0.1,0.9962515437147862,-8.652716166670264e-05,0.0008267513879640952,0.0,0.0,576,576,7.421237455926604e-07,0.5,0
12,1150.4899879202394,-0.8242745451161682,0.0,0.9958618486519211,0,0,0.1,0.9962756637867289,-8.513912854439031e-05,0.000827449596648873,0.0,0.0,576,576,7.181886613600994e-07,0.5,0
13,1150.4356641878132,-0.8785982775423236,0.0,0.9958817407753001,0,0,0.1,0.9962935666977701,-8.39270149632468e-05,0.0008279351600644315,0.0,0.0,576,576,6.969125858005575e-07,0.5,0
14,1150.3822009586463,-0.9320615067092604,0.0,0.9958962272262938,0,0,0.1,0.9963066045036645,-8.286143068230303e-05,0.0008282333760048848,0.0,0.0,576,576,6.778437576096091e-07,0.5,0
15,1150.329496263088,-0.984766202267565,0.0,0.9959065174784641,0,0,0.1,0.9963158657306178,-8.191889455684522e-05,0.0008283680787166398,0.0,0.0,576,576,6.606302421336026e-07,0.5,0
16,1150.2774636242348,-1.036798841120799,0.0,0.9959135789116261,0,0,0.1,0.9963222210204635,-8.108043767832735e-05,0.0008283611797348463,0.0,0.0,576,576,6.449936657598737e-07,0.5,0
17,1150.2260291701991,-1.0882332951564422,0.0,0.995918179101434,0,0,0.1,0.9963263611912906,-8.033058887604988e-05,0.0008282324365487321,0.0,0.0,576,576,6.30710916540154e-07,0.5,0
18,1150.1751293989253,-1.139133066430304,0.0,0.9959209236515524,0,0,0.1,0.9963288312863972,-7.965662313803034e-05,0.0008279994003636415,0.0,0.0,576,576,6.176011044892188e-07,0.5,0
19,1150.1247094205178,-1.189553044837794,0.0,0.9959222878141081,0,0,0.1,0.9963300590326973,-7.904799529773619e-05,0.0008276774860406063,0.0,0.0,576,576,6.0551608170748e-07,0.5,0
20,1150.0747215561614,-1.2395409091941474,0.0,0.995922642348188,0,0,0.1,0.9963303781133692,-7.849590710158167e-05,0.0008272801159309548,0.0,0.0,576,576,5.943334249724206e-07,0.5,0
