step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,mu_min,mu_max,u_max,force_over_rho_max,wall_cells,write_allowed_cells,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,-2.155422422680661e-05,0.0008062190325630363,0.00019714852179500894,0.00039429704359000194,0,0,0.5,0.5,0
1,1151.6332540613578,0.0,7.965761517305375e-07,0.9945185082793929,0,0,0.10000071691853657,0.9950666574514536,-2.134595011212296e-05,0.0007943390640473453,0.1652569773719178,0.00039964026201680895,0,0,0.5,0.5,0
2,1151.6332540613575,-2.2737367544323206e-13,7.237124846186857e-07,0.9860434418520536,0,0,0.10000065134123616,0.9874390976668482,-2.600595099544852e-05,0.0008575655803001816,0.3120545894767575,0.0004027821440456641,0,0,0.5,0.5,0
3,1151.6332540613575,-2.2737367544323206e-13,6.700757265793304e-07,0.9669826060089588,0,0,0.10000060306815392,0.970284345408063,-3.898256742418442e-05,0.0009432569572132511,0.43301064534424427,0.0004032664532027476,0,0,0.5,0.5,0
4,1151.6332540613575,-2.2737367544323206e-13,6.28658352082345e-07,0.9328230373502241,0,0,0.10000056579251689,0.9395407336152017,-6.919230285682307e-05,0.0010324804531434302,0.5401826548130737,0.0003755104176647622,0,0,0.5,0.5,0
5,1151.6332540613573,-4.547473508864641e-13,5.955119597616037e-07,0.8810696114460252,0,0,0.10000053596076379,0.8929626503014227,-0.00012616660512684226,0.0010495649568175534,0.6240693223822306,0.0003199867240958111,0,0,0.5,0.5,0
6,1151.6332540613575,-2.2737367544323206e-13,5.682641178258474e-07,0.8159275009277861,0,0,0.10000051143770605,0.8343347508350075,-0.0001748618619196339,0.000996719188185923,0.6944814041686411,0.0002584312478476816,0,0,0.5,0.5,0
7,1151.6332540613573,-4.547473508864641e-13,5.454143917070017e-07,0.745508489574349,0,0,0.10000049087295254,0.7709576406169141,-0.00017617522460152546,0.0010563879314296363,0.7696303892201833,0.00023589643002307103,0,0,0.5,0.5,0
8,1151.633254061357,-6.821210263296962e-13,5.259766321825941e-07,0.676791148964932,0,0,0.10000047337896897,0.7091120340684388,-0.00017434724132163747,0.0011245057425767336,0.7923469590366319,0.0002319564769794174,0,0,0.5,0.5,0
9,1151.633254061357,-6.821210263296962e-13,5.09294129928984e-07,0.6136363037938872,0,0,0.10000045836471694,0.6522726734144986,-0.00016952775050594409,0.0012584914210502602,0.807142601800209,0.00022559419971014368,0,0,0.5,0.5,0
10,1151.633254061357,-6.821210263296962e-13,4.949368768521974e-07,0.5573984992292246,0,0,0.10000044544318917,0.6016586493063021,-0.00016334346699169863,0.0015821732965819782,0.8121447774806742,0.00019644884529353517,0,0,0.5,0.5,0
11,1151.633254061357,-6.821210263296962e-13,4.826609700501923e-07,0.5080924695828175,0,0,0.10000043439487305,0.5572832226245358,-0.00015045573783939762,0.0018616486550384307,0.946727737952543,0.0002151226538846383,0,0,0.5,0.5,0
12,1151.633254061357,-6.821210263296962e-13,4.7248632852927006e-07,0.4651171475821663,0,0,0.10000042523769569,0.5186054328239497,-0.00027220706623355136,0.0023473541741953607,1.1520929666379607,0.00039395812591062624,0,0,0.5,0.5,0
13,1151.6332540613569,-9.094947017729282e-13,4.654224994280196e-07,0.4276558691794649,0,0,0.10000041888024949,0.4848902822615184,-0.0003272969191115616,0.002804553049796707,1.4334503197280757,0.0006132239044442254,0,0,0.5,0.5,0
14,1151.6332540613566,-1.1368683772161603e-12,4.714313456016032e-07,0.39492126424587126,0,0,0.10000042428821104,0.45542913782128414,-0.0005348802882264558,0.002885919918853681,1.778585060725704,0.0007000640394416996,0,0,0.5,0.5,0
15,1151.6332540613569,-9.094947017729282e-13,6.326661400172537e-07,0.36623453549473944,0,0,0.10000056939952602,0.42961108194526554,-0.0006340223868379309,0.00269055130208287,2.0861885533290185,0.000642302227788812,0,0,0.5,0.5,0
16,1154.040218378445,2.4069643170871586,0.0,0.34095682684747375,0,0,0.1,0.4068611441627264,-0.0015638829538552835,0.005074801366047931,3.7339658951903045,0.002155905289010766,0,0,0.5,0.5,0
17,1158.3155488939456,6.682294832587786,0.0,0.31839874048478034,0,0,0.1,0.38655886643630233,-0.0019125583036737088,0.006097620582974896,6.890254605410737,0.0025542910698782375,0,0,0.5,0.5,0
18,1171.2398074969842,19.606553435626438,0.0,0.5377213621034901,0,0,0.1,0.5839492258931411,-0.0033227379768278153,0.010894840774127926,15.028323508655564,0.005518226537858312,0,0,0.5,0.5,0
19,1269.0739770766877,117.44072301532992,0.0,1.0,0,0,0.1,1.0,-0.010050742588200823,0.021549772585748847,138.0495256239879,0.029941597872925288,0,0,0.5,0.5,0
20,1461.8541215154464,310.22086745408865,0.0,1.0,0,0,0.1,1.0,-0.010028440926349802,0.03797817615923094,9830.675121004895,0.05,0,0,0.5,0.5,0
