step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,mu_min,mu_max,u_max,force_over_rho_max,wall_cells,write_allowed_cells,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,-2.155422422680661e-05,0.0008062190325630363,0.0,0.0,0,0,0.5,0.5,0
1,1151.6332540613578,0.0,7.965761517303102e-07,0.9945160181843508,0,0,0.10000071691853657,0.9950644163659157,-2.1346553076874177e-05,0.0007945018072154198,0.0,0.0,0,0,0.5,0.5,0
2,1151.6332540613575,-2.2737367544323206e-13,7.236956218712945e-07,0.9948116422325328,0,0,0.10000065132605969,0.9953304780092795,-2.1186233009283323e-05,0.0008035312517274408,0.0,0.0,0,0,0.5,0.5,0
3,1151.6332540613578,0.0,6.700181078897242e-07,0.9950486928449573,0,0,0.10000060301629711,0.9955438235604617,-2.1075300103474112e-05,0.0008092833062264674,0.0,0.0,0,0,0.5,0.5,0
4,1151.6332540613575,-2.2737367544323206e-13,6.285266852717463e-07,0.9952398797909361,0,0,0.10000056567401674,0.9957158918118425,-2.10116265546911e-05,0.0008131960053265209,0.0,0.0,0,0,0.5,0.5,0
5,1151.6332540613575,-2.2737367544323206e-13,5.952588606306863e-07,0.99539388227012,0,0,0.10000053573297457,0.9958544940431081,-2.0989485915491494e-05,0.000815994190391491,0.0,0.0,0,0,0.5,0.5,0
6,1151.6332540613573,-4.547473508864641e-13,5.678221022732316e-07,0.9955172575759134,0,0,0.10000051103989205,0.995965531818322,-2.1001241919785217e-05,0.0008180723911719737,0.0,0.0,0,0,0.5,0.5,0
7,1151.6332540613573,-4.547473508864641e-13,5.446872678206132e-07,0.9956153371421028,0,0,0.10000049021854104,0.9960538034278925,-2.103885285715443e-05,0.0008196610084914098,0.0,0.0,0,0,0.5,0.5,0
8,1151.6332540613575,-2.2737367544323206e-13,5.248295544635839e-07,0.9956926158610715,0,0,0.10000047234659902,0.9961233542749643,-2.109485061824084e-05,0.0008209028392118611,0.0,0.0,0,0,0.5,0.5,0
9,1151.633254061357,-6.821210263296962e-13,5.075345616352165e-07,0.9957529196880744,0,0,0.10000045678110547,0.996177627719267,-2.1162836607516897e-05,0.0008218906842181097,0.0,0.0,0,0,0.5,0.5,0
10,1151.633254061357,-6.821210263296962e-13,4.922876573584795e-07,0.9957994906962438,0,0,0.10000044305889162,0.9962195416266195,-2.1237639186922118e-05,0.0008226871136107083,0.0,0.0,0,0,0.5,0.5,0
11,1151.633254061357,-6.821210263296962e-13,4.787077738604021e-07,0.995835048527066,0,0,0.10000043083699647,0.9962515436743594,-2.1315270626852967e-05,0.0008233355406860288,0.0,0.0,0,0,0.5,0.5,0
12,1151.633254061357,-6.821210263296962e-13,4.665061093195417e-07,0.9958618485082211,0,0,0.10000041985549839,0.9962756636573991,-2.1392784482211858e-05,0.0008238667886578145,0.0,0.0,0,0,0.5,0.5,0
13,1151.633254061357,-6.821210263296962e-13,4.5545941968505265e-07,0.995881740466061,0,0,0.10000040991347772,0.996293566419455,-2.1468097434814095e-05,0.0008243031738823788,0.0,0.0,0,0,0.5,0.5,0
14,1151.633254061357,-6.821210263296962e-13,4.4539219428302723e-07,0.9958962267568069,0,0,0.10000040085297486,0.9963066040811263,-2.1539811798367296e-05,0.0008246611430832003,0.0,0.0,0,0,0.5,0.5,0
15,1151.6332540613569,-9.094947017729282e-13,4.361644276129611e-07,0.9959065170669926,0,0,0.10000039254798486,0.9963158653602934,-2.1607056484517277e-05,0.0008249530275218466,0.0,0.0,0,0,0.5,0.5,0
16,1151.6332540613569,-9.094947017729282e-13,4.2766302325993087e-07,0.9959135781251871,0,0,0.10000038489672095,0.9963222203126684,-2.1669353161005325e-05,0.0008251882361344857,0.0,0.0,0,0,0.5,0.5,0
17,1151.633254061357,-6.821210263296962e-13,4.197956183739268e-07,0.995918177362219,0,0,0.10000037781605654,0.9963263596259971,-2.1726508245201108e-05,0.0008253740807202381,0.0,0.0,0,0,0.5,0.5,0
18,1151.6332540613566,-1.1368683772161603e-12,4.1248605963577367e-07,0.9959209203058145,0,0,0.10000037123745367,0.9963288282752331,-2.1778528397258444e-05,0.0008255163537436325,0.0,0.0,0,0,0.5,0.5,0
19,1151.6332540613569,-9.094947017729282e-13,4.056710297541375e-07,0.9959222819962468,0,0,0.10000036510392678,0.9963300537966221,-2.1825556008499067e-05,0.0008256197366143623,0.0,0.0,0,0,0.5,0.5,0
20,1151.6332540613566,-1.1368683772161603e-12,3.9929749086410694e-07,0.9959226329896159,0,0,0.10000035936774178,0.9963303696906544,-2.1867820991298158e-05,0.0008256880901281896,0.0,0.0,0,0,0.5,0.5,0
