step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,h_min,h_max,fphi_sum_max_abs,grad_max,normal_ambiguous_count,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,4.176202079883459e-09,0.29456042484695355,0.0,0.2404339017767018,0,0
1,1151.6332540613578,0.0,7.965761517303102e-07,0.9945160181843506,0,0,5.595082498434838e-10,0.2945604248469536,0.0,0.23799243841056023,0,0
2,1151.6332540613575,-2.2737367544323206e-13,7.236956218712945e-07,0.9948116422325329,0,0,4.94081101043348e-10,0.29467141279536313,0.0,0.23626329719117023,0,0
3,1151.6332540613578,0.0,6.700181078897242e-07,0.9950486928449573,0,0,4.4887630689455564e-10,0.29475900510593567,0.0,0.23496908868204014,0,0
4,1151.6332540613575,-2.2737367544323206e-13,6.285266852717462e-07,0.9952398797909362,0,0,4.1558238076854196e-10,0.2948292423244318,0.0,0.2339645229038772,0,0
5,1151.6332540613575,-2.2737367544323206e-13,5.952588606306862e-07,0.99539388227012,0,0,3.898469953958192e-10,0.29488589030842555,0.0,0.23316423348037224,0,0
6,1151.6332540613573,-4.547473508864641e-13,5.678221022732313e-07,0.9955172575759134,0,0,3.6921237196227313e-10,0.2949315206726281,0.0,0.23251398262561518,0,0
7,1151.6332540613575,-2.2737367544323206e-13,5.44687267820613e-07,0.9956153371421028,0,0,3.521945189458974e-10,0.29496807631878913,0.0,0.23203629778203227,0,0
8,1151.6332540613575,-2.2737367544323206e-13,5.248295544635836e-07,0.9956926158610713,0,0,3.3784497076394835e-10,0.2949971369309934,0.0,0.23168503254565906,0,0
9,1151.6332540613573,-4.547473508864641e-13,5.075345616352162e-07,0.9957529196880744,0,0,3.255280841121979e-10,0.29502003432920626,0.0,0.23139037656936376,0,0
10,1151.633254061357,-6.821210263296962e-13,4.922876573584793e-07,0.995799490696244,0,0,3.148007454790134e-10,0.2950379021297998,0.0,0.2311409353717309,0,0
11,1151.633254061357,-6.821210263296962e-13,4.787077738604019e-07,0.9958350485270661,0,0,3.053437499681464e-10,0.29505170094703526,0.0,0.2309280861325755,0,0
12,1151.633254061357,-6.821210263296962e-13,4.6650610931954157e-07,0.9958618485082212,0,0,2.969207368664344e-10,0.29506223660061215,0.0,0.2307451934301286,0,0
13,1151.633254061357,-6.821210263296962e-13,4.55459419685052e-07,0.995881740466061,0,0,2.8935257462161665e-10,0.29507017733576923,0.0,0.2305870767017138,0,0
14,1151.633254061357,-6.821210263296962e-13,4.453921942830272e-07,0.9958962267568069,0,0,2.825007939862408e-10,0.29507607124920326,0.0,0.23044963924338194,0,0
15,1151.633254061357,-6.821210263296962e-13,4.361644276129618e-07,0.9959065170669928,0,0,2.7625653321953996e-10,0.2950803634834983,0.0,0.23032960411607595,0,0
16,1151.6332540613569,-9.094947017729282e-13,4.276630232599326e-07,0.9959135781251871,0,0,2.7053295282321505e-10,0.29508341246429415,0.0,0.23022432267269374,0,0
17,1151.6332540613569,-9.094947017729282e-13,4.197956183739295e-07,0.995918177362219,0,0,2.6525990388432367e-10,0.295085504629685,0.0,0.23013163352746274,0,0
18,1151.6332540613566,-1.1368683772161603e-12,4.12486059635777e-07,0.9959209203058146,0,0,2.603800975889605e-10,0.2950868673665834,0.0,0.23004975724081356,0,0
19,1151.6332540613569,-9.094947017729282e-13,4.0567102975414205e-07,0.9959222819962468,0,0,2.5584629920551004e-10,0.2950876800906117,0.0,0.22997721671649035,0,0
20,1151.6332540613566,-1.1368683772161603e-12,3.992974908641072e-07,0.9959226329896159,0,0,2.5161923572328813e-10,0.2950880835544435,0.0,0.22991277637997068,0,0
