step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,h_min,h_max,fphi_sum_max_abs,grad_max,normal_ambiguous_count,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,4.176202079883459e-09,0.29456042484695355,0.0,0.2404339017767018,0,0
1,1151.6332540613578,0.0,7.965761517320068e-07,0.9945160181843508,0,0,5.595082498378694e-10,0.2945604248469536,1.1492543028346347e-17,0.23799243841056023,0,0
2,1151.6332540613575,-2.2737367544323206e-13,7.236956218714119e-07,0.9948116422325328,0,0,4.940811009976737e-10,0.2946714127953632,1.474514954580286e-17,0.2362632971911702,0,0
3,1151.6332540613575,-2.2737367544323206e-13,6.700181078891611e-07,0.9950486928449573,0,0,4.488763069446501e-10,0.2947590051059356,1.3118846287074604e-17,0.23496908868204014,0,0
4,1151.6332540613575,-2.2737367544323206e-13,6.285266852715181e-07,0.9952398797909361,0,0,4.1558238074354333e-10,0.2948292423244318,1.2576745200831851e-17,0.23396452290387718,0,0
5,1151.6332540613575,-2.2737367544323206e-13,5.952588606290363e-07,0.99539388227012,0,0,3.8984699539201145e-10,0.2948858903084255,1.2088854223213374e-17,0.23316423348037227,0,0
6,1151.6332540613575,-2.2737367544323206e-13,5.678221022724072e-07,0.9955172575759134,0,0,3.6921237193285166e-10,0.2949315206726281,1.431146867680866e-17,0.23251398262561518,0,0
7,1151.6332540613575,-2.2737367544323206e-13,5.446872678191207e-07,0.9956153371421029,0,0,3.5219451888926443e-10,0.29496807631878913,1.6588293239028218e-17,0.23203629778203227,0,0
8,1151.6332540613573,-4.547473508864641e-13,5.248295544621908e-07,0.9956926158610715,0,0,3.378449707375061e-10,0.29499713693099344,1.5178830414797062e-17,0.23168503254565906,0,0
9,1151.6332540613573,-4.547473508864641e-13,5.075345616318192e-07,0.9957529196880744,0,0,3.2552808410683794e-10,0.29502003432920637,1.6046192152785466e-17,0.23139037656936373,0,0
10,1151.633254061357,-6.821210263296962e-13,4.922876573577087e-07,0.9957994906962438,0,0,3.1480074549602723e-10,0.2950379021297998,1.3877787807814457e-17,0.23114093537173086,0,0
11,1151.633254061357,-6.821210263296962e-13,4.787077738585773e-07,0.995835048527066,0,0,3.053437499116278e-10,0.2950517009470352,1.1709383462843448e-17,0.23092808613257548,0,0
12,1151.633254061357,-6.821210263296962e-13,4.6650610931867866e-07,0.9958618485082211,0,0,2.9692073681348173e-10,0.2950622366006121,1.5395670849294163e-17,0.23074519343012856,0,0
13,1151.6332540613569,-9.094947017729282e-13,4.5545941968352344e-07,0.995881740466061,0,0,2.893525746317289e-10,0.2950701773357692,1.3227266504323154e-17,0.23058707670171374,0,0
14,1151.6332540613569,-9.094947017729282e-13,4.4539219428088164e-07,0.9958962267568069,0,0,2.825007939867382e-10,0.29507607124920326,1.3444106938820255e-17,0.23044963924338194,0,0
15,1151.633254061357,-6.821210263296962e-13,4.361644276106359e-07,0.9959065170669927,0,0,2.7625653318912794e-10,0.2950803634834983,1.431146867680866e-17,0.23032960411607592,0,0
16,1151.6332540613569,-9.094947017729282e-13,4.2766302326011277e-07,0.9959135781251872,0,0,2.705329528016508e-10,0.29508341246429415,1.3660947373317356e-17,0.23022432267269374,0,0
17,1151.6332540613569,-9.094947017729282e-13,4.1979561837348597e-07,0.9959181773622188,0,0,2.6525990393961263e-10,0.2950855046296851,1.5178830414797062e-17,0.23013163352746274,0,0
18,1151.6332540613566,-1.1368683772161603e-12,4.124860596338479e-07,0.9959209203058145,0,0,2.603800975539834e-10,0.29508686736658335,1.496198998029996e-17,0.2300497572408135,0,0
19,1151.6332540613569,-9.094947017729282e-13,4.0567102975052565e-07,0.9959222819962467,0,0,2.558462991842669e-10,0.2950876800906117,1.8539857149502126e-17,0.22997721671649035,0,0
20,1151.6332540613566,-1.1368683772161603e-12,3.992974908593408e-07,0.995922632989616,0,0,2.516192356817809e-10,0.29508808355444344,1.3227266504323154e-17,0.22991277637997062,0,0
