step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.3142624653556,0.0,0.0,0.9941414338584684,0,0,0.1,0.9947272904726217,0.03333333333333333,0.33157576349087386,-0.00014714539658055635,0.0008062190325630363,9.441549908702725e-05,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,1.5794051612825086e-06,0.5,0
10,1151.3142624653551,-4.547473508864641e-13,0.0,0.9968547469268179,0,0,0.1,0.9971692722341361,0.03333333333333333,0.33238975741137866,-0.00013167541381263887,0.000817826242896112,0.0010199586448645629,0.0,0.00017691989178136297,0.0,0.0,0.00017691989178136297,0.0004066554381634582,0,0.004605550578185353,0.2962962962962963,576,576,10368,1151.3142624653551,0.0925468112920962,0.0,9.509261492166456e-07,0.5,0
20,1151.3142624653542,-1.3642420526593924e-12,0.0,0.998821664825924,0,0,0.1,0.9989394983433316,0.03333333333333333,0.33297983278111054,-0.00012455536453104827,0.0008151291508301278,0.0015208152159589942,0.0,0.00017638556351608182,0.0,0.0,0.00017638556351608182,0.00040702749114043086,0,0.004594006461498004,0.2962962962962963,576,576,10368,1151.3142624653542,0.08584743313975872,0.0,7.668589752714081e-07,0.5,0
30,1151.3133071755467,-0.0009552898088713846,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00012059141493454945,0.0008097945284908188,0.001832761038334198,0.0,0.00017584913650761064,0.0,0.0,0.00017584913650761064,0.00040652844135519037,0,0.004586489773313362,0.2962962962962963,576,576,10368,1151.3141915826518,0.0823843213414985,0.0,6.76275228291048e-07,0.5,0
40,1151.2860952288283,-0.028167236527224304,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011795463932747821,0.0008044697915669613,0.002036887731931061,0.0,0.00017553219599733482,0.0,0.0,0.00017553219599733482,0.00040567931955374267,0,0.004581338831790054,0.2962962962962963,576,576,10368,1151.2900718135247,0.08028486712704387,0.0,6.238454663168668e-07,0.5,0
50,1151.2346941175103,-0.07956834784522471,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.0001160443454837864,0.000799782152427797,0.0021746663426338367,0.0,0.00017552715228170404,0.0,0.0,0.00017552715228170404,0.0004047381321965342,0,0.004577647172914774,0.2962962962962963,576,576,10368,1151.2406728266371,0.07885204250499475,0.0,5.931094575967449e-07,0.5,0
60,1151.166842732931,-0.14741973242462336,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011460747793197412,0.00079576680007538,0.002269863707115262,0.0,0.00017548579679639798,0.0,0.0,0.00017548579679639798,0.0004037997906983254,0,0.00457492309098049,0.2962962962962963,576,576,10368,1151.1742152955478,0.07781094876853138,0.0,5.753270432205145e-07,0.5,0
70,1151.08737606483,-0.2268864005254727,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011350603456137151,0.000792349694683564,0.002336963891889048,0.0,0.00017541127498838327,0.0,0.0,0.00017541127498838327,0.0004029097742733603,0,0.004572869640569874,0.2962962962962963,576,576,10368,1151.095743764397,0.07703301710884083,0.0,5.649977310025392e-07,0.5,0
80,1150.999536456798,-0.3147260085574999,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011265178567888312,0.0007894587850128174,0.0023852317341918473,0.0,0.0001753160539606754,0.0,0.0,0.0001753160539606754,0.0004020937199524917,0,0.004571295669350211,0.2962962962962963,576,576,10368,1151.0086272711965,0.07644494776594342,0.0,5.588193568254788e-07,0.5,0
90,1150.9055667484547,-0.4086957169008656,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011198425969655542,0.0007870262450692501,0.002420571494292032,0.0,0.00017521075434886085,0.0,0.0,0.00017521075434886085,0.00040136213491916714,0,0.004570072432513394,0.2962962962962963,576,576,10368,1150.915190353831,0.07599853013393149,0.0,5.549508344351828e-07,0.5,0
100,1150.8070523998065,-0.5072100655490885,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011146057518558812,0.000784989779858531,0.002455247630908207,0.0,0.00017510279491340458,0.0,0.0,0.00017510279491340458,0.0004007161319753796,0,0.004569110352365996,0.2962962962962963,576,576,10368,1150.817073078063,0.07565958512251016,0.0,5.524146070103304e-07,0.5,0
