step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.3142624653556,0.0,0.0,0.9941414338584684,0,0,0.1,0.9947272904726217,0.03333333333333333,0.33157576349087386,-0.00014714539658055635,0.0008062190325630363,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,1.5794051612825086e-06,0.5,0
1,1151.2097625210383,-0.10449994431724008,0.0,0.9945160181843508,0,0,0.1,0.9950644163659157,0.03333333333333333,0.33168813878863856,-0.0001326046557255813,0.0007945018072154198,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,1.5794051612825086e-06,0.5,0
2,1151.1190388909288,-0.19522357442679095,0.0,0.9948116422325328,0,0,0.1,0.9953304780092795,0.03333333333333333,0.33177682600309316,-0.00012212806858067924,0.0008035312517274376,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,1.2330637664083404e-06,0.5,0
3,1151.0372207187693,-0.277041746586292,0.0,0.9950486928449573,0,0,0.1,0.9955438235604617,0.03333333333333333,0.33184794118682054,-0.0001143046543265917,0.0008092844694667998,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,1.035058216048093e-06,0.5,0
4,1150.9616242797256,-0.35263818562998495,0.0,0.9952398797909361,0,0,0.1,0.9957158918118425,0.03333333333333333,0.33190529727061413,-0.00010827281222195974,0.0008133480639110085,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,9.10965627667241e-07,0.5,0
5,1150.890626299659,-0.4236361656965073,0.0,0.99539388227012,0,0,0.1,0.9958544940431081,0.03333333333333333,0.33195149801436935,-0.00010349695238680637,0.0008164879593083423,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,8.265925712377262e-07,0.5,0
6,1150.8231722160217,-0.49109024933386536,0.0,0.9955172575759134,0,0,0.1,0.995965531818322,0.03333333333333333,0.33198851060610735,-0.00010150096323411698,0.0008190559551728364,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,7.652958493135717e-07,0.5,0
7,1150.7585368762907,-0.5557255890648776,0.0,0.995615337142103,0,0,0.1,0.9960538034278927,0.03333333333333333,0.3320179344759642,-0.00010243972743319643,0.0008212087063328552,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,7.18393239393675e-07,0.5,0
8,1150.696198240751,-0.6180642246044954,0.0,0.995692615861076,0,0,0.1,0.9961233542749685,0.03333333333333333,0.33204111809165615,-0.00010298115977330667,0.000823017653487823,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,6.810363837665819e-07,0.5,0
9,1150.635766288125,-0.6784961772304996,0.0,0.9957529196882733,0,0,0.1,0.996177627719446,0.03333333333333333,0.3320592092398153,-0.00010326027803329461,0.0008245206228512721,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,6.503443206253802e-07,0.5,0
10,1150.5769407664584,-0.7373216988971762,0.0,0.9957994907050381,0,0,0.1,0.9962195416345344,0.03333333333333333,0.3320731805448448,-0.00010336353413119208,0.0008257442100944954,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,6.245086070803678e-07,0.5,0
11,1150.5194848709243,-0.7947775944312525,0.0,0.995835048575213,0,0,0.1,0.9962515437176918,0.03333333333333333,0.33208384790589723,-0.00010334774658318657,0.0008267123768910448,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,6.023386388479734e-07,0.5,0
12,1150.463208142507,-0.8510543228485403,0.0,0.9958618486544344,0,0,0.1,0.996275663788991,0.03333333333333333,0.33209188792966365,-0.00010325109901482401,0.00082744899231984,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,5.83017749005489e-07,0.5,0
13,1150.4079549346234,-0.9063075307321924,0.0,0.9958817407699462,0,0,0.1,0.9962935666929515,0.03333333333333333,0.33209785556431715,-0.00010309972450495029,0.0008279779980673059,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,5.659657366337882e-07,0.5,0
