step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,0.033333603951228113,0.33157576349087386,-2.155422422680661e-05,0.0008062190325630363,9.441549908702725e-05,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
1,1151.6332540613578,0.0,7.965761517303329e-07,0.9945184733505505,0,0,0.10000071691853657,0.9950666260154956,0.03333357230617885,0.3316888753384985,-2.134647671759191e-05,0.0007943065101016377,0.00021963876256064465,0.0,0.00018520954532689294,0.0,0.0,0.00018520954532689294,0.00039958843224304386,0,0.004625187071489378,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
2,1151.6332540613575,-2.2737367544323206e-13,7.236956218716136e-07,0.9948305887286352,0,0,0.10000065132605969,0.9953475298557717,0.033333550442019896,0.3317825099519239,-2.118548453012197e-05,0.0008030360492616606,0.0003440429191216052,0.0,0.00018294917996508985,0.0,0.0,0.00018294917996508985,0.000402354675805709,0,0.0046219374725798195,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
3,1151.6332540613575,-2.2737367544323206e-13,6.700181078902458e-07,0.9951076562424543,0,0,0.10000060301629711,0.9955968906182089,0.0333335343387657,0.33186563020606963,-2.1072292759561305e-05,0.0008083417670447936,0.00045028117693371954,0.0,0.00018134727730608057,0.0,0.0,0.00018134727730608057,0.0004038998277776957,0,0.004619069974521562,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
4,1151.6332540613575,-2.2737367544323206e-13,6.285266852709903e-07,0.995369560605001,0,0,0.10000056567401674,0.995832604544501,0.03333352189133891,0.3319442015148336,-2.100435679272098e-05,0.0008117631101211748,0.0005509066947987259,0.0,0.00018015894199436804,0.0,0.0,0.00018015894199436804,0.00040483888031015786,0,0.004616589055107094,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
5,1151.6332540613575,-2.2737367544323206e-13,5.952588606272756e-07,0.9956249519094557,0,0,0.10000053573297457,0.9960624567185101,0.03333351191099152,0.33202081890617,-2.0975982044219448e-05,0.0008140108477328053,0.0006428670921359852,0.0,0.00017925553760747502,0.0,0.0,0.00017925553760747502,0.0004054361070796259,0,0.004614347718977031,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
6,1151.6332540613575,-2.2737367544323206e-13,5.678221022374773e-07,0.9958774955719775,0,0,0.10000051103989202,0.9962897460147797,0.033333503679964,0.33209658200492653,-2.0979131136280417e-05,0.0008155211814353101,0.0007286169529441163,0.0,0.00017855107967981902,0.0,0.0,0.00017855107967981902,0.00040584177439187115,0,0.004612313614290416,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
7,1151.6332540613573,-4.547473508864641e-13,5.446872678730241e-07,0.9961278070861794,0,0,0.10000049021854109,0.9965150263775615,0.03333349673951369,0.33217167545918713,-2.1006243287202882e-05,0.0008165147725051722,0.0008083950704467395,0.0,0.00017799611738165725,0.0,0.0,0.00017799611738165725,0.00040612350437756536,0,0.004610436287252534,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
8,1151.6332540613573,-4.547473508864641e-13,5.248295542518843e-07,0.9963747495738274,0,0,0.10000047234659883,0.9967372746164447,0.033333490782199604,0.3322457582054815,-2.1049574037063158e-05,0.0008171559900433359,0.0008832954634990753,0.0,0.0001775513099893178,0.0,0.0,0.0001775513099893178,0.00040632967463777287,0,0.004608697587566473,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
9,1151.6332540613573,-4.547473508864641e-13,5.075345609471259e-07,0.9966175939357784,0,0,0.10000045678110486,0.9969558345422006,0.03333348559370162,0.33231861151406683,-2.11033124815801e-05,0.000817530158171824,0.0009536086593642422,0.0,0.00017719351813290192,0.0,0.0,0.00017719351813290192,0.00040648075027963,0,0.004607072140232976,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.5,0.5,0
