step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,0.033333603951228113,0.33157576349087386,-2.155422422680661e-05,0.0008062190325630363,9.441549908702725e-05,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.0,492.4117934822945,13824,0.5,0.5,0
10,1151.633254061357,-6.821210263296962e-13,4.922876557032088e-07,0.9968547469262838,0,0,0.10000044305889014,0.9971692722336555,0.033333481019630046,0.33238975741121846,-2.1162123410547825e-05,0.0008177130073201671,0.0010199543189010622,0.0,0.00017690171041077833,0.0,0.0,0.00017690171041077833,0.0004065960759720716,0,0.004605550619877277,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.0,493.84126366396276,13824,0.5,0.5,0
20,1151.6332540613566,-1.1368683772161603e-12,3.992955465341706e-07,0.9988216599777204,0,0,0.10000035936599189,0.9989394939799484,0.03333345312199729,0.33297983132664943,-2.158915694885429e-05,0.0008147576755523748,0.0015208043239025003,0.0,0.0001763032417365,0.0,0.0,0.0001763032417365,0.000406815225333373,0,0.004594007475232448,0.296296296296296,0,0,0,0.0,0.0,0.0,0.0,492.19200902278635,13824,0.5,0.5,0
30,1151.633254061356,-1.8189894035458565e-12,3.5253764678778425e-07,1.0,0,0,0.10000031728388212,1.0,0.03333343909462737,0.3333333333333333,-2.16129884166917e-05,0.000809215541796024,0.0018327609516026785,0.0,0.00017574406880279075,0.0,0.0,0.00017574406880279075,0.0004062537817865403,0,0.004586489720578272,0.2962962962962223,0,0,0,0.0,0.0,0.0,0.0008850521762384655,490.2186274843284,13816,0.5,0.5,0
40,1151.633254061355,-2.7284841053187847e-12,3.248520766702978e-07,1.0,0,0,0.10000029236686901,1.0,0.033333430788956335,0.3333333333333333,-2.1487573178529582e-05,0.0008035368760370869,0.0020368169400850253,0.0,0.00017549778881222197,0.0,0.0,0.00017549778881222197,0.0004053206618108106,0,0.004581339022707413,0.29629629629505494,0,0,0,0.0,0.0,0.0,0.0039810781807012585,488.5489884067464,13816,0.5,0.5,0
50,1151.6332540613546,-3.183231456205249e-12,3.0820906985236665e-07,1.0000000000000002,0,0,0.10000027738816288,1.0,0.03333342579605429,0.3333333333333333,-2.1337531038001217e-05,0.0007983578058170702,0.002174377290544171,0.0,0.0001754697613988597,0.0,0.0,0.0001754697613988597,0.0004042454548486603,0,0.0045776489637925815,0.29629629628957693,0,0,0,0.0,0.0,0.0,0.005991584500363745,487.2608056786171,13816,0.5,0.5,0
60,1151.633254061354,-3.865352482534945e-12,2.983554385050694e-07,1.0000000000000002,0,0,0.10000026851989466,1.0,0.033333422839964884,0.3333333333333333,-2.1199036021815354e-05,0.0007937761092872073,0.0022691670498260186,0.0,0.00017540973816201465,0.0,0.0,0.00017540973816201465,0.00040313900718801814,0,0.004574928796715652,0.2962962962758544,0,0,0,0.0,0.0,0.0,0.007397987053562316,486.2926137237966,13816,0.5,0.5,0
70,1151.6332540613535,-4.320099833421409e-12,2.925346050527123e-07,1.0000000000000002,0,0,0.10000026328114456,1.0,0.03333342109371485,0.3333333333333333,-2.107968273882752e-05,0.000789762731628604,0.002335667172431967,0.0,0.00017532338401213938,0.0,0.0,0.00017532338401213938,0.0004020647537737309,0,0.004572882349833846,0.29629629625181536,0,0,0,0.0,0.0,0.0,0.008408883826742652,485.5705676607667,13816,0.5,0.5,0
80,1151.6332540613525,-5.229594535194337e-12,2.8902394969678366e-07,0.9999999999999997,0,0,0.10000026012155473,0.9999999999999998,0.033333420040518244,0.33333333333333326,-2.0979020560230534e-05,0.0007862703882199168,0.00238303944669287,0.0,0.00017522340795848534,0.0,0.0,0.00017522340795848534,0.00040106043407465986,0,0.004571318857311748,0.2962962962180289,0,0,0,0.0,0.0,0.0,0.009149903534725778,485.03211904373745,13816,0.5,0.5,0
90,1151.633254061352,-5.6843418860808015e-12,2.8682497194503794e-07,1.0000000000000004,0,0,0.10000025814247476,1.0,0.033333419380824916,0.3333333333333333,-2.0894703032024266e-05,0.0007832437145285499,0.00241723200941676,0.0,0.00017511957035086734,0.0,0.0,0.00017511957035086734,0.00040014366651231826,0,0.004570109622698178,0.2962962961769195,0,0,0,0.0,0.0,0.0,0.009701784121077583,484.62909066114224,13816,0.5,0.5,0
100,1151.6332540613514,-6.366462912410498e-12,2.8538953342605333e-07,1.0000000000000002,0,0,0.10000025685058009,1.0,0.03333341895019336,0.3333333333333333,-2.082416347496299e-05,0.0007806262787329484,0.0024521584022123913,0.0,0.0001750180461437277,0.0,0.0,0.0001750180461437277,0.00039931946302478743,0,0.004569164886987689,0.2962962961316148,0,0,0,0.0,0.0,0.0,0.01011834100285336,484.3257350225743,13816,0.5,0.5,0
