step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.3142624653556,0.0,0.0,0.9941414338584684,0,0,0.1,0.9947272904726217,0.03333333333333333,0.33157576349087386,-0.00014714539658055635,0.0008062190325630363,9.441549908702725e-05,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,0.0,492.09342814673073,13248,1.5794051612825086e-06,0.5,0
100,1151.3142624653492,-6.366462912410498e-12,0.0,1.0000000000000002,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011161725653324144,0.0007850521233124989,0.0024551590170581745,0.0,0.0001750605858064795,0.0,0.0,0.0001750605858064795,0.0004006335806789264,0,0.004569114945891444,0.2962962962962963,576,576,10368,1151.3142624653492,0.07579140310997219,0.0,0.010030902101601624,484.12189761104685,13240,5.529894463106097e-07,0.5,0
200,1151.3142624653428,-1.2732925824820995e-11,0.0,1.0000000000000002,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.0001103467561618211,0.000777364296272719,0.0026082624623975964,0.0,0.00017466399129798397,0.0,0.0,0.00017466399129798397,0.00039734207542589927,0,0.0045653513074768864,0.2962962962962963,576,576,10368,1151.3142624653426,0.07512447153044785,0.0,0.011245985300437189,483.26964140283263,13240,5.496167554763259e-07,0.5,0
300,1151.3142624653362,-1.9326762412674725e-11,0.0,1.0000000000000004,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011126162138887525,0.0007783280238286326,0.002636529382821855,0.0,0.0001746998323728574,0.0,0.0,0.0001746998323728574,0.0003966119809603181,0,0.0045646270499150165,0.2962962962962963,576,576,10368,1151.3142624653365,0.07573424189676532,0.0,0.011358438320310027,483.2019942837683,13240,5.523585237387769e-07,0.5,0
400,1151.3142624653299,-2.5693225325085223e-11,0.0,1.0000000000000004,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011256704641808434,0.0007809960763701253,0.0026444993820578457,0.0,0.000174772696547636,0.0,0.0,0.000174772696547636,0.00039638593296535197,0,0.0045644077531813276,0.2962962962962963,576,576,10368,1151.3142624653296,0.07651800936562628,0.0,0.01136970114688407,483.19512723036144,13240,5.549655223460005e-07,0.5,0
500,1151.314262465323,-3.2514435588382185e-11,0.0,1.0000000000000004,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011390490277979951,0.0007838124268684813,0.002647514609919454,0.0,0.00017501978570439166,0.0,0.0,0.00017501978570439166,0.00039617495994369664,0,0.004564317136179389,0.2962962962962963,576,576,10368,1151.3142624653233,0.07730161406906144,0.0,0.011367556608711471,483.19391415524996,13240,5.575653763327196e-07,0.5,0
600,1151.314262465317,-3.865352482534945e-11,0.0,1.0000000000000004,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011519687905348221,0.0007864220867571637,0.0026489463780389067,0.0,0.00017526162081627628,0.0,0.0,0.00017526162081627628,0.0003958716147820148,0,0.004564270527466834,0.2962962962962963,576,576,10368,1151.314262465317,0.07805242865477198,0.0,0.011362380901061675,483.1931110920042,13240,5.602949137979365e-07,0.5,0
700,1151.3142624653103,-4.524736141320318e-11,0.0,1.0000000000000004,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.0001164331729021403,0.0007887665410454254,0.0026498002487357047,0.0,0.00017548508501633226,0.0,0.0,0.00017548508501633226,0.00039580162270854867,0,0.004564241268046624,0.2962962962962963,576,576,10368,1151.3142624653103,0.07876898814766159,0.0,0.011355708917732743,483.1921976340661,13240,5.631770140974822e-07,0.5,0
800,1151.314262465304,-5.161382432561368e-11,0.0,1.0000000000000002,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011762165551098848,0.0007908613370400123,0.00265045134703991,0.0,0.0001763069127168795,0.0,0.0,0.0001763069127168795,0.0003961956455728921,0,0.004564218882313889,0.2962962962962963,576,576,10368,1151.314262465304,0.0794571948923839,0.0,0.01134780428481541,483.19111150357287,13240,5.661998249394436e-07,0.5,0
900,1151.3142624652974,-5.820766091346741e-11,0.0,1.0,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011877413668017081,0.0007927366850181088,0.0026516985963073694,0.0,0.000177137215020904,0.0,0.0,0.000177137215020904,0.00039653681182915155,0,0.004564198762017342,0.2962962962962963,576,576,10368,1151.3142624652974,0.08012430428598176,0.0,0.011338682779927112,483.1898318319752,13240,5.693484087137712e-07,0.5,0
1000,1151.3142624652908,-6.480149750132114e-11,0.0,1.0000000000000002,0,0,0.1,1.0,0.03333333333333333,0.3333333333333333,-0.00011990247878464502,0.0007944217059678115,0.0026531933363910633,0.0,0.00017791101031898855,0.0,0.0,0.00017791101031898855,0.0003968220215663025,0,0.004564178618665304,0.2962962962962963,576,576,10368,1151.3142624652908,0.08077730944589859,0.0,0.01132828790415119,483.18834565708227,13240,5.726121646262807e-07,0.5,0
