case_id,step,stage8g_mode,active_count,normal_limiter_count,normal_limiter_fraction,vector_limiter_fraction,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,raw_normal_scale_limiter_count,target_scale_limiter_count,tangent_scale_limiter_count,floor_scale_limiter_count,tan_raw_p50,tan_eff_p50,regularization_ratio_p50,profile_mismatch_p50,profile_conflict_p50,outer90_normal_limiter_count,fallback_angle_normal_limiter_count,max_mach,nonfinite_total,shadow_gate_passed_for_planning,root_cause_classification,write_mode_allowed
cap_theta030_wall005_stage8g_mode0,1000,0,7984,7088,0.8877755511022044,0.0,0.10356944893568075,9.655356963625685,13.547821531654725,4368,0,0,0,11.430052066470214,11.430052066470214,1.0,0.3213254784578867,0.0,0,7088,1.1635696682809229e-05,0,False,undetermined_shadow_only_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall005_stage8g_mode1,1000,1,7984,6600,0.8266533066132264,0.0,0.1611378924031713,6.205864958801703,13.547821531654725,0,1028,0,0,11.430052066470214,11.430052066470214,1.0,0.3213254784578867,0.0,0,6600,1.1635696682809229e-05,0,False,undetermined_shadow_only_normal_limiter_dominated_abs_cap_dominated,False
cap_theta030_wall005_stage8g_mode2,1000,2,7984,6192,0.7755511022044088,0.0,0.5419329495520661,1.8452467243900719,2.431820841777444,3472,0,0,0,11.430052066470214,3.7754867955973257,0.33031230073506196,0.06475477437671667,0.0,0,6192,1.1635696682809229e-05,0,False,undetermined_shadow_only_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall005_stage8g_mode3,1000,3,7984,6184,0.7745490981963928,0.0,0.5438662818605007,1.8386872533798586,2.431820841777444,2256,1208,0,0,11.430052066470214,3.7754867955973257,0.33031230073506196,0.06475477437671667,0.0,0,6184,1.1635696682809229e-05,0,False,undetermined_shadow_only_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall008_stage8g_mode0,1000,0,7952,6776,0.852112676056338,0.0,0.18885334203365164,5.29511413052892,7.308322757337156,4056,0,0,0,7.1153696297164215,7.1153696297164215,1.0,0.17747438098078255,0.0,0,6776,1.1221795779905838e-05,0,False,undetermined_shadow_only_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall008_stage8g_mode1,1000,1,7952,6472,0.8138832997987927,0.0,0.29377196214112483,3.4040008199271616,7.308322757337156,0,2048,0,0,7.1153696297164215,7.1153696297164215,1.0,0.17747438098078255,0.0,0,6472,1.1221795779905838e-05,0,False,undetermined_shadow_only_normal_limiter_dominated_abs_cap_dominated,False
cap_theta030_wall008_stage8g_mode2,1000,2,7952,6064,0.7625754527162978,0.0,0.641465661933631,1.558929944015629,2.028367687319204,3344,0,0,0,7.1153696297164215,3.486803618477824,0.49003829736625903,0.05669303146724693,0.0,0,6064,1.1221795779905838e-05,0,False,undetermined_shadow_only_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall008_stage8g_mode3,1000,3,7952,6064,0.7625754527162978,0.0,0.641465661933631,1.558929944015629,2.028367687319204,3304,40,0,0,7.1153696297164215,3.486803618477824,0.49003829736625903,0.05669303146724693,0.0,0,6064,1.1221795779905838e-05,0,False,undetermined_shadow_only_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall011_stage8g_mode0,1000,0,7896,6568,0.8318135764944276,0.0,0.3017112655314392,3.314427117475358,4.469457487426402,3848,0,0,0,5.144553966670899,5.144553966670899,1.0,0.11427067790512319,0.0,0,0,1.0613458082881765e-05,0,False,sphere11_low_angle_candidate_dominated_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall011_stage8g_mode1,1000,1,7896,6336,0.8024316109422492,0.0,0.3894894894966012,2.567463377441787,4.469457487426402,0,2824,0,0,5.144553966670899,5.144553966670899,1.0,0.11427067790512319,0.0,0,0,1.0613458082881765e-05,0,False,sphere11_low_angle_candidate_dominated_normal_limiter_dominated_abs_cap_dominated,False
cap_theta030_wall011_stage8g_mode2,1000,2,7896,5788,0.7330293819655522,0.0,0.806745571464544,1.2395481740105834,1.5700573539227276,3068,0,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.04704487938797961,0.0,0,0,1.0613458082881765e-05,0,False,sphere11_low_angle_candidate_dominated_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall011_stage8g_mode3,1000,3,7896,5788,0.7330293819655522,0.0,0.806745571464544,1.2395481740105834,1.5700573539227276,3068,0,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.04704487938797961,0.0,0,0,1.0613458082881765e-05,0,False,sphere11_low_angle_candidate_dominated_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall015_stage8g_mode0,1000,0,7856,6136,0.7810590631364562,0.0,0.5313861836669614,1.8818705317219238,2.4506843298993957,3440,0,0,0,3.732050780774299,3.732050780774299,1.0,0.0675230720434907,0.0,0,6136,9.492780825878539e-06,0,False,undetermined_shadow_only_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall015_stage8g_mode1,1000,1,7856,6096,0.7759674134419552,0.0,0.5318440921567232,1.8802502739944342,2.4506843298993957,1972,1428,0,0,3.732050780774299,3.732050780774299,1.0,0.0675230720434907,0.0,0,6096,9.492780825878539e-06,0,False,undetermined_shadow_only_normal_limiter_dominated_ratio_cap_contract_dominated,False
cap_theta030_wall015_stage8g_mode2,1000,2,7856,720,0.09164969450101833,0.0,1.0,0.8053071344564894,1.0488331729427858,720,0,0,0,3.732050780774299,2.728771779585863,0.731172199918383,0.03411163497089817,0.0,0,720,9.492780825878539e-06,0,True,stage8g_mode2_low_angle_tan_regularization_shadow_gate_passed,False
cap_theta030_wall015_stage8g_mode3,1000,3,7856,720,0.09164969450101833,0.0,1.0,0.8053071344564894,1.0488331729427858,720,0,0,0,3.732050780774299,2.728771779585863,0.731172199918383,0.03411163497089817,0.0,0,720,9.492780825878539e-06,0,True,stage8g_mode3_combined_cap_and_tan_shadow_gate_passed,False
cap_theta030_wall020_stage8g_mode0,1000,0,7760,2584,0.33298969072164947,0.0,1.0,0.8576064130891894,1.1492651331316244,1228,0,0,0,2.747477404110712,2.747477404110712,1.0,0.03804330650747265,0.0,0,2584,7.574215570511628e-06,0,False,undetermined_shadow_only_normal_limiter_dominated_abs_cap_dominated,False
cap_theta030_wall020_stage8g_mode1,1000,1,7760,2584,0.33298969072164947,0.0,1.0,0.8576064130891894,1.1492651331316244,1228,0,0,0,2.747477404110712,2.747477404110712,1.0,0.03804330650747265,0.0,0,2584,7.574215570511628e-06,0,False,undetermined_shadow_only_normal_limiter_dominated_abs_cap_dominated,False
cap_theta030_wall020_stage8g_mode2,1000,2,7760,0,0.0,0.0,1.0,0.2713086726657658,0.6046727841225663,0,0,0,0,2.747477404110712,2.2647031202082437,0.8242845298089977,0.02096701579596165,0.0,0,0,7.574215570511628e-06,0,True,stage8g_mode2_low_angle_tan_regularization_shadow_gate_passed,False
cap_theta030_wall020_stage8g_mode3,1000,3,7760,0,0.0,0.0,1.0,0.2713086726657658,0.6046727841225663,0,0,0,0,2.747477404110712,2.2647031202082437,0.8242845298089977,0.02096701579596165,0.0,0,0,7.574215570511628e-06,0,True,stage8g_mode3_combined_cap_and_tan_shadow_gate_passed,False
cap_theta030_wall025_stage8g_mode0,1000,0,7656,0,0.0,0.0,1.0,0.15251934252781274,0.5518296945597279,0,0,0,0,2.144506910460094,2.144506910460094,1.0,0.020385996124053087,0.0,0,0,5.042724225605722e-06,0,True,stage8g_mode0_baseline_shadow_gate_passed,False
cap_theta030_wall025_stage8g_mode1,1000,1,7656,0,0.0,0.0,1.0,0.15110521244315653,0.5518296945597279,0,0,0,0,2.144506910460094,2.144506910460094,1.0,0.020385996124053087,0.0,0,0,5.042724225605722e-06,0,True,stage8g_mode1_cap_contract_revision_shadow_gate_passed,False
cap_theta030_wall025_stage8g_mode2,1000,2,7656,0,0.0,0.0,1.0,0.15989870928288127,0.2577607296350203,0,0,0,0,2.144506910460094,1.890015311397548,0.8813286178649125,0.011840885263212628,0.0,0,0,5.042724225605722e-06,0,True,stage8g_mode2_low_angle_tan_regularization_shadow_gate_passed,False
cap_theta030_wall025_stage8g_mode3,1000,3,7656,0,0.0,0.0,1.0,0.15989870928288127,0.2577607296350203,0,0,0,0,2.144506910460094,1.890015311397548,0.8813286178649125,0.011840885263212628,0.0,0,0,5.042724225605722e-06,0,True,stage8g_mode3_combined_cap_and_tan_shadow_gate_passed,False
cap_theta030_wall030_stage8g_mode0,1000,0,7508,0,0.0,0.0,1.0,0.1681819961036521,0.39259875724936155,0,0,0,0,1.732050800389291,1.732050800389291,1.0,0.010204644354672117,0.0,0,0,1.8458367665547906e-06,0,True,stage8g_mode0_baseline_shadow_gate_passed,False
cap_theta030_wall030_stage8g_mode1,1000,1,7508,0,0.0,0.0,1.0,0.1681819961036521,0.39259875724936155,0,0,0,0,1.732050800389291,1.732050800389291,1.0,0.010204644354672117,0.0,0,0,1.8458367665547906e-06,0,True,stage8g_mode1_cap_contract_revision_shadow_gate_passed,False
cap_theta030_wall030_stage8g_mode2,1000,2,7508,0,0.0,0.0,1.0,0.2521981895541051,0.5884620070077612,0,0,0,0,1.732050800389291,1.5894388229298924,0.9176629360828531,0.005448215394816963,0.0,0,0,1.8458367665547906e-06,0,True,stage8g_mode2_low_angle_tan_regularization_shadow_gate_passed,False
cap_theta030_wall030_stage8g_mode3,1000,3,7508,0,0.0,0.0,1.0,0.2521981895541051,0.5884620070077612,0,0,0,0,1.732050800389291,1.5894388229298924,0.9176629360828531,0.005448215394816963,0.0,0,0,1.8458367665547906e-06,0,True,stage8g_mode3_combined_cap_and_tan_shadow_gate_passed,False
