case_id,step,stage8g_mode,stage8h_mode,active_count,normal_limiter_count,normal_limiter_fraction,stage8h_limiter_equivalent_count,stage8h_limiter_equivalent_fraction,vector_limiter_fraction,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,stage8h_candidate_demand_ratio_p50,stage8h_candidate_demand_ratio_p95,stage8h_candidate_demand_ratio_p99,stage8h_beta_relaxation_p50,stage8h_profile_consistency_weight_p50,stage8h_cos_to_tan_ratio_p50,stage8h_residual_cos_p50,stage8h_dn_relaxed_p50,raw_normal_scale_limiter_count,target_scale_limiter_count,tangent_scale_limiter_count,floor_scale_limiter_count,tan_raw_p50,tan_eff_p50,regularization_ratio_p50,profile_mismatch_p50,stage8h_profile_mismatch_p50,profile_conflict_p50,outer90_normal_limiter_count,outer90_stage8h_limiter_equivalent_count,fallback_angle_normal_limiter_count,fallback_angle_stage8h_limiter_equivalent_count,max_mach,nonfinite_total,shadow_gate_passed_for_planning,root_cause_classification,write_mode_allowed
cap_theta030_wall005_stage8h_mode0,1000,3,0,7984,6184,0.7745490981963928,6184,0.7745490981963928,0.0,0.5438662818605007,1.8386872533798586,2.431820841777444,1.8386872533798586,2.431820841777444,2.4534076491382772,0.25,0.43571171893781196,0.12870618261401945,-0.09791856978458979,-0.05944460235815755,2256,1208,0,0,11.430052066470214,3.7754867955973257,0.33031230073506196,0.06475477437671667,0.06475477437671667,0.0,0,0,6184,6184,1.1635696682809229e-05,0,False,undetermined_shadow_only_candidate_demand_still_high_cos_residual_weaker_than_tan_profile_mismatch_weighted,False
cap_theta030_wall005_stage8h_mode1,1000,3,1,7984,6184,0.7745490981963928,0,0.0,0.0,0.5438662818605007,1.8386872533798586,2.431820841777444,0.45967181334542434,0.5916102069433365,0.6021790922273949,0.25,0.43571171893781196,0.12870618261401945,-0.09791856978458979,-0.014861150589554251,2256,1208,0,0,11.430052066470214,3.7754867955973257,0.33031230073506196,0.06475477437671667,0.06475477437671667,0.0,0,0,6184,0,1.1635696682809229e-05,0,True,stage8h_mode1_residual_relaxation_shadow_gate_passed,False
cap_theta030_wall005_stage8h_mode2,1000,3,2,7984,6184,0.7745490981963928,0,0.0,0.0,0.5438662818605007,1.8386872533798586,2.431820841777444,0.23584531814792964,0.315163253137549,0.3178433372948673,0.25,0.43571171893781196,0.12870618261401945,-0.09791856978458979,-0.007614308943594759,2256,1208,0,0,11.430052066470214,3.7754867955973257,0.33031230073506196,0.06475477437671667,0.06475477437671667,0.0,0,0,6184,0,1.1635696682809229e-05,0,True,stage8h_mode2_cosine_residual_shadow_gate_passed,False
cap_theta030_wall005_stage8h_mode3,1000,3,3,7984,6184,0.7745490981963928,6184,0.7745490981963928,0.0,0.5438662818605007,1.8386872533798586,2.431820841777444,1.8386872533798586,2.431820841777444,2.4534076491382772,0.25,0.43571171893781196,0.12870618261401945,-0.09791856978458979,-0.05944460235815755,2256,1208,0,0,11.430052066470214,3.7754867955973257,0.33031230073506196,0.06475477437671667,0.06475477437671667,0.0,0,0,6184,6184,1.1635696682809229e-05,0,False,undetermined_shadow_only_candidate_demand_still_high_cos_residual_weaker_than_tan_profile_mismatch_weighted,False
cap_theta030_wall005_stage8h_mode4,1000,3,4,7984,6184,0.7745490981963928,0,0.0,0.0,0.5438662818605007,1.8386872533798586,2.431820841777444,0.05896132953698241,0.07651789343282926,0.07787047541517099,0.25,0.43571171893781196,0.12870618261401945,-0.09791856978458979,-0.0019035772358986897,2256,1208,0,0,11.430052066470214,3.7754867955973257,0.33031230073506196,0.06475477437671667,0.06475477437671667,0.0,0,0,6184,0,1.1635696682809229e-05,0,True,stage8h_mode4_combined_shadow_gate_passed,False
cap_theta030_wall008_stage8h_mode0,1000,3,0,7952,6064,0.7625754527162978,6064,0.7625754527162978,0.0,0.641465661933631,1.558929944015629,2.028367687319204,1.558929944015629,2.028367687319204,2.0454868349543656,0.25,0.4686341676902227,0.1450967401381147,-0.09198230202557611,-0.050789740857029544,3304,40,0,0,7.1153696297164215,3.486803618477824,0.49003829736625903,0.05669303146724693,0.05669303146724693,0.0,0,0,6064,6064,1.1221795779905838e-05,0,False,undetermined_shadow_only_candidate_demand_still_high_cos_residual_weaker_than_tan_profile_mismatch_weighted,False
cap_theta030_wall008_stage8h_mode1,1000,3,1,7952,6064,0.7625754527162978,0,0.0,0.0,0.641465661933631,1.558929944015629,2.028367687319204,0.3897324860042971,0.5070919218303082,0.5113717087391028,0.25,0.4686341676902227,0.1450967401381147,-0.09198230202557611,-0.012697435214270084,3304,40,0,0,7.1153696297164215,3.486803618477824,0.49003829736625903,0.05669303146724693,0.05669303146724693,0.0,0,0,6064,0,1.1221795779905838e-05,0,True,stage8h_mode1_residual_relaxation_shadow_gate_passed,False
cap_theta030_wall008_stage8h_mode2,1000,3,2,7952,6064,0.7625754527162978,0,0.0,0.0,0.641465661933631,1.558929944015629,2.028367687319204,0.22455147387655605,0.2968659586759215,0.29942646978698345,0.25,0.4686341676902227,0.1450967401381147,-0.09198230202557611,-0.007253556695168169,3304,40,0,0,7.1153696297164215,3.486803618477824,0.49003829736625903,0.05669303146724693,0.05669303146724693,0.0,0,0,6064,0,1.1221795779905838e-05,0,True,stage8h_mode2_cosine_residual_shadow_gate_passed,False
cap_theta030_wall008_stage8h_mode3,1000,3,3,7952,6064,0.7625754527162978,6064,0.7625754527162978,0.0,0.641465661933631,1.558929944015629,2.028367687319204,1.558929944015629,2.028367687319204,2.0454868349543656,0.25,0.4686341676902227,0.1450967401381147,-0.09198230202557611,-0.050789740857029544,3304,40,0,0,7.1153696297164215,3.486803618477824,0.49003829736625903,0.05669303146724693,0.05669303146724693,0.0,0,0,6064,6064,1.1221795779905838e-05,0,False,undetermined_shadow_only_candidate_demand_still_high_cos_residual_weaker_than_tan_profile_mismatch_weighted,False
cap_theta030_wall008_stage8h_mode4,1000,3,4,7952,6064,0.7625754527162978,0,0.0,0.0,0.641465661933631,1.558929944015629,2.028367687319204,0.05613786846913901,0.07421648966898038,0.07485661744674586,0.25,0.4686341676902227,0.1450967401381147,-0.09198230202557611,-0.0018133891737920423,3304,40,0,0,7.1153696297164215,3.486803618477824,0.49003829736625903,0.05669303146724693,0.05669303146724693,0.0,0,0,6064,0,1.1221795779905838e-05,0,True,stage8h_mode4_combined_shadow_gate_passed,False
