case_id,step,stage8g_mode,stage8h_mode,active_count,normal_limiter_count,normal_limiter_fraction,stage8h_limiter_equivalent_count,stage8h_limiter_equivalent_fraction,vector_limiter_fraction,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,stage8h_candidate_demand_ratio_p50,stage8h_candidate_demand_ratio_p95,stage8h_candidate_demand_ratio_p99,stage8h_beta_relaxation_p50,stage8h_profile_consistency_weight_p50,stage8h_cos_to_tan_ratio_p50,stage8h_residual_cos_p50,stage8h_dn_relaxed_p50,raw_normal_scale_limiter_count,target_scale_limiter_count,tangent_scale_limiter_count,floor_scale_limiter_count,tan_raw_p50,tan_eff_p50,regularization_ratio_p50,profile_mismatch_p50,stage8h_profile_mismatch_p50,profile_conflict_p50,outer90_normal_limiter_count,outer90_stage8h_limiter_equivalent_count,fallback_angle_normal_limiter_count,fallback_angle_stage8h_limiter_equivalent_count,max_mach,nonfinite_total,shadow_gate_passed_for_planning,root_cause_classification,write_mode_allowed
theta030_cap_on_sphere_stage8h_mode0,1000,3,0,5460,2492,0.4564102564102564,2492,0.4564102564102564,0.0,1.0,0.7499534643757826,3.3254757984615995,0.7499534643757826,3.3254757984615995,5.222283104942728,0.25,0.564928635499096,0.17388362263282273,-0.08326010363025416,-0.021043687715417786,304,732,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.02749089366209431,0.02749089366209431,0.0,0,0,0,0,1.892877581620868e-05,0,False,sphere11_low_angle_stage8h_candidate_dominated_candidate_demand_still_high_cos_residual_weaker_than_tan,False
theta030_cap_on_sphere_stage8h_mode1,1000,3,1,5460,2492,0.4564102564102564,16,0.0029304029304029304,0.0,1.0,0.7499534643757826,3.3254757984615995,0.1874883660941331,0.784101331653739,0.9198486678901381,0.25,0.564928635499096,0.17388362263282273,-0.08326010363025416,-0.005260921928859708,304,732,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.02749089366209431,0.02749089366209431,0.0,0,0,0,0,1.892877581620868e-05,0,True,stage8h_mode1_residual_relaxation_shadow_gate_passed,False
theta030_cap_on_sphere_stage8h_mode2,1000,3,2,5460,2492,0.4564102564102564,72,0.013186813186813187,0.0,1.0,0.7499534643757826,3.3254757984615995,0.1353409093234728,0.6104685000812067,1.0204230374318723,0.25,0.564928635499096,0.17388362263282273,-0.08326010363025416,-0.00472601306573465,304,732,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.02749089366209431,0.02749089366209431,0.0,0,0,0,0,1.892877581620868e-05,0,True,stage8h_mode2_cosine_residual_shadow_gate_passed,False
theta030_cap_on_sphere_stage8h_mode3,1000,3,3,5460,2492,0.4564102564102564,2492,0.4564102564102564,0.0,1.0,0.7499534643757826,3.3254757984615995,0.7499534643757826,3.3254757984615995,5.222283104942728,0.25,0.564928635499096,0.17388362263282273,-0.08326010363025416,-0.021043687715417786,304,732,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.02749089366209431,0.02749089366209431,0.0,0,0,0,0,1.892877581620868e-05,0,False,sphere11_low_angle_stage8h_candidate_dominated_candidate_demand_still_high_cos_residual_weaker_than_tan,False
theta030_cap_on_sphere_stage8h_mode4,1000,3,4,5460,2492,0.4564102564102564,0,0.0,0.0,1.0,0.7499534643757826,3.3254757984615995,0.0338352273308682,0.1439417104829111,0.1944604426320138,0.25,0.564928635499096,0.17388362263282273,-0.08326010363025416,-0.0011815032664336624,304,732,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.02749089366209431,0.02749089366209431,0.0,0,0,0,0,1.892877581620868e-05,0,True,stage8h_mode4_combined_shadow_gate_passed,False
theta030_free_sphere_stage8h_mode0,1000,3,0,924,712,0.7705627705627706,712,0.7705627705627706,0.0,0.3722503330988963,2.686364285225042,6.811492630668494,2.686364285225042,6.811492630668494,7.323631946949506,0.19622365299321576,0.4116907171137738,0.17529507690078241,-0.24606055341211286,-0.10335888520129717,28,304,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.07145039448674828,0.07145039448674828,0.0,0,0,0,0,0.0003084275362609073,0,False,sphere11_low_angle_stage8h_candidate_dominated_candidate_demand_still_high_cos_residual_weaker_than_tan_profile_mismatch_weighted,False
theta030_free_sphere_stage8h_mode1,1000,3,1,924,712,0.7705627705627706,16,0.017316017316017316,0.0,0.3722503330988963,2.686364285225042,6.811492630668494,0.6715910713069321,0.9389516829165651,1.0167854589139373,0.19622365299321576,0.4116907171137738,0.17529507690078241,-0.24606055341211286,-0.025839721300350133,28,304,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.07145039448674828,0.07145039448674828,0.0,0,0,0,0,0.0003084275362609073,0,True,stage8h_mode1_residual_relaxation_shadow_gate_passed,False
theta030_free_sphere_stage8h_mode2,1000,3,2,924,712,0.7705627705627706,112,0.12121212121212122,0.0,0.3722503330988963,2.686364285225042,6.811492630668494,0.4582179079372165,1.454089441934442,1.698931297864138,0.19622365299321576,0.4116907171137738,0.17529507690078241,-0.24606055341211286,-0.017479168049770427,28,304,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.07145039448674828,0.07145039448674828,0.0,0,0,0,0,0.0003084275362609073,0,True,stage8h_mode2_cosine_residual_shadow_gate_passed,False
theta030_free_sphere_stage8h_mode3,1000,3,3,924,712,0.7705627705627706,712,0.7705627705627706,0.0,0.3722503330988963,2.686364285225042,6.811492630668494,2.686364285225042,6.811492630668494,7.323631946949506,0.19622365299321576,0.4116907171137738,0.17529507690078241,-0.24606055341211286,-0.10335888520129717,28,304,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.07145039448674828,0.07145039448674828,0.0,0,0,0,0,0.0003084275362609073,0,False,sphere11_low_angle_stage8h_candidate_dominated_candidate_demand_still_high_cos_residual_weaker_than_tan_profile_mismatch_weighted,False
theta030_free_sphere_stage8h_mode4,1000,3,4,924,712,0.7705627705627706,0,0.0,0.0,0.3722503330988963,2.686364285225042,6.811492630668494,0.11455447698430413,0.20075660514917423,0.21361736231612963,0.19622365299321576,0.4116907171137738,0.17529507690078241,-0.24606055341211286,-0.004369792012442607,28,304,0,0,5.144553966670899,3.15780140770959,0.613814419708195,0.07145039448674828,0.07145039448674828,0.0,0,0,0,0,0.0003084275362609073,0,True,stage8h_mode4_combined_shadow_gate_passed,False
