status,claim_limit,case_id,case_group,theta_target_deg,stage8_operator_mode,steps,metrics_source,nonfinite_total,max_mach,phase_mass_relative_change,rho_relative_change,normal_limiter_fraction,vector_limiter_fraction,outer90_limiter_count,fallback_angle_limiter_count,stage8_fluid_wall_angle_p50,stage8_fluid_wall_angle_p95,stage8_normal_agreement_p50,stage8_normal_agreement_p95,profile_target_mismatch_p50,profile_target_mismatch_p95,profile_target_mismatch_p99,active_count,limiter_count,candidate_demand_p50,candidate_demand_p95,candidate_demand_p99,theta_fit_error_deg,height_error,contact_radius_error,local_angle_error_mean_deg,local_angle_error_p95_deg,local_angle_error_max_deg,axisymmetry_error,axial_symmetry_error,circumferential_symmetry_error,contact_line_height_variation,internal_void_count,lower_side_film_fraction,bottom_outer_wall_contamination,write_run_present,case_recommendation,classification_reason
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_plane_theta020_shadow,plane,20,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_plane_theta025_shadow,plane,25,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_plane_theta030_shadow,plane,30,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_plane_theta060_shadow,plane,60,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_plane_theta090_shadow,plane,90,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_plane_theta120_shadow,plane,120,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_plane_theta150_shadow,plane,150,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_cylinder_theta030_shadow,cylinder,30,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_cylinder_theta045_shadow,cylinder,45,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
runtime_sanity,runtime_sanity / exploratory_not_validation only,track_a_cylinder_theta060_shadow,cylinder,60,1,0/100/1000,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,no lightweight runtime metrics found
