case_id,geometry,theta_deg,step,wall_count,fluid_count,wall_phase_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_phase_bounded_pred_gt_1_count,wall_clamp_delta_nonzero_count,wall_pf_f_min,wall_pf_f_max,wall_grad_tangent_max,wall_tan_coeff_mean,wall_phase_pred_min,wall_phase_pred_max,wall_phase_bounded_pred_max,wall_clamp_delta_min,wall_clamp_delta_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
curved_theta011,curved,11,0,121164,954036,64,0,0,0,64,-999.0,0.5808448975965824,0.148776638417561,5.144553966670899,0.0,1.7954628943313244,1.0,0.0,0.7954628943313244,1.0,0.9999997995397631,0.0,0
curved_theta011,curved,11,250,121164,954036,184,0,0,0,184,6.074333134468203e-17,1.0,0.15890174082962435,5.144553966670899,1.1569055019338857e-16,1.5082157699089682,1.0,0.0,0.5082157699089682,1.0,0.9999902148999362,0.0006704258707252927,0
curved_theta011,curved,11,500,121164,954036,192,0,0,0,192,1.6223552445201078e-13,1.0,0.17605725872740832,5.144553966670899,2.0155854429885993e-13,1.4017566060502347,1.0,0.0,0.40175660605023467,1.0,0.999991635148044,0.0003136116969148121,0
curved_theta011,curved,11,750,121164,954036,200,0,0,0,200,5.828933390832172e-12,1.0,0.17774194764768175,5.144553966670899,6.314789105155277e-12,1.4566926073425253,1.0,0.0,0.45669260734252526,1.0,0.9999940456223854,0.0003335043233689718,0
curved_theta011,curved,11,1000,121164,954036,208,0,0,0,208,4.056290778098643e-11,1.0,0.1758365399352608,5.144553966670899,4.222496126742815e-11,1.4809720660457049,1.0,0.0,0.48097206604570486,1.0,0.9999963999115423,0.0003418994009094354,0
flat_theta011,flat,11,0,42504,571896,2000,0,0,0,2000,0.0,0.9999996600470948,0.16354169919183095,5.144553966670899,0.0,1.4129921878921676,1.0,0.0,0.41299218789216763,1.0,0.9999996600470951,0.0,0
flat_theta011,flat,11,250,42504,571896,1916,0,0,0,1916,1.059113202703447e-18,0.9999930847029712,0.10559808974941265,5.144553966670899,2.1494857193801706e-18,1.1696376577580558,1.0,0.0,0.16963765775805584,1.0,0.9999951811396515,0.00024204295730105138,0
flat_theta011,flat,11,500,42504,571896,1900,0,0,0,1900,8.304962769389379e-15,0.9999964167957358,0.09565002885505365,5.144553966670899,1.1756317068162081e-14,1.1395363179686901,1.0,0.0,0.13953631796869015,1.0,0.9999972437837674,0.00023366400245089785,0
flat_theta011,flat,11,750,42504,571896,1872,0,0,0,1872,7.111325267918973e-13,0.9999983616708623,0.08984508536571638,5.144553966670899,8.077209043153102e-13,1.123965989212869,1.0,0.0,0.12396598921286905,1.0,0.9999985433353972,0.00022922134816073556,0
flat_theta011,flat,11,1000,42504,571896,1868,0,0,0,1868,7.761170261356375e-12,0.9999989119625049,0.08567258919049896,5.144553966670899,8.268790333889963e-12,1.1131955328181184,1.0,0.0,0.11319553281811845,1.0,0.9999989195438816,0.00023164907328683017,0
