variant,case_id,geometry,theta_deg,step,wall_phase_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_phase_bounded_pred_gt_1_count,wall_clamp_delta_nonzero_count,wall_phase_pred_max,wall_phase_bounded_pred_max,wall_clamp_delta_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
baseline,flat_theta011,flat,11,50,2056,2056,452,2056,0,1.2394328053326067,1.2394328053326067,0,1.2394328053326067,1.0000061214888372,0.0002890041406295914,0
bounded,flat_theta011,flat,11,50,2024,0,732,0,2024,1.260467557142047,1.0,0.26046755714204695,1.0,1.0000121496270213,0.00026091239516182955,0
baseline,curved_theta011,curved,11,50,100,100,2040,100,0,1.4339434194939216,1.4339434194939216,0,1.4339434194939216,1.0000238143109221,0.00022787541645339452,0
bounded,curved_theta011,curved,11,50,100,0,2108,0,100,1.4116707424207542,1.0,0.4116707424207542,1.0,1.0000213579055186,0.000221465101583116,0
baseline,flat_theta030,flat,30,50,1036,1036,804,1036,0,1.0003900598645228,1.0003900598645228,0,1.0003900598645228,1.0000153994999144,0.00015822004448662607,0
bounded,flat_theta030,flat,30,50,1020,0,772,0,1020,1.0003886662349042,1.0,0.00038866623490418917,1.0,1.0000209918038445,0.00015821809241668938,0
baseline,curved_theta030,curved,30,50,0,0,2228,0,0,1.0,1.0,0,1.0,1.0000195044742994,0.00017328373676308686,0
bounded,curved_theta030,curved,30,50,0,0,2228,0,0,1.0,1.0,0.0,1.0,1.0000195044742994,0.00017328373676308686,0
baseline,flat_theta090,flat,90,50,208,208,940,208,0,1.0000213066541612,1.0000213066541612,0,1.0000213066541612,1.0000213523499992,1.6758125511760017e-05,0
bounded,flat_theta090,flat,90,50,192,0,908,0,192,1.0000349429174233,1.0,3.494291742334177e-05,1.0,1.0000349429174233,1.6758125511760017e-05,0
baseline,curved_theta090,curved,90,50,0,0,2324,0,0,1.0,1.0,0,1.0,1.0000201547410346,6.776664791856978e-05,0
bounded,curved_theta090,curved,90,50,0,0,2324,0,0,1.0,1.0,0.0,1.0,1.0000201547410346,6.776664791856978e-05,0
