case_id,geometry,theta_deg,step,wall_count,fluid_count,wall_phase_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_phase_bounded_pred_gt_1_count,wall_clamp_delta_nonzero_count,wall_phase_profile_pred_gt_1_count,wall_profile_delta_nonzero_count,wall_pf_f_min,wall_pf_f_max,wall_grad_tangent_max,wall_tan_coeff_mean,wall_phase_pred_min,wall_phase_pred_max,wall_phase_bounded_pred_max,wall_clamp_delta_min,wall_clamp_delta_max,wall_phase_profile_pred_max,wall_profile_delta_min,wall_profile_delta_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
curved_theta011,curved,11,0,121164,954036,64,0,0,64,0,0,34780,-999.0,0.5808448975965824,0.148776638417561,5.144553966670899,0.0,1.7954628943313244,1.7954628943313244,0.0,0.0,1.0,-0.1208892596789658,1.054862754745995,1.0,0.9999997995397631,0.0,0
curved_theta011,curved,11,50,121164,954036,120,0,2204,120,0,0,41244,5.576566552089735e-26,1.0,0.14484037549819373,5.144553966670899,4.545910085481398e-24,1.2889230282515598,1.2889230282515598,0.0,0.0,1.0,-0.1524598108623747,0.5910859446891878,1.0,1.0000195400817353,0.0001812177607112723,0
curved_theta030,curved,30,0,121164,954036,0,0,0,0,0,0,32372,-999.0,0.5808448975965824,0.148776638417561,1.7320508003892916,0.0,1.0,1.0,0.0,0.0,1.0,-0.12279554310341056,0.20454912733177755,1.0,0.9999997995397631,0.0,0
curved_theta030,curved,30,50,121164,954036,0,0,2228,0,0,0,34764,6.88249919978168e-26,1.0,0.14474592439843542,1.7320508003892916,1.5836358371722074e-24,1.0,1.0,0.0,0.0,1.0,-0.16782079245730017,0.11278201820971356,1.0,1.0000193673899123,0.00017210400058454136,0
curved_theta090,curved,90,0,121164,954036,0,0,0,0,0,0,0,-999.0,0.5808448975965824,0.0,-1.794896453688466e-09,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9999997995397631,0.0,0
curved_theta090,curved,90,50,121164,954036,0,0,2324,0,0,0,0,6.513370337462167e-26,1.0,0.0,-1.794896453688466e-09,6.513370337462167e-26,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000201547410346,6.776664791856978e-05,0
flat_theta011,flat,11,0,42504,571896,2000,0,0,2000,0,0,20574,0.0,0.9999996600470948,0.16354169919183095,5.144553966670899,0.0,1.4129921878921676,1.4129921878921676,0.0,0.0,0.99999982767661,-8.276350442750536e-05,0.6804257682511398,0.9999998276766102,0.9999996600470951,0.0,0
flat_theta011,flat,11,50,42504,571896,2032,188,860,2032,0,188,23538,-1.198862397100988e-25,1.0000229859356375,0.15073086191057133,5.144553966670899,-4.49827800009478e-27,1.3377205891228163,1.3377205891228163,0.0,0.0,1.000011651925453,-0.00021789604587689397,0.6141904969876948,1.000011651925453,1.0000229859356375,0.00011481232452144455,0
flat_theta030,flat,30,0,42504,571896,1360,0,0,1360,0,0,19682,0.0,0.9999996600470948,0.16354169919183095,1.7320508003892916,0.0,1.0061294510167405,1.0061294510167405,0.0,0.0,0.9999998123591738,-7.744722261594066e-05,0.14346965501339315,0.9999998123591738,0.9999996600470951,0.0,0
flat_theta030,flat,30,50,42504,571896,1272,192,872,1272,0,192,20512,-1.1989349250507452e-25,1.000023064611242,0.152361031266871,1.7320508003892916,-7.202177375711267e-27,1.002337116757191,1.002337116757191,0.0,0.0,1.0000127311026885,-0.0001812000210823357,0.12220725805897081,1.0000127311026885,1.000023064611242,0.00010321063115269362,0
flat_theta090,flat,90,0,42504,571896,0,0,0,0,0,0,0,0.0,0.9999996600470948,0.0,-1.794896453688466e-09,0.0,0.9999996600470948,0.9999996600470948,0.0,0.0,0.9999996600470948,0.0,0.0,0.9999996600470951,0.9999996600470951,0.0,0
flat_theta090,flat,90,50,42504,571896,208,208,940,208,0,208,0,-1.1989215915957477e-25,1.0000213066541612,0.0,-1.794896453688466e-09,-1.1989215915957477e-25,1.0000213066541612,1.0000213066541612,0.0,0.0,1.0000213066541612,0.0,0.0,1.0000213066541612,1.0000213523499992,1.6758125511760017e-05,0
