variant,case_id,geometry,theta_deg,step,wall_phase_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_phase_bounded_pred_gt_1_count,wall_clamp_delta_nonzero_count,wall_phase_profile_pred_gt_1_count,wall_profile_delta_nonzero_count,wall_phase_pred_max,wall_phase_bounded_pred_max,wall_phase_profile_pred_max,wall_clamp_delta_max,wall_profile_delta_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
baseline,flat_theta011,flat,11,50,2056,2056,452,2056,0,2056,0,1.2394328053326067,1.2394328053326067,1.2394328053326067,0,0,1.2394328053326067,1.0000061214888372,0.0002890041406295914,0
bounded,flat_theta011,flat,11,50,2024,0,732,0,2024,0,0,1.260467557142047,1.0,1.0,0.26046755714204695,0,1.0,1.0000121496270213,0.00026091239516182955,0
profile,flat_theta011,flat,11,50,2032,188,860,2032,0,188,23538,1.3377205891228163,1.3377205891228163,1.000011651925453,0.0,0.6141904969876948,1.000011651925453,1.0000229859356375,0.00011481232452144455,0
baseline,curved_theta011,curved,11,50,100,100,2040,100,0,100,0,1.4339434194939216,1.4339434194939216,1.4339434194939216,0,0,1.4339434194939216,1.0000238143109221,0.00022787541645339452,0
bounded,curved_theta011,curved,11,50,100,0,2108,0,100,0,0,1.4116707424207542,1.0,1.0,0.4116707424207542,0,1.0,1.0000213579055186,0.000221465101583116,0
profile,curved_theta011,curved,11,50,120,0,2204,120,0,0,41244,1.2889230282515598,1.2889230282515598,1.0,0.0,0.5910859446891878,1.0,1.0000195400817353,0.0001812177607112723,0
baseline,flat_theta030,flat,30,50,1036,1036,804,1036,0,1036,0,1.0003900598645228,1.0003900598645228,1.0003900598645228,0,0,1.0003900598645228,1.0000153994999144,0.00015822004448662607,0
bounded,flat_theta030,flat,30,50,1020,0,772,0,1020,0,0,1.0003886662349042,1.0,1.0,0.00038866623490418917,0,1.0,1.0000209918038445,0.00015821809241668938,0
profile,flat_theta030,flat,30,50,1272,192,872,1272,0,192,20512,1.002337116757191,1.002337116757191,1.0000127311026885,0.0,0.12220725805897081,1.0000127311026885,1.000023064611242,0.00010321063115269362,0
baseline,curved_theta030,curved,30,50,0,0,2228,0,0,0,0,1.0,1.0,1.0,0,0,1.0,1.0000195044742994,0.00017328373676308686,0
bounded,curved_theta030,curved,30,50,0,0,2228,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0000195044742994,0.00017328373676308686,0
profile,curved_theta030,curved,30,50,0,0,2228,0,0,0,34764,1.0,1.0,1.0,0.0,0.11278201820971356,1.0,1.0000193673899123,0.00017210400058454136,0
baseline,flat_theta090,flat,90,50,208,208,940,208,0,208,0,1.0000213066541612,1.0000213066541612,1.0000213066541612,0,0,1.0000213066541612,1.0000213523499992,1.6758125511760017e-05,0
bounded,flat_theta090,flat,90,50,192,0,908,0,192,0,0,1.0000349429174233,1.0,1.0,3.494291742334177e-05,0,1.0,1.0000349429174233,1.6758125511760017e-05,0
profile,flat_theta090,flat,90,50,208,208,940,208,0,208,0,1.0000213066541612,1.0000213066541612,1.0000213066541612,0.0,0.0,1.0000213066541612,1.0000213523499992,1.6758125511760017e-05,0
baseline,curved_theta090,curved,90,50,0,0,2324,0,0,0,0,1.0,1.0,1.0,0,0,1.0,1.0000201547410346,6.776664791856978e-05,0
bounded,curved_theta090,curved,90,50,0,0,2324,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0000201547410346,6.776664791856978e-05,0
profile,curved_theta090,curved,90,50,0,0,2324,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0000201547410346,6.776664791856978e-05,0
