Fig.11(b),simulation,,,,,,,theory,,,,,
,,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°,
,t,s,t,s,t,s,t,s,t,s,t,s,
,0,0,0,0,0,0,0,1e-06,0,1e-06,0,1e-06,
,0.0032,0.000133333333333333,0.0032,0.00012,0.0032,8e-05,2.44249065417534e-17,1.00000000000002e-06,2.70894418008538e-17,1.00000000000002e-06,1.11022302462516e-17,1.00000000000001e-06,
,0.0064,0.000306666666666667,0.0064,0.000266666666666667,0.0064,0.000186666666666667,7.32747196252604e-17,1.00000000000189e-06,8.12683254025615e-17,1.00000000000181e-06,3.33066907387547e-17,1.00000000000003e-06,
,0.0096,0.000466666666666667,0.0096,0.000413333333333333,0.0096,0.000293333333333333,1.70974345792274e-16,1.00000000000712e-06,1.89626092605977e-16,1.00000000000677e-06,7.7715611723761e-17,1.00000000000122e-06,
,0.0128,0.0006,0.0128,0.000533333333333333,0.0128,0.000386666666666667,3.66373598126302e-16,1.00000000001919e-06,4.06341627012807e-16,1.00000000001815e-06,1.66533453693773e-16,1.00000000000428e-06,
,0.016,0.000733333333333333,0.016,0.000653333333333333,0.016,0.000466666666666667,7.57172102794357e-16,1.00000000004523e-06,8.39772695826468e-16,1.00000000004257e-06,3.44169137633799e-16,1.00000000001101e-06,
,0.0192,0.000853333333333333,0.0192,0.00076,0.0192,0.00056,1.53876911213047e-15,1.00000000009963e-06,1.70663483345379e-15,1.00000000009336e-06,6.99440505513849e-16,1.00000000002502e-06,
,0.0224,0.000973333333333333,0.0224,0.000866666666666667,0.0224,0.00064,3.10196313080269e-15,1.00000000021128e-06,3.44035910870844e-15,1.00000000019726e-06,1.40998324127395e-15,1.00000000005355e-06,
,0.0256,0.00108,0.0256,0.00096,0.0256,0.000706666666666667,6.22835116814713e-15,1.00000000043813e-06,6.90780765921772e-15,1.00000000040781e-06,2.83106871279415e-15,1.00000000011111e-06,
,0.0288,0.00118666666666667,0.0288,0.00105333333333333,0.0288,0.000786666666666667,1.2481127242836e-14,1.00000000089629e-06,1.38427047602363e-14,1.00000000083226e-06,5.67323965583455e-15,1.00000000022668e-06,
,0.032,0.00129333333333333,0.032,0.00114666666666667,0.032,0.000853333333333333,2.49866793922138e-14,1.00000000181823e-06,2.77124989622735e-14,1.00000000168517e-06,1.13575815419154e-14,1.00000000045827e-06,
,0.0352,0.00138666666666667,0.0352,0.00124,0.0352,0.00092,4.99977836909693e-14,1.00000000366921e-06,5.54520873663478e-14,1.00000000339588e-06,2.2726265314077e-14,1.00000000092187e-06,
,0.0384,0.00148,0.0384,0.00132,0.0384,0.000986666666666667,1.0001999228848e-13,1.00000000738014e-06,1.10931264174496e-13,1.00000000682321e-06,4.54636328584002e-14,1.00000000184947e-06,
,0.0416,0.00157333333333333,0.0416,0.0014,0.0416,0.00105333333333333,2.00064409483502e-13,1.00000001481335e-06,2.21889617790794e-13,1.00000001368503e-06,9.09383679470466e-14,1.00000000370508e-06,
,0.0448,0.00165333333333333,0.0448,0.00148,0.0448,0.00110666666666667,4.00153243873547e-13,1.00000002969417e-06,4.43806325023388e-13,1.00000002741736e-06,1.81887838124339e-13,1.00000000741665e-06,
,0.048,0.00174666666666667,0.048,0.00156,0.048,0.00117333333333333,8.00330912653635e-13,1.00000005947403e-06,8.87639739488577e-13,1.00000005489258e-06,3.63786778478925e-13,1.00000001484016e-06,
,0.0512,0.00182666666666667,0.0512,0.00162666666666667,0.0512,0.00122666666666667,1.60068625021381e-12,1.00000011905685e-06,1.77530656841896e-12,1.00000010985581e-06,7.27584659188096e-13,1.00000002968751e-06,
,0.0544,0.00190666666666667,0.0544,0.00170666666666667,0.0544,0.00128,3.20139692533417e-12,1.00000023825178e-06,3.55064022627971e-12,1.0000002197978e-06,1.45518042060644e-12,1.00000005938254e-06,
,0.0576,0.00198666666666667,0.0576,0.00177333333333333,0.0576,0.00134666666666667,6.40281827557487e-12,1.00000047667879e-06,7.10130754200122e-12,1.00000043970065e-06,2.91037194344312e-12,1.0000001187729e-06,
,0.0608,0.00206666666666667,0.0608,0.00184,0.0608,0.0014,1.28056609760563e-11,1.00000095357987e-06,1.42026421734442e-11,1.00000087952923e-06,5.8207549891165e-12,1.00000023755393e-06,
,0.064,0.00213333333333333,0.064,0.00192,0.064,0.00145333333333333,2.56113463770191e-11,1.00000190744173e-06,2.84053114363303e-11,1.00000175921418e-06,1.16415210804632e-11,1.00000047511628e-06,
,0.0672,0.00221333333333333,0.0672,0.00198666666666667,0.0672,0.00150666666666667,5.12227171789448e-11,1.00000381524114e-06,5.68106499621024e-11,1.0000035186178e-06,2.32830532631567e-11,1.00000095024125e-06,
,0.0704,0.00228,0.0704,0.00204,0.0704,0.00154666666666667,1.02445458782796e-10,1.00000763093589e-06,1.13621327013647e-10,1.00000703746597e-06,4.65661176285437e-11,1.00000190049144e-06,
