Fig.12(a),simulation,,,,,,theory,,,,,,,
,,,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°,,
,t,s,t,s,t,s,t,s,t,s,t,s,,
,0,0,0,0,0,0,0,1e-06,0,1e-06,0,1e-06,,
,0.0032,0.00012,0.0032,0.000106666666666667,0.0032,8e-05,1.66533453693774e-17,1.00000000000002e-06,1.88737914186277e-17,1.00000000000002e-06,3.10862446895044e-17,1.00000000000002e-06,,
,0.0064,0.000306666666666667,0.0064,0.000266666666666667,0.0064,0.000186666666666667,4.99600361081321e-17,1.00000000000144e-06,5.6621374255883e-17,1.0000000000014e-06,9.32587340685131e-17,1.00000000000163e-06,,
,0.0096,0.000466666666666667,0.0096,0.000413333333333333,0.0096,0.000293333333333333,1.16573417585641e-16,1.00000000000541e-06,1.32116539930394e-16,1.00000000000526e-06,2.17603712826531e-16,1.00000000000602e-06,,
,0.0128,0.000626666666666667,0.0128,0.000546666666666667,0.0128,0.0004,2.4980018054066e-16,1.0000000000146e-06,2.83106871279415e-16,1.00000000001412e-06,4.66293670342566e-16,1.00000000001599e-06,,
,0.016,0.00076,0.016,0.00068,0.016,0.000493333333333333,5.16253706450698e-16,1.00000000003447e-06,5.85087533977457e-16,1.00000000003317e-06,9.63673585374636e-16,1.00000000003721e-06,,
,0.0192,0.000906666666666667,0.0192,0.0008,0.0192,0.000586666666666667,1.04916075827077e-15,1.00000000007599e-06,1.18904885937354e-15,1.0000000000728e-06,1.95843341543878e-15,1.00000000008102e-06,,
,0.0224,0.00102666666666667,0.0224,0.000906666666666667,0.0224,0.000666666666666667,2.11497486191092e-15,1.00000000016126e-06,2.39697151016571e-15,1.00000000015391e-06,3.94795307556706e-15,1.00000000017017e-06,,
,0.0256,0.00114666666666667,0.0256,0.00102666666666667,0.0256,0.000746666666666667,4.24660306919122e-15,1.0000000003346e-06,4.81281681175005e-15,1.00000000031835e-06,7.92699239582362e-15,1.00000000035019e-06,,
,0.0288,0.00126666666666667,0.0288,0.00113333333333333,0.0288,0.000826666666666667,8.50985948375183e-15,1.00000000068481e-06,9.64450741491874e-15,1.00000000064993e-06,1.58850710363367e-14,1.00000000071215e-06,,
,0.032,0.00138666666666667,0.032,0.00122666666666667,0.032,0.000906666666666667,1.7036372312873e-14,1.00000000138968e-06,1.93078886212561e-14,1.00000000131638e-06,3.1801228317363e-14,1.0000000014382e-06,,
,0.0352,0.00149333333333333,0.0352,0.00133333333333333,0.0352,0.000986666666666667,3.40893979711154e-14,1.00000000280508e-06,3.86346510339308e-14,1.00000000265326e-06,6.36335428794155e-14,1.00000000289271e-06,,
,0.0384,0.0016,0.0384,0.00142666666666667,0.0384,0.00105333333333333,6.81954492876003e-14,1.00000000564308e-06,7.72881758592803e-14,1.00000000533188e-06,1.2729817200352e-13,1.00000000580442e-06,,
,0.0416,0.00169333333333333,0.0416,0.00152,0.0416,0.00113333333333333,1.3640755192057e-13,1.00000001132826e-06,1.54595225509979e-13,1.00000001069506e-06,2.5462743025173e-13,1.00000001163089e-06,,
,0.0448,0.0018,0.0448,0.0016,0.0448,0.0012,2.72831757186509e-13,1.00000002271029e-06,3.09209324811377e-13,1.00000002142866e-06,5.0928594674815e-13,1.00000002328724e-06,,
,0.048,0.00189333333333333,0.048,0.00169333333333333,0.048,0.00126666666666667,5.45680167718388e-13,1.00000004548922e-06,6.18437523414173e-13,1.00000004290471e-06,1.01860297974099e-12,1.00000004660375e-06,,
,0.0512,0.00198666666666667,0.0512,0.00177333333333333,0.0512,0.00133333333333333,1.09137698878214e-12,1.00000009106604e-06,1.23689392061976e-12,1.00000008586758e-06,2.03723704572667e-12,1.00000009324109e-06,,
,0.0544,0.00208,0.0544,0.00186666666666667,0.0544,0.0014,2.18277063090966e-12,1.00000018224384e-06,2.47380671503095e-12,1.00000017180652e-06,4.07450517769803e-12,1.00000018652058e-06,,
,0.0576,0.00217333333333333,0.0576,0.00194666666666667,0.0576,0.00146666666666667,4.36555791516469e-12,1.00000036463022e-06,4.94763230385331e-12,1.00000034370047e-06,8.14904144164075e-12,1.00000037308501e-06,,
,0.0608,0.00225333333333333,0.0608,0.00202666666666667,0.0608,0.00152,8.73113248367474e-12,1.00000072944223e-06,9.89528348149804e-12,1.00000068750804e-06,1.62981139695262e-11,1.00000074621995e-06,,
,0.064,0.00234666666666667,0.064,0.00209333333333333,0.064,0.00158666666666667,1.74622816206949e-11,1.00000145911631e-06,1.97905858367875e-11,1.00000137514716e-06,3.25962590252971e-11,1.0000014924967e-06,,
,0.0672,0.00242666666666667,0.0672,0.00217333333333333,0.0672,0.00164,3.49245798947351e-11,1.00000291852826e-06,3.95811905473664e-11,1.00000275045472e-06,6.51925491368388e-11,1.0000029850579e-06,,
