Fig.12(b),simulation,,,,,,theory,,,,,
,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°
,t,s,t,s,t,s,t,s,t,s,t,s
,0,0,0,0,0,0,0,1e-06,0,1e-06,0,1e-06
,0.0032,0.00012,0.0032,0.000106666666666667,0.0032,8e-05,1.88737914186277e-17,1.00000000000002e-06,2.22044604925031e-17,1.00000000000002e-06,9.43689570931383e-18,1.00000000000001e-06
,0.0064,0.000306666666666667,0.0064,0.000266666666666667,0.0064,0.000186666666666667,5.6621374255883e-17,1.00000000000163e-06,6.66133814775094e-17,1.00000000000165e-06,2.83106871279415e-17,1.00000000000003e-06
,0.0096,0.000466666666666667,0.0096,0.000413333333333333,0.0096,0.000293333333333333,1.32116539930394e-16,1.00000000000613e-06,1.55431223447522e-16,1.00000000000619e-06,6.60582699651968e-17,1.00000000000115e-06
,0.0128,0.000613333333333333,0.0128,0.000546666666666667,0.0128,0.0004,2.83106871279415e-16,1.00000000001656e-06,3.33066907387547e-16,1.00000000001661e-06,1.41553435639707e-16,1.00000000000406e-06
,0.016,0.00076,0.016,0.000666666666666667,0.016,0.000493333333333333,5.85087533977457e-16,1.00000000003907e-06,6.88338275267597e-16,1.00000000003901e-06,2.92543766988729e-16,1.00000000001046e-06
,0.0192,0.000893333333333333,0.0192,0.000786666666666667,0.0192,0.000573333333333333,1.18904885937354e-15,1.00000000008614e-06,1.3988810110277e-15,1.00000000008563e-06,5.94524429686771e-16,1.0000000000238e-06
,0.0224,0.00102666666666667,0.0224,0.000906666666666667,0.0224,0.000666666666666667,2.39697151016571e-15,1.00000000018278e-06,2.8199664825479e-15,1.00000000018105e-06,1.19848575508286e-15,1.00000000005099e-06
,0.0256,0.00114666666666667,0.0256,0.00101333333333333,0.0256,0.000746666666666667,4.81281681175005e-15,1.00000000037924e-06,5.6621374255883e-15,1.0000000003745e-06,2.40640840587503e-15,1.00000000010584e-06
,0.0288,0.00125333333333333,0.0288,0.00112,0.0288,0.000826666666666667,9.64450741491874e-15,1.00000000077614e-06,1.13464793116691e-14,1.00000000076458e-06,4.82225370745937e-15,1.00000000021602e-06
,0.032,0.00137333333333333,0.032,0.00121333333333333,0.032,0.000906666666666667,1.93078886212561e-14,1.00000000157498e-06,2.27151630838307e-14,1.00000000154861e-06,9.65394431062805e-15,1.00000000043684e-06
,0.0352,0.00148,0.0352,0.00132,0.0352,0.000973333333333333,3.86346510339308e-14,1.00000000317908e-06,4.54525306281539e-14,1.00000000312135e-06,1.93173255169654e-14,1.00000000087889e-06
,0.0384,0.00158666666666667,0.0384,0.00141333333333333,0.0384,0.00105333333333333,7.72881758592803e-14,1.00000000639544e-06,9.09272657168003e-14,1.00000000627258e-06,3.86440879296401e-14,1.00000000176343e-06
,0.0416,0.00168,0.0416,0.00149333333333333,0.0416,0.00112,1.54595225509979e-13,1.00000001283851e-06,1.81876735894093e-13,1.00000001258201e-06,7.72976127549896e-14,1.00000000353291e-06
,0.0448,0.00177333333333333,0.0448,0.00158666666666667,0.0448,0.00118666666666667,3.09209324811377e-13,1.00000002573787e-06,3.63775676248679e-13,1.0000000252094e-06,1.54604662405689e-13,1.00000000707226e-06
,0.048,0.00186666666666667,0.048,0.00166666666666667,0.048,0.00125333333333333,6.18437523414173e-13,1.00000005155343e-06,7.2757355695785e-13,1.0000000504746e-06,3.09218761707086e-13,1.00000001415134e-06
,0.0512,0.00196,0.0512,0.00176,0.0512,0.00132,1.23689392061976e-12,1.00000010320598e-06,1.45516931837619e-12,1.00000010101772e-06,6.18446960309882e-13,1.00000002830986e-06
,0.0544,0.00205333333333333,0.0544,0.00184,0.0544,0.00137333333333333,2.47380671503095e-12,1.00000020653843e-06,2.91036084121288e-12,1.00000020211947e-06,1.23690335751547e-12,1.00000005662725e-06
,0.0576,0.00214666666666667,0.0576,0.00192,0.0576,0.00144,4.94763230385331e-12,1.00000041323816e-06,5.82074388688625e-12,1.00000040434194e-06,2.47381615192666e-12,1.00000011326238e-06
,0.0608,0.00222666666666667,0.0608,0.00198666666666667,0.0608,0.00149333333333333,9.89528348149804e-12,1.00000082668204e-06,1.1641509978233e-11,1.00000080881001e-06,4.94764174074902e-12,1.00000022653297e-06
,0.064,0.00230666666666667,0.064,0.00206666666666667,0.064,0.00156,1.97905858367875e-11,1.00000165362643e-06,2.32830421609265e-11,1.00000161777442e-06,9.89529291839375e-12,1.00000045307446e-06
,0.0672,0.00238666666666667,0.0672,0.00214666666666667,0.0672,0.00161333333333333,3.95811905473664e-11,1.0000033075874e-06,4.65661065263134e-11,1.00000323573775e-06,1.97905952736832e-11,1.00000090615774e-06
,0.0704,0.00246666666666667,0.0704,0.00221333333333333,0.0704,0.00166666666666667,7.91623999685243e-11,1.00000661560134e-06,9.31322352570874e-11,1.00000647170657e-06,3.95811999842621e-11,1.00000181232461e-06
