theta_deg,domain_nx,domain_ny,domain_nz,R_drop_lu,R_solid_lu,liquid_spherical_cap_radius_lu,liquid_solid_center_distance_lu,expected_Hmax_lu,expected_H1_minus_H2_lu,initial_drop_volume_lu3,target_note
30,80,80,140,24.0,24.0,29.045304538144578,14.568427484135233,43.61373202227981,19.613732022279812,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
40,80,80,140,24.0,24.0,28.20490847034644,18.287116188890547,46.49202465923699,22.49202465923699,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
50,80,80,140,24.0,24.0,27.366067204730157,21.9215493487897,49.287616553519854,25.287616553519854,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
60,80,80,140,24.0,24.0,26.597850406250004,25.398764467651834,51.996614873901834,27.996614873901834,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
70,80,80,140,24.0,24.0,25.933075975009388,28.68417647688176,54.61725245189115,30.617252451891147,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
80,80,80,140,24.0,24.0,25.38287751060033,31.76037358694832,57.14325109754865,33.14325109754865,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
90,80,80,140,24.0,24.0,24.94575641807569,34.61633665294415,59.56209307101984,35.56209307101984,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
100,80,80,140,24.0,24.0,24.61294762521191,37.24176256440675,61.85471018961866,37.85471018961866,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
110,80,80,140,24.0,24.0,24.371584722042137,39.62425571603322,63.995840438075355,39.995840438075355,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
120,80,80,140,24.0,24.0,24.20664338008504,41.74830565247715,65.95494903256218,41.95494903256218,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
130,80,80,140,24.0,24.0,24.102264741583603,43.59547853223507,67.69774327381867,43.69774327381867,57905.83579096706,H1_minus_H2 = Hmax - R_solid; generated from conserved sphere-on-sphere geometry; low-angle exactness pending PDF audit
